site,date,species,plant_no,pv_dry,sla_dry,sla_no_disks,size_mm2
laselva,8/7/2017,blechnum_occidentale ,4,,0.0076,5,10
laselva,8/7/2017,blechnum_occidentale ,5,,0.0081,5,10
laselva,8/7/2017,blechnum_occidentale ,6,,0.0096,5,10
laselva,10/7/2017,lomariopsis_japurensis,1,,,,
laselva,10/7/2017,lomariopsis_japurensis,2,,,,
laselva,10/7/2017,lomariopsis_japurensis,3,,,,
laselva,10/7/2017,lomariopsis_japurensis,4,,,,
laselva,10/7/2017,lomariopsis_japurensis,5,,,,
laselva,10/7/2017,lomariopsis_japurensis,6,,,,
laselva,10/7/2017,thelypteris_dentata,1,,,,
laselva,10/7/2017,thelypteris_dentata,2,,,,
laselva,10/7/2017,thelypteris_dentata,3,,,,
laselva,10/7/2017,thelypteris_dentata,4,,,,
laselva,10/7/2017,thelypteris_dentata,6,,,,
laselva,10/7/2017,diplazium_straitastrum,1,,,,
laselva,10/7/2017,diplazium_straitastrum,2,,,,
laselva,10/7/2017,diplazium_straitastrum,3,,,,
laselva,10/7/2017,diplazium_straitastrum,4,,,,
laselva,10/7/2017,diplazium_straitastrum,5,,,,
laselva,10/7/2017,diplazium_straitastrum,6,,,,
laselva,10/7/2017,campylonerum_brevifolia,1,,,,
laselva,10/7/2017,campylonerum_brevifolia,2,,,,
laselva,10/7/2017,campylonerum_brevifolia,3,,,,
laselva,10/7/2017,campylonerum_brevifolia,4,,,,
laselva,10/7/2017,campylonerum_brevifolia,5,,,,
laselva,10/7/2017,campylonerum_brevifolia,6,,,,
laselva,10/7/2017,campylonerum_brevifolia,1,,,,
laselva,10/7/2017,campylonerum_brevifolia,2,,,,
laselva,10/7/2017,campylonerum_brevifolia,3,,,,
laselva,10/7/2017,campylonerum_brevifolia,4,,,,
laselva,10/7/2017,campylonerum_brevifolia,5,,,,
laselva,10/7/2017,campylonerum_brevifolia,6,,,,
laselva,10/8/2017,cyclopeltis_semicordata,1,,,,
laselva,10/8/2017,cyclopeltis_semicordata,2,,,,
laselva,10/8/2017,cyclopeltis_semicordata,3,,,,
laselva,10/8/2017,cyclopeltis_semicordata,4,,,,
laselva,10/8/2017,cyclopeltis_semicordata,5,,,,
laselva,10/8/2017,cyclopeltis_semicordata,6,,,,
laselva,10/8/2017,cyclopeltis_semicordata,7,,,,
laselva,10/8/2017,cyclopeltis_semicordata,8,,,,
laselva,10/7/2017,mickelia_nicotianifolia,1,,,,
laselva,10/7/2017,mickelia_nicotianifolia,2,,,,
laselva,10/7/2017,mickelia_nicotianifolia,3,,,,
laselva,10/7/2017,mickelia_nicotianifolia,4,,,,
laselva,10/7/2017,mickelia_nicotianifolia,5,,,,
laselva,10/7/2017,mickelia_nicotianifolia,6,,,,
laselva,13/8/2017,tectaria_incisa,1,,,,
laselva,13/8/2018,tectaria_incisa,2,,,,
laselva,13/8/2019,tectaria_incisa,3,,,,
laselva,13/8/2020,tectaria_incisa,4,,,,
laselva,13/8/2021,tectaria_incisa,5,,,,
laselva,13/8/2022,tectaria_incisa,6,,,,
laselva,14/7/2017,asplenium_serratum,1,,,,
laselva,14/7/2017,asplenium_serratum,2,,,,
laselva,14/7/2017,asplenium_serratum,3,,,,
laselva,14/7/2017,asplenium_serratum,4,,,,
laselva,14/7/2017,asplenium_serratum,5,,,,
laselva,14/7/2017,asplenium_serratum,6,,,,
laselva,14/7/2017,thelypteris_nicaraguensis,1,,,,
laselva,14/7/2017,thelypteris_nicaraguensis,2,,,,
laselva,14/7/2017,thelypteris_nicaraguensis,3,,,,
laselva,14/7/2017,thelypteris_nicaraguensis,4,,,,
laselva,14/7/2017,thelypteris_nicaraguensis,5,,,,
laselva,14/7/2017,thelypteris_nicaraguensis,6,,,,
laselva,18/7/2017,elaphoglossum_latifolia,1,,,,
laselva,18/7/2017,elaphoglossum_latifolia,2,,,,
laselva,18/7/2017,elaphoglossum_latifolia,3,,,,
laselva,18/7/2017,elaphoglossum_latifolia,4,,,,
laselva,18/7/2017,elaphoglossum_latifolia,5,,,,
laselva,18/7/2017,elaphoglossum_latifolia,6,,,,
laselva,18/7/2017,pecluma_pectinata,1,,,,
laselva,18/7/2017,pecluma_pectinata,2,,,,
laselva,18/7/2017,pecluma_pectinata,3,,,,
laselva,18/7/2017,pecluma_pectinata,4,,,,
laselva,18/7/2017,pecluma_pectinata,5,,,,
laselva,18/7/2017,pecluma_pectinata,6,,,,
laselva,18/7/2017,pecluma_pectinata,10,,,,
laselva,19/7/2017,elaphoglossum_herminieri,1,,,,
laselva,19/7/2017,elaphoglossum_herminieri,2,,,,
laselva,19/7/2017,elaphoglossum_herminieri,3,,,,
laselva,19/7/2017,elaphoglossum_herminieri,4,,,,
laselva,19/7/2017,elaphoglossum_herminieri,5,,,,
laselva,19/7/2017,elaphoglossum_herminieri,6,,,,
laselva,19/7/2017,asplenium_juglandifolia,1,,,,
laselva,19/7/2017,asplenium_juglandifolia,2,,,,
laselva,19/7/2017,asplenium_juglandifolia,3,,,,
laselva,19/7/2017,asplenium_juglandifolia,4,,,,
laselva,19/7/2017,asplenium_juglandifolia,5,,,,
laselva,19/7/2017,oleandra_articulata,1,,,,
laselva,19/7/2017,oleandra_articulata,3,,,,
laselva,19/7/2017,oleandra_articulata,5,,,,
laselva,19/7/2017,oleandra_articulata,6,,,,
laselva,19/7/2017,oleandra_articulata,7,,,,
laselva,19/7/2017,oleandra_articulata,8,,,,
laselva,20/7/2017,pleopeltis_bradeorum,1,,,,
laselva,20/7/2017,pleopeltis_bradeorum,2,,,,
laselva,20/7/2017,pleopeltis_bradeorum,3,,,,
laselva,20/7/2017,pleopeltis_bradeorum,4,,,,
laselva,20/7/2017,pleopeltis_bradeorum,5,,,,
laselva,20/7/2017,pleopeltis_bradeorum,6,,,,
laselva,20/7/2017,nephrolepis_rivularis,1,,,,
laselva,20/7/2017,nephrolepis_rivularis,2,,,,
laselva,20/7/2017,nephrolepis_rivularis,3,,,,
laselva,20/7/2017,nephrolepis_rivularis,4,,,,
laselva,20/7/2017,nephrolepis_rivularis,5,,,,
laselva,20/7/2017,nephrolepis_rivularis,6,,,,
laselva,20/7/2017,elaphoglossum_amygdalifolium,1,,,,
laselva,20/7/2017,elaphoglossum_amygdalifolium,2,,,,
laselva,20/7/2017,elaphoglossum_amygdalifolium,3,,,,
laselva,20/7/2017,elaphoglossum_amygdalifolium,4,,,,
laselva,20/7/2017,elaphoglossum_amygdalifolium,5,,,,
laselva,20/7/2017,elaphoglossum_amygdalifolium,6,,,,
laselva,20/7/2017,nephrolepis biserrata,1,,,,
laselva,20/7/2017,nephrolepis biserrata,2,,,,
laselva,20/7/2017,nephrolepis biserrata,3,,,,
laselva,20/7/2017,nephrolepis biserrata,6,,,,
laselva,20/7/2017,nephrolepis biserrata,8,,,,
laselva,20/7/2017,nephrolepis biserrata,9,,,,
