site,species,plant_no,wet_weight_g,psi_bars
laselva,diplazium_straitastrum,1,1.5366,3.5
laselva,diplazium_straitastrum,1,1.5195,4
laselva,diplazium_straitastrum,1,1.7969,7
laselva,diplazium_straitastrum,1,1.4756,8
laselva,diplazium_straitastrum,1,1.4549,9.9
laselva,diplazium_straitastrum,1,1.4297,10
laselva,diplazium_straitastrum,1,1.3121,11.5
laselva,diplazium_straitastrum,5,1.359,5
laselva,diplazium_straitastrum,5,1.3345,5
laselva,diplazium_straitastrum,5,1.3142,7
laselva,diplazium_straitastrum,5,1.3058,8
laselva,diplazium_straitastrum,5,1.2921,8.5
laselva,diplazium_straitastrum,5,1.2362,11.5
laselva,diplazium_straitastrum,5,1.1535,13
laselva,diplazium_straitastrum,5,1.025,14
laselva,diplazium_straitastrum,6,1.9226,3.9
laselva,diplazium_straitastrum,6,1.9108,5
laselva,diplazium_straitastrum,6,1.8212,10
laselva,diplazium_straitastrum,6,1.7592,11
laselva,diplazium_straitastrum,6,1.6889,12
laselva,diplazium_straitastrum,6,1.4894,14
laselva,elaphoglossum_amygdalifolium,1,0.6142,2
laselva,elaphoglossum_amygdalifolium,1,0.6124,3.9
laselva,elaphoglossum_amygdalifolium,1,0.6101,6
laselva,elaphoglossum_amygdalifolium,1,0.6068,6.7
laselva,elaphoglossum_amygdalifolium,1,0.6046,9.1
laselva,elaphoglossum_amygdalifolium,1,0.6021,10.2
laselva,elaphoglossum_amygdalifolium,1,0.5986,12.5
laselva,elaphoglossum_amygdalifolium,1,0.597,15
laselva,elaphoglossum_amygdalifolium,1,0.5961,16.9
laselva,elaphoglossum_amygdalifolium,1,0.5903,19
laselva,elaphoglossum_amygdalifolium,1,0.567,21.2
laselva,elaphoglossum_amygdalifolium,1,0.5381,23
laselva,elaphoglossum_amygdalifolium,2,1.1801,0.5
laselva,elaphoglossum_amygdalifolium,2,1.176,2
laselva,elaphoglossum_amygdalifolium,2,1.165,2.3
laselva,elaphoglossum_amygdalifolium,2,1.1602,3
laselva,elaphoglossum_amygdalifolium,2,1.1549,3.1
laselva,elaphoglossum_amygdalifolium,2,1.1514,3.6
laselva,elaphoglossum_amygdalifolium,2,1.1479,4.5
laselva,elaphoglossum_amygdalifolium,2,1.1456,5
