site,genusspecies,plant_no,subsample,area_mm2,vein_length_mm,vein_density_mm_mm2
las_cruces,drypat,4,b,36.799,60.677,1.648876328
las_cruces,drypat,4,c,48.02,63.425,1.320803832
las_cruces,drypat,5,a,6.675,10.037,1.503670412
las_cruces,drypat,5,b,13.518,18.051,1.33533067
las_cruces,drypat,5,c,22.894,34.275,1.497117149
las_cruces,drypat,6,a,40.156,52.084,1.297041538
las_cruces,drypat,6,c,37.195,47.474,1.276354349
las_cruces,eladec,1,a,12.566,11.699,0.931004297
las_cruces,eladec,1,b,12.021,11.947,0.993844106
las_cruces,eladec,1,c,12.493,20.378,1.631153446
las_cruces,eladec,2,a,12.238,7.3,0.596502697
las_cruces,eladec,2,b,12.465,9.744,0.781708785
las_cruces,eladec,2,c,12.301,10.343,0.840825949
las_cruces,eladec,3,a,12.13,13.292,1.095795548
las_cruces,eladec,3,b,11.997,13.442,1.120446778
las_cruces,eladec,3,c,12.51,24.694,1.973940847
las_cruces,eladec,4,a,13.212,15.211,1.151301847
las_cruces,eladec,4,b,11.941,13.488,1.129553639
las_cruces,eladec,4,c,11.896,10.347,0.869788164
las_cruces,eladec,5,a,12.896,11.869,0.920362903
las_cruces,eladec,5,b,12.148,12.781,1.052107343
las_cruces,eladec,5,c,12.073,9.324,0.772301831
las_cruces,eladec,6,a,12.899,13.034,1.010465928
las_cruces,eladec,6,b,12.257,11.586,0.945255772
las_cruces,eladec,6,c,12.304,10.245,0.832656047
las_cruces,nepbro,1,a,12.536,16.727,1.334317167
las_cruces,nepbro,1,b,12.186,17.42,1.429509273
las_cruces,nepbro,1,c,12.172,19.483,1.600640815
las_cruces,nepbro,2,a,12.099,14.788,1.222249773
las_cruces,nepbro,2,b,12.354,14.448,1.169499757
las_cruces,nepbro,2,c,12.173,15.925,1.308223117
las_cruces,nepbro,3,a,12.214,14.813,1.212788603
las_cruces,nepbro,3,b,12.703,13.872,1.092025506
las_cruces,nepbro,3,c,12.474,18.275,1.465047298
las_cruces,nepbro,4,a,11.365,13.465,1.184777827
las_cruces,nepbro,4,b,12.559,12.972,1.032884784
las_cruces,nepbro,4,c,12.076,13.768,1.14011262
las_cruces,nepbro,5,a,11.623,13.884,1.194528091
las_cruces,nepbro,5,b,11.544,12.786,1.107588358
las_cruces,nepbro,5,c,11.908,14.821,1.244625462
las_cruces,nepbro,6,a,12.133,16.423,1.353581142
las_cruces,nepbro,6,b,12.337,12.715,1.03063954
las_cruces,nepbro,6,c,12.179,14.589,1.197881599
las_cruces,nipcra,1,a,40.767,41.457,1.016925454
las_cruces,nipcra,1,b,38.409,37.143,0.967038975
las_cruces,nipcra,1,c,18.69,14.699,0.786463349
las_cruces,nipcra,2,a,51.702,44.202,0.854937913
las_cruces,nipcra,2,b,49.28,40.5,0.821834416
las_cruces,nipcra,2,c,34.196,29.547,0.864048427
las_cruces,nipcra,3,a,23.269,19.228,0.826335468
las_cruces,nipcra,3,b,15.782,14.975,0.948865796
las_cruces,nipcra,3,c,28.875,33.323,1.15404329
las_cruces,nipcra,4,a,31.776,38.476,1.210850957
las_cruces,nipcra,4,b,24.33,30.716,1.262474312
las_cruces,nipcra,4,c,19.528,25.053,1.282927079
las_cruces,nipcra,5,a,30.699,34.723,1.131079188
las_cruces,nipcra,5,b,33.803,39.951,1.181877348
las_cruces,nipcra,5,c,,,
las_cruces,nipcra,6,a,26.655,21.859,0.820071281
las_cruces,nipcra,6,b,24.374,22.671,0.930130467
las_cruces,nipcra,6,c,28.213,24.748,0.877184277
las_cruces,olfcer,1,a,12.456,15.886,1.2753693
las_cruces,olfcer,1,b,,,
las_cruces,olfcer,1,c,12.384,13.24,1.069121447
las_cruces,olfcer,2,a,12.451,12.15,0.975825235
las_cruces,olfcer,2,b,13.372,13.816,1.033203709
las_cruces,olfcer,2,c,12.835,13.097,1.020412933
las_cruces,olfcer,3,a,12.521,15.522,1.239677342
las_cruces,olfcer,3,b,12.415,12.681,1.021425695
las_cruces,olfcer,3,c,13.129,11.342,0.8638891
las_cruces,olfcer,4,a,12.789,13.7,1.071233091
las_cruces,olfcer,4,b,11.92,11.812,0.990939597
las_cruces,olfcer,4,c,12.429,13.271,1.06774479
las_cruces,olfcer,5,a,12.567,13.733,1.092782685
las_cruces,olfcer,5,b,12.312,13.436,1.091293047
las_cruces,olfcer,5,c,12.312,16.118,1.309129305
las_cruces,olfcer,6,a,11.871,12.188,1.026703732
las_cruces,olfcer,6,b,12.705,13.711,1.079181425
las_cruces,olfcer,6,c,12.854,14.118,1.098335149
las_cruces,parexc,1,a,26.223,35.074,1.337528124
las_cruces,parexc,1,b,23.532,31.436,1.335883053
las_cruces,parexc,1,c,17.135,26.981,1.574613364
las_cruces,parexc,2,a,15.525,20.649,1.330048309
las_cruces,parexc,2,b,23.537,29.357,1.247270255
las_cruces,parexc,2,c,24.123,33.356,1.382746756
las_cruces,parexc,3,a,26.648,35.441,1.329968478
las_cruces,parexc,3,b,17.324,24.376,1.407065343
las_cruces,parexc,3,c,24.347,33.416,1.372489424
las_cruces,parexc,4,a,22.786,30.318,1.330553849
las_cruces,parexc,4,b,16.627,20.592,1.238467553
las_cruces,parexc,4,c,8.456,11.558,1.366840114
las_cruces,parexc,5,a,13.316,18.052,1.355662361
las_cruces,parexc,5,b,10.909,14.233,1.304702539
las_cruces,parexc,5,c,15.504,21.06,1.358359133
las_cruces,parexc,6,a,12.724,17.614,1.384313109
las_cruces,parexc,6,b,9.523,13.131,1.378872204
las_cruces,parexc,6,c,5.73,8.993,1.569458988
las_cruces,serfra,1,a,11.408,8.969,0.786202665
las_cruces,serfra,1,b,11.501,9.875,0.858620989
las_cruces,serfra,1,c,11.968,10.051,0.839822861
las_cruces,serfra,2,a,11.615,9.195,0.79164873
las_cruces,serfra,2,b,11.673,9.5,0.813843913
las_cruces,serfra,2,c,11.327,11.107,0.980577381
las_cruces,serfra,3,a,11.653,8.707,0.747189565
las_cruces,serfra,3,b,11.679,10.46,0.895624625
las_cruces,serfra,3,c,11.85,9.336,0.787848101
las_cruces,serfra,4,a,11.75,10.087,0.858468085
las_cruces,serfra,4,b,11.175,11.347,1.015391499
las_cruces,serfra,4,c,11.064,9.946,0.898951555
las_cruces,serfra,5,a,11.565,10.428,0.901686122
las_cruces,serfra,5,b,11.151,13.602,1.219800915
las_cruces,serfra,5,c,11.53,10.369,0.899306158
las_cruces,serfra,6,a,10.663,10.636,0.99746788
las_cruces,serfra,6,b,10.919,10.539,0.965198278
las_cruces,serfra,6,c,11.282,12.465,1.104857295
las_cruces,sertri,1,a,11.244,13.068,1.162219851
las_cruces,sertri,1,b,11.25,13.621,1.210755556
las_cruces,sertri,1,c,11.179,16.217,1.450666428
las_cruces,sertri,2,a,11.121,11.399,1.024997752
las_cruces,sertri,2,b,11.527,13.629,1.182354472
las_cruces,sertri,2,c,11.199,12.777,1.140905438
las_cruces,sertri,3,a,11.338,8.822,0.778091374
las_cruces,sertri,3,b,11.74,8.403,0.715758092
las_cruces,sertri,3,c,11.243,8.605,0.765365116
las_cruces,sertri,4,a,11.329,9.38,0.827963633
las_cruces,sertri,4,b,11.035,13.637,1.235795197
las_cruces,sertri,4,c,11.245,10.462,0.930369053
las_cruces,sertri,5,a,10.937,10.981,1.004023041
las_cruces,sertri,5,b,11.421,11.248,0.984852465
las_cruces,sertri,5,c,11.108,12.188,1.097227224
las_cruces,sertri,6,a,11.733,8.838,0.753260036
las_cruces,sertri,6,b,11.83,12.056,1.019103973
las_cruces,sertri,6,c,10.386,8.809,0.848160986
