site,species,plant_no,sample_mg,n_perc,d15N,c_perc,d13C
las_cruces,olfersia_cervina,5,3.329,1.95,-1.14,52.6,-33.33
las_cruces,olfersia_cervina,6,3.21,2.2,-0.42,52.01,-31.19
las_cruces,parapolystichum_excultum,1,2.947,3.99,-1.85,49.25,-35.59
las_cruces,parapolystichum_excultum,2,3.002,2.12,-2.58,48.5,-34.03
las_cruces,parapolystichum_excultum,3,2.995,3.95,-0.99,50.13,-35.46
las_cruces,parapolystichum_excultum,4,3.052,2.06,-0.14,50.56,-32.75
las_cruces,parapolystichum_excultum,5,3.048,4.65,-1.4,49.95,-34.59
las_cruces,parapolystichum_excultum,6,3.042,2.53,-2.36,49.99,-34.02
las_cruces,serpocaulon_fraxinifolium,1,3.108,1.53,-0.38,45.8,-33.3
las_cruces,serpocaulon_fraxinifolium,2,3.081,1.71,0.64,46.39,-30.45
las_cruces,serpocaulon_fraxinifolium,3,3.014,1.09,-2.06,45.99,-31.85
las_cruces,serpocaulon_fraxinifolium,4,2.917,1.3,-2.37,45.42,-32.22
las_cruces,serpocaulon_fraxinifolium,5,3.033,1.73,0.55,48.62,-27.57
las_cruces,serpocaulon_fraxinifolium,6,3.213,1.15,-0.59,45.89,-30.56
las_cruces,serpocaulon_triseriale,1,3.112,1.88,0.77,46.63,-32.55
las_cruces,serpocaulon_triseriale,2,3.062,2.39,1.32,48.7,-31.68
las_cruces,serpocaulon_triseriale,3,3.234,1.67,-0.61,47.23,-30.17
las_cruces,serpocaulon_triseriale,4,3.109,1.3,-1.47,47.88,-31.29
las_cruces,serpocaulon_triseriale,5,3.236,1.64,-1.49,48.21,-30.11
las_cruces,serpocaulon_triseriale,6,3.185,1.83,-1.38,47.94,-30.04
