site,species,plant_no,disk,region,stomata_no,fov_mm2,mag
las_cruces,serpocaulon_fraxinifolium,5,1,1,11,0.159,40
las_cruces,serpocaulon_fraxinifolium,5,1,2,11,0.159,40
las_cruces,serpocaulon_fraxinifolium,5,1,3,12,0.159,40
las_cruces,serpocaulon_fraxinifolium,5,2,1,10,0.159,40
las_cruces,serpocaulon_fraxinifolium,5,2,2,8,0.159,40
las_cruces,serpocaulon_fraxinifolium,5,2,3,10,0.159,40
las_cruces,serpocaulon_fraxinifolium,5,3,1,11,0.159,40
las_cruces,serpocaulon_fraxinifolium,5,3,2,10,0.159,40
las_cruces,serpocaulon_fraxinifolium,5,3,3,14,0.159,40
las_cruces,serpocaulon_fraxinifolium,6,1,1,7,0.159,40
las_cruces,serpocaulon_fraxinifolium,6,1,2,10,0.159,40
las_cruces,serpocaulon_fraxinifolium,6,1,3,9,0.159,40
las_cruces,serpocaulon_fraxinifolium,6,2,1,12,0.159,40
las_cruces,serpocaulon_fraxinifolium,6,2,2,8,0.159,40
las_cruces,serpocaulon_fraxinifolium,6,2,3,12,0.159,40
las_cruces,serpocaulon_fraxinifolium,6,3,1,7,0.159,40
las_cruces,serpocaulon_fraxinifolium,6,3,2,8,0.159,40
las_cruces,serpocaulon_fraxinifolium,6,3,3,10,0.159,40
las_cruces,serpocaulon_triseriale,1,1,1,10,0.159,40
las_cruces,serpocaulon_triseriale,1,1,2,9,0.159,40
las_cruces,serpocaulon_triseriale,1,1,3,9,0.159,40
las_cruces,serpocaulon_triseriale,1,2,1,9,0.159,40
las_cruces,serpocaulon_triseriale,1,2,2,9,0.159,40
las_cruces,serpocaulon_triseriale,1,2,3,10,0.159,40
las_cruces,serpocaulon_triseriale,1,3,1,9,0.159,40
las_cruces,serpocaulon_triseriale,1,3,2,10,0.159,40
las_cruces,serpocaulon_triseriale,1,3,3,10,0.159,40
las_cruces,serpocaulon_triseriale,2,1,1,7,0.159,40
las_cruces,serpocaulon_triseriale,2,1,2,6,0.159,40
las_cruces,serpocaulon_triseriale,2,1,3,5,0.159,40
las_cruces,serpocaulon_triseriale,2,2,1,7,0.159,40
las_cruces,serpocaulon_triseriale,2,2,2,8,0.159,40
las_cruces,serpocaulon_triseriale,2,2,3,5,0.159,40
las_cruces,serpocaulon_triseriale,2,3,1,6,0.159,40
las_cruces,serpocaulon_triseriale,2,3,2,6,0.159,40
las_cruces,serpocaulon_triseriale,2,3,3,5,0.159,40
las_cruces,serpocaulon_triseriale,3,1,1,9,0.159,40
las_cruces,serpocaulon_triseriale,3,1,2,7,0.159,40
las_cruces,serpocaulon_triseriale,3,1,3,6,0.159,40
las_cruces,serpocaulon_triseriale,3,2,1,9,0.159,40
las_cruces,serpocaulon_triseriale,3,2,2,8,0.159,40
las_cruces,serpocaulon_triseriale,3,2,3,6,0.159,40
las_cruces,serpocaulon_triseriale,3,3,1,9,0.159,40
las_cruces,serpocaulon_triseriale,3,3,2,9,0.159,40
las_cruces,serpocaulon_triseriale,3,3,3,6,0.159,40
las_cruces,serpocaulon_triseriale,4,1,1,11,0.159,40
las_cruces,serpocaulon_triseriale,4,1,2,9,0.159,40
las_cruces,serpocaulon_triseriale,4,1,3,9,0.159,40
las_cruces,serpocaulon_triseriale,4,2,1,7,0.159,40
las_cruces,serpocaulon_triseriale,4,2,2,8,0.159,40
las_cruces,serpocaulon_triseriale,4,2,3,9,0.159,40
las_cruces,serpocaulon_triseriale,4,3,1,7,0.159,40
las_cruces,serpocaulon_triseriale,4,3,2,8,0.159,40
las_cruces,serpocaulon_triseriale,4,3,3,6,0.159,40
las_cruces,serpocaulon_triseriale,5,1,1,7,0.159,40
las_cruces,serpocaulon_triseriale,5,1,2,7,0.159,40
las_cruces,serpocaulon_triseriale,5,1,3,6,0.159,40
las_cruces,serpocaulon_triseriale,5,2,1,10,0.159,40
las_cruces,serpocaulon_triseriale,5,2,2,9,0.159,40
las_cruces,serpocaulon_triseriale,5,2,3,6,0.159,40
las_cruces,serpocaulon_triseriale,5,3,1,10,0.159,40
las_cruces,serpocaulon_triseriale,5,3,2,9,0.159,40
las_cruces,serpocaulon_triseriale,5,3,3,10,0.159,40
las_cruces,serpocaulon_triseriale,6,1,1,9,0.159,40
las_cruces,serpocaulon_triseriale,6,1,2,11,0.159,40
las_cruces,serpocaulon_triseriale,6,1,3,9,0.159,40
las_cruces,serpocaulon_triseriale,6,2,1,14,0.159,40
las_cruces,serpocaulon_triseriale,6,2,2,10,0.159,40
las_cruces,serpocaulon_triseriale,6,2,3,10,0.159,40
las_cruces,serpocaulon_triseriale,6,3,1,11,0.159,40
las_cruces,serpocaulon_triseriale,6,3,2,9,0.159,40
las_cruces,serpocaulon_triseriale,6,3,3,10,0.159,40
las_cruces,parapolystichum_excultum,1,1,1,10,0.159,40
las_cruces,parapolystichum_excultum,1,1,2,11,0.159,40
las_cruces,parapolystichum_excultum,1,1,3,10,0.159,40
las_cruces,parapolystichum_excultum,1,2,1,9,0.159,40
las_cruces,parapolystichum_excultum,1,2,2,8,0.159,40
las_cruces,parapolystichum_excultum,1,2,3,10,0.159,40
las_cruces,parapolystichum_excultum,1,3,1,12,0.159,40
las_cruces,parapolystichum_excultum,1,3,2,7,0.159,40
las_cruces,parapolystichum_excultum,1,3,3,10,0.159,40
las_cruces,parapolystichum_excultum,2,1,1,7,0.159,40
las_cruces,parapolystichum_excultum,2,1,2,13,0.159,40
las_cruces,parapolystichum_excultum,2,1,3,8,0.159,40
las_cruces,parapolystichum_excultum,2,2,1,8,0.159,40
las_cruces,parapolystichum_excultum,2,2,2,7,0.159,40
las_cruces,parapolystichum_excultum,2,2,3,9,0.159,40
las_cruces,parapolystichum_excultum,2,3,1,9,0.159,40
las_cruces,parapolystichum_excultum,2,3,2,10,0.159,40
las_cruces,parapolystichum_excultum,2,3,3,13,0.159,40
las_cruces,parapolystichum_excultum,3,1,1,14,0.159,40
las_cruces,parapolystichum_excultum,3,1,2,7,0.159,40
las_cruces,parapolystichum_excultum,3,1,3,11,0.159,40
las_cruces,parapolystichum_excultum,3,2,1,10,0.159,40
las_cruces,parapolystichum_excultum,3,2,2,13,0.159,40
las_cruces,parapolystichum_excultum,3,2,3,8,0.159,40
las_cruces,parapolystichum_excultum,3,3,1,8,0.159,40
las_cruces,parapolystichum_excultum,3,3,2,4,0.159,40
las_cruces,parapolystichum_excultum,3,3,3,8,0.159,40
las_cruces,parapolystichum_excultum,4,1,1,9,0.159,40
las_cruces,parapolystichum_excultum,4,1,2,9,0.159,40
las_cruces,parapolystichum_excultum,4,1,3,11,0.159,40
las_cruces,parapolystichum_excultum,4,2,1,8,0.159,40
las_cruces,parapolystichum_excultum,4,2,2,10,0.159,40
las_cruces,parapolystichum_excultum,4,2,3,7,0.159,40
las_cruces,parapolystichum_excultum,4,3,1,7,0.159,40
las_cruces,parapolystichum_excultum,4,3,2,7,0.159,40
las_cruces,parapolystichum_excultum,4,3,3,9,0.159,40
las_cruces,parapolystichum_excultum,5,1,1,10,0.159,40
las_cruces,parapolystichum_excultum,5,1,2,10,0.159,40
las_cruces,parapolystichum_excultum,5,1,3,8,0.159,40
las_cruces,parapolystichum_excultum,5,2,1,9,0.159,40
las_cruces,parapolystichum_excultum,5,2,2,6,0.159,40
las_cruces,parapolystichum_excultum,5,2,3,7,0.159,40
las_cruces,parapolystichum_excultum,5,3,1,11,0.159,40
las_cruces,parapolystichum_excultum,5,3,2,12,0.159,40
las_cruces,parapolystichum_excultum,5,3,3,10,0.159,40
las_cruces,parapolystichum_excultum,6,1,1,9,0.159,40
las_cruces,parapolystichum_excultum,6,1,2,8,0.159,40
las_cruces,parapolystichum_excultum,6,1,3,8,0.159,40
las_cruces,parapolystichum_excultum,6,2,1,10,0.159,40
las_cruces,parapolystichum_excultum,6,2,2,11,0.159,40
las_cruces,parapolystichum_excultum,6,2,3,8,0.159,40
las_cruces,parapolystichum_excultum,6,3,1,15,0.159,40
las_cruces,parapolystichum_excultum,6,3,2,10,0.159,40
las_cruces,parapolystichum_excultum,6,3,3,12,0.159,40
las_cruces,diplazium_prominulum,1,1,1,13,0.159,40
las_cruces,diplazium_prominulum,1,1,2,17,0.159,40
las_cruces,diplazium_prominulum,1,1,3,10,0.159,40
las_cruces,diplazium_prominulum,1,2,1,10,0.159,40
las_cruces,diplazium_prominulum,1,2,2,8,0.159,40
las_cruces,diplazium_prominulum,1,2,3,9,0.159,40
las_cruces,diplazium_prominulum,1,3,1,15,0.159,40
las_cruces,diplazium_prominulum,1,3,2,11,0.159,40
las_cruces,diplazium_prominulum,1,3,3,12,0.159,40
las_cruces,diplazium_prominulum,2,1,1,12,0.159,40
las_cruces,diplazium_prominulum,2,1,2,12,0.159,40
las_cruces,diplazium_prominulum,2,1,3,15,0.159,40
las_cruces,diplazium_prominulum,2,2,1,10,0.159,40
las_cruces,diplazium_prominulum,2,2,2,8,0.159,40
las_cruces,diplazium_prominulum,2,2,3,12,0.159,40
las_cruces,diplazium_prominulum,2,3,1,15,0.159,40
las_cruces,diplazium_prominulum,2,3,2,13,0.159,40
las_cruces,diplazium_prominulum,2,3,3,12,0.159,40
las_cruces,diplazium_prominulum,3,1,1,9,0.159,40
las_cruces,diplazium_prominulum,3,1,2,9,0.159,40
las_cruces,diplazium_prominulum,3,1,3,13,0.159,40
las_cruces,diplazium_prominulum,3,2,1,12,0.159,40
las_cruces,diplazium_prominulum,3,2,2,8,0.159,40
las_cruces,diplazium_prominulum,3,2,3,8,0.159,40
las_cruces,diplazium_prominulum,3,3,1,10,0.159,40
las_cruces,diplazium_prominulum,3,3,2,8,0.159,40
las_cruces,diplazium_prominulum,3,3,3,7,0.159,40
las_cruces,diplazium_prominulum,4,1,1,15,0.159,40
las_cruces,diplazium_prominulum,4,1,2,10,0.159,40
las_cruces,diplazium_prominulum,4,1,3,12,0.159,40
las_cruces,diplazium_prominulum,4,2,1,12,0.159,40
las_cruces,diplazium_prominulum,4,2,2,13,0.159,40
las_cruces,diplazium_prominulum,4,2,3,12,0.159,40
las_cruces,diplazium_prominulum,4,3,1,11,0.159,40
las_cruces,diplazium_prominulum,4,3,2,10,0.159,40
las_cruces,diplazium_prominulum,4,3,3,12,0.159,40
las_cruces,diplazium_prominulum,5,1,1,8,0.159,40
las_cruces,diplazium_prominulum,5,1,2,9,0.159,40
las_cruces,diplazium_prominulum,5,1,3,8,0.159,40
las_cruces,diplazium_prominulum,5,2,1,7,0.159,40
las_cruces,diplazium_prominulum,5,2,2,9,0.159,40
las_cruces,diplazium_prominulum,5,2,3,9,0.159,40
las_cruces,diplazium_prominulum,5,3,1,13,0.159,40
las_cruces,diplazium_prominulum,5,3,2,14,0.159,40
las_cruces,diplazium_prominulum,5,3,3,15,0.159,40
las_cruces,diplazium_prominulum,6,1,1,13,0.159,40
las_cruces,diplazium_prominulum,6,1,2,11,0.159,40
las_cruces,diplazium_prominulum,6,1,3,10,0.159,40
las_cruces,diplazium_prominulum,6,2,1,11,0.159,40
las_cruces,diplazium_prominulum,6,2,2,11,0.159,40
las_cruces,diplazium_prominulum,6,2,3,13,0.159,40
las_cruces,diplazium_prominulum,6,3,1,10,0.159,40
las_cruces,diplazium_prominulum,6,3,2,9,0.159,40
las_cruces,diplazium_prominulum,6,3,3,9,0.159,40
las_cruces,nephrolepis_brownii,1,1,1,13,0.159,40
las_cruces,nephrolepis_brownii,1,1,2,12,0.159,40
las_cruces,nephrolepis_brownii,1,1,3,14,0.159,40
las_cruces,nephrolepis_brownii,1,2,1,11,0.159,40
las_cruces,nephrolepis_brownii,1,2,2,14,0.159,40
las_cruces,nephrolepis_brownii,1,2,3,13,0.159,40
las_cruces,nephrolepis_brownii,1,3,1,8,0.159,40
las_cruces,nephrolepis_brownii,1,3,2,11,0.159,40
las_cruces,nephrolepis_brownii,1,3,3,12,0.159,40
las_cruces,nephrolepis_brownii,2,1,1,10,0.159,40
las_cruces,nephrolepis_brownii,2,1,2,7,0.159,40
las_cruces,nephrolepis_brownii,2,1,3,7,0.159,40
las_cruces,nephrolepis_brownii,2,2,1,9,0.159,40
las_cruces,nephrolepis_brownii,2,2,2,10,0.159,40
las_cruces,nephrolepis_brownii,2,2,3,9,0.159,40
las_cruces,nephrolepis_brownii,2,3,1,13,0.159,40
las_cruces,nephrolepis_brownii,2,3,2,9,0.159,40
las_cruces,nephrolepis_brownii,2,3,3,10,0.159,40
las_cruces,nephrolepis_brownii,3,1,1,14,0.159,40
las_cruces,nephrolepis_brownii,3,1,2,11,0.159,40
las_cruces,nephrolepis_brownii,3,1,3,13,0.159,40
las_cruces,nephrolepis_brownii,3,2,1,12,0.159,40
las_cruces,nephrolepis_brownii,3,2,2,13,0.159,40
las_cruces,nephrolepis_brownii,3,2,3,11,0.159,40
las_cruces,nephrolepis_brownii,3,3,1,13,0.159,40
las_cruces,nephrolepis_brownii,3,3,2,12,0.159,40
las_cruces,nephrolepis_brownii,3,3,3,14,0.159,40
las_cruces,nephrolepis_brownii,4,1,1,8,0.159,40
las_cruces,nephrolepis_brownii,4,1,2,11,0.159,40
las_cruces,nephrolepis_brownii,4,1,3,8,0.159,40
las_cruces,nephrolepis_brownii,4,2,1,9,0.159,40
las_cruces,nephrolepis_brownii,4,2,2,10,0.159,40
las_cruces,nephrolepis_brownii,4,2,3,11,0.159,40
las_cruces,nephrolepis_brownii,4,3,1,9,0.159,40
las_cruces,nephrolepis_brownii,4,3,2,11,0.159,40
las_cruces,nephrolepis_brownii,4,3,3,11,0.159,40
las_cruces,nephrolepis_brownii,5,1,1,14,0.159,40
las_cruces,nephrolepis_brownii,5,1,2,11,0.159,40
las_cruces,nephrolepis_brownii,5,1,3,10,0.159,40
las_cruces,nephrolepis_brownii,5,2,1,12,0.159,40
las_cruces,nephrolepis_brownii,5,2,2,11,0.159,40
las_cruces,nephrolepis_brownii,5,2,3,11,0.159,40
las_cruces,nephrolepis_brownii,5,3,1,7,0.159,40
las_cruces,nephrolepis_brownii,5,3,2,12,0.159,40
las_cruces,nephrolepis_brownii,5,3,3,10,0.159,40
las_cruces,nephrolepis_brownii,6,1,1,10,0.159,40
las_cruces,nephrolepis_brownii,6,1,2,8,0.159,40
las_cruces,nephrolepis_brownii,6,1,3,9,0.159,40
las_cruces,nephrolepis_brownii,6,2,1,8,0.159,40
las_cruces,nephrolepis_brownii,6,2,2,8,0.159,40
las_cruces,nephrolepis_brownii,6,2,3,9,0.159,40
las_cruces,nephrolepis_brownii,6,3,1,9,0.159,40
las_cruces,nephrolepis_brownii,6,3,2,10,0.159,40
las_cruces,nephrolepis_brownii,6,3,3,7,0.159,40
las_cruces,dryopteris_patula,1,1,1,20,0.159,40
las_cruces,dryopteris_patula,1,1,2,12,0.159,40
las_cruces,dryopteris_patula,1,1,3,15,0.159,40
las_cruces,dryopteris_patula,1,2,1,11,0.159,40
las_cruces,dryopteris_patula,1,2,2,13,0.159,40
las_cruces,dryopteris_patula,1,2,3,13,0.159,40
las_cruces,dryopteris_patula,1,3,1,11,0.159,40
las_cruces,dryopteris_patula,1,3,2,15,0.159,40
las_cruces,dryopteris_patula,1,3,3,15,0.159,40
las_cruces,dryopteris_patula,2,1,1,11,0.159,40
las_cruces,dryopteris_patula,2,1,2,15,0.159,40
las_cruces,dryopteris_patula,2,1,3,15,0.159,40
las_cruces,dryopteris_patula,2,2,1,15,0.159,40
las_cruces,dryopteris_patula,2,2,2,12,0.159,40
las_cruces,dryopteris_patula,2,2,3,14,0.159,40
las_cruces,dryopteris_patula,2,3,1,16,0.159,40
las_cruces,dryopteris_patula,2,3,2,8,0.159,40
las_cruces,dryopteris_patula,2,3,3,14,0.159,40
las_cruces,dryopteris_patula,3,1,1,10,0.159,40
las_cruces,dryopteris_patula,3,1,2,11,0.159,40
las_cruces,dryopteris_patula,3,1,3,8,0.159,40
las_cruces,dryopteris_patula,3,2,1,7,0.159,40
las_cruces,dryopteris_patula,3,2,2,8,0.159,40
las_cruces,dryopteris_patula,3,2,3,10,0.159,40
las_cruces,dryopteris_patula,3,3,1,8,0.159,40
las_cruces,dryopteris_patula,3,3,2,10,0.159,40
las_cruces,dryopteris_patula,3,3,3,6,0.159,40
las_cruces,dryopteris_patula,4,1,1,11,0.159,40
las_cruces,dryopteris_patula,4,1,2,12,0.159,40
las_cruces,dryopteris_patula,4,1,3,9,0.159,40
las_cruces,dryopteris_patula,4,2,1,12,0.159,40
las_cruces,dryopteris_patula,4,2,2,15,0.159,40
las_cruces,dryopteris_patula,4,2,3,11,0.159,40
las_cruces,dryopteris_patula,4,3,1,10,0.159,40
las_cruces,dryopteris_patula,4,3,2,10,0.159,40
las_cruces,dryopteris_patula,4,3,3,9,0.159,40
las_cruces,dryopteris_patula,5,1,1,14,0.159,40
las_cruces,dryopteris_patula,5,1,2,13,0.159,40
las_cruces,dryopteris_patula,5,1,3,17,0.159,40
las_cruces,dryopteris_patula,5,2,1,12,0.159,40
las_cruces,dryopteris_patula,5,2,2,8,0.159,40
las_cruces,dryopteris_patula,5,2,3,10,0.159,40
las_cruces,dryopteris_patula,5,3,1,17,0.159,40
las_cruces,dryopteris_patula,5,3,2,16,0.159,40
las_cruces,dryopteris_patula,5,3,3,19,0.159,40
las_cruces,dryopteris_patula,6,1,1,11,0.159,40
las_cruces,dryopteris_patula,6,1,2,11,0.159,40
las_cruces,dryopteris_patula,6,1,3,13,0.159,40
las_cruces,dryopteris_patula,6,2,1,12,0.159,40
las_cruces,dryopteris_patula,6,2,2,14,0.159,40
las_cruces,dryopteris_patula,6,2,3,13,0.159,40
las_cruces,dryopteris_patula,6,3,1,12,0.159,40
las_cruces,dryopteris_patula,6,3,2,11,0.159,40
las_cruces,dryopteris_patula,6,3,3,12,0.159,40
las_cruces,niphidium_crassifolium,1,1,1,6,0.159,40
las_cruces,niphidium_crassifolium,1,1,2,6,0.159,40
las_cruces,niphidium_crassifolium,1,1,3,9,0.159,40
las_cruces,niphidium_crassifolium,1,2,1,7,0.159,40
las_cruces,niphidium_crassifolium,1,2,2,7,0.159,40
las_cruces,niphidium_crassifolium,1,2,3,5,0.159,40
las_cruces,niphidium_crassifolium,1,3,1,7,0.159,40
las_cruces,niphidium_crassifolium,1,3,2,8,0.159,40
las_cruces,niphidium_crassifolium,1,3,3,7,0.159,40
las_cruces,niphidium_crassifolium,2,1,1,8,0.159,40
las_cruces,niphidium_crassifolium,2,1,2,4,0.159,40
las_cruces,niphidium_crassifolium,2,1,3,7,0.159,40
las_cruces,niphidium_crassifolium,2,2,1,6,0.159,40
las_cruces,niphidium_crassifolium,2,2,2,6,0.159,40
las_cruces,niphidium_crassifolium,2,2,3,8,0.159,40
las_cruces,niphidium_crassifolium,2,3,1,6,0.159,40
las_cruces,niphidium_crassifolium,2,3,2,4,0.159,40
las_cruces,niphidium_crassifolium,2,3,3,4,0.159,40
las_cruces,niphidium_crassifolium,3,1,1,9,0.159,40
las_cruces,niphidium_crassifolium,3,1,2,12,0.159,40
las_cruces,niphidium_crassifolium,3,1,3,11,0.159,40
las_cruces,niphidium_crassifolium,3,2,1,10,0.159,40
las_cruces,niphidium_crassifolium,3,2,2,9,0.159,40
las_cruces,niphidium_crassifolium,3,2,3,9,0.159,40
las_cruces,niphidium_crassifolium,3,3,1,11,0.159,40
las_cruces,niphidium_crassifolium,3,3,2,11,0.159,40
las_cruces,niphidium_crassifolium,3,3,3,13,0.159,40
las_cruces,niphidium_crassifolium,4,1,1,7,0.159,40
las_cruces,niphidium_crassifolium,4,1,2,9,0.159,40
las_cruces,niphidium_crassifolium,4,1,3,6,0.159,40
las_cruces,niphidium_crassifolium,4,2,1,8,0.159,40
las_cruces,niphidium_crassifolium,4,2,2,6,0.159,40
las_cruces,niphidium_crassifolium,4,2,3,7,0.159,40
las_cruces,niphidium_crassifolium,4,3,1,10,0.159,40
las_cruces,niphidium_crassifolium,4,3,2,7,0.159,40
las_cruces,niphidium_crassifolium,4,3,3,7,0.159,40
las_cruces,niphidium_crassifolium,5,1,1,14,0.159,40
las_cruces,niphidium_crassifolium,5,1,2,13,0.159,40
las_cruces,niphidium_crassifolium,5,1,3,13,0.159,40
las_cruces,niphidium_crassifolium,5,2,1,11,0.159,40
las_cruces,niphidium_crassifolium,5,2,2,11,0.159,40
las_cruces,niphidium_crassifolium,5,2,3,11,0.159,40
las_cruces,niphidium_crassifolium,5,3,1,9,0.159,40
las_cruces,niphidium_crassifolium,5,3,2,10,0.159,40
las_cruces,niphidium_crassifolium,5,3,3,7,0.159,40
las_cruces,niphidium_crassifolium,6,1,1,7,0.159,40
las_cruces,niphidium_crassifolium,6,1,2,9,0.159,40
las_cruces,niphidium_crassifolium,6,1,3,8,0.159,40
las_cruces,niphidium_crassifolium,6,2,1,7,0.159,40
las_cruces,niphidium_crassifolium,6,2,2,9,0.159,40
las_cruces,niphidium_crassifolium,6,2,3,8,0.159,40
las_cruces,niphidium_crassifolium,6,3,1,10,0.159,40
las_cruces,niphidium_crassifolium,6,3,2,11,0.159,40
las_cruces,niphidium_crassifolium,6,3,3,8,0.159,40
las_cruces,diplazium_atirrense,1,1,1,9,0.159,40
las_cruces,diplazium_atirrense,1,1,2,10,0.159,40
las_cruces,diplazium_atirrense,1,1,3,8,0.159,40
las_cruces,diplazium_atirrense,1,2,1,8,0.159,40
las_cruces,diplazium_atirrense,1,2,2,7,0.159,40
las_cruces,diplazium_atirrense,1,2,3,7,0.159,40
las_cruces,diplazium_atirrense,1,3,1,8,0.159,40
las_cruces,diplazium_atirrense,1,3,2,6,0.159,40
las_cruces,diplazium_atirrense,1,3,3,8,0.159,40
las_cruces,diplazium_atirrense,2,1,1,9,0.159,40
las_cruces,diplazium_atirrense,2,1,2,11,0.159,40
las_cruces,diplazium_atirrense,2,1,3,10,0.159,40
las_cruces,diplazium_atirrense,2,2,1,8,0.159,40
las_cruces,diplazium_atirrense,2,2,2,11,0.159,40
las_cruces,diplazium_atirrense,2,2,3,8,0.159,40
las_cruces,diplazium_atirrense,2,3,1,7,0.159,40
las_cruces,diplazium_atirrense,2,3,2,7,0.159,40
las_cruces,diplazium_atirrense,2,3,3,6,0.159,40
las_cruces,diplazium_atirrense,3,1,1,9,0.159,40
las_cruces,diplazium_atirrense,3,1,2,7,0.159,40
las_cruces,diplazium_atirrense,3,1,3,7,0.159,40
las_cruces,diplazium_atirrense,3,2,1,7,0.159,40
las_cruces,diplazium_atirrense,3,2,2,10,0.159,40
las_cruces,diplazium_atirrense,3,2,3,9,0.159,40
las_cruces,diplazium_atirrense,3,3,1,10,0.159,40
las_cruces,diplazium_atirrense,3,3,2,10,0.159,40
las_cruces,diplazium_atirrense,3,3,3,9,0.159,40
las_cruces,diplazium_atirrense,4,1,1,9,0.159,40
las_cruces,diplazium_atirrense,4,1,2,11,0.159,40
las_cruces,diplazium_atirrense,4,1,3,8,0.159,40
las_cruces,diplazium_atirrense,4,2,1,9,0.159,40
las_cruces,diplazium_atirrense,4,2,2,10,0.159,40
las_cruces,diplazium_atirrense,4,2,3,10,0.159,40
las_cruces,diplazium_atirrense,4,3,1,9,0.159,40
las_cruces,diplazium_atirrense,4,3,2,9,0.159,40
las_cruces,diplazium_atirrense,4,3,3,8,0.159,40
las_cruces,diplazium_atirrense,5,1,1,9,0.159,40
las_cruces,diplazium_atirrense,5,1,2,6,0.159,40
las_cruces,diplazium_atirrense,5,1,3,7,0.159,40
las_cruces,diplazium_atirrense,5,2,1,10,0.159,40
las_cruces,diplazium_atirrense,5,2,2,9,0.159,40
las_cruces,diplazium_atirrense,5,2,3,9,0.159,40
las_cruces,diplazium_atirrense,5,3,1,11,0.159,40
las_cruces,diplazium_atirrense,5,3,2,9,0.159,40
las_cruces,diplazium_atirrense,5,3,3,11,0.159,40
las_cruces,diplazium_atirrense,6,1,1,13,0.159,40
las_cruces,diplazium_atirrense,6,1,2,12,0.159,40
las_cruces,diplazium_atirrense,6,1,3,12,0.159,40
las_cruces,diplazium_atirrense,6,2,1,13,0.159,40
las_cruces,diplazium_atirrense,6,2,2,14,0.159,40
las_cruces,diplazium_atirrense,6,2,3,11,0.159,40
las_cruces,diplazium_atirrense,6,3,1,11,0.159,40
las_cruces,diplazium_atirrense,6,3,2,13,0.159,40
las_cruces,diplazium_atirrense,6,3,3,14,0.159,40
las_cruces,asplenium_uniseriale,1,1,1,7,0.159,40
las_cruces,asplenium_uniseriale,1,1,2,5,0.159,40
las_cruces,asplenium_uniseriale,1,1,3,4,0.159,40
las_cruces,asplenium_uniseriale,1,2,1,8,0.159,40
las_cruces,asplenium_uniseriale,1,2,2,9,0.159,40
las_cruces,asplenium_uniseriale,1,2,3,5,0.159,40
las_cruces,asplenium_uniseriale,1,3,1,4,0.159,40
las_cruces,asplenium_uniseriale,1,3,2,6,0.159,40
las_cruces,asplenium_uniseriale,1,3,3,3,0.159,40
las_cruces,asplenium_uniseriale,2,1,1,3,0.159,40
las_cruces,asplenium_uniseriale,2,1,2,3,0.159,40
las_cruces,asplenium_uniseriale,2,1,3,2,0.159,40
las_cruces,asplenium_uniseriale,2,2,1,3,0.159,40
las_cruces,asplenium_uniseriale,2,2,2,4,0.159,40
las_cruces,asplenium_uniseriale,2,2,3,4,0.159,40
