species,id,salt,filter_mass,temp,drydown_no,total_mass,time,date
camp,24,c,0.0437,25.3,2,0.0542,19:30,7/6/2017
camp,25,c,0.0473,25.3,2,0.0583,19:30,7/6/2017
camp,26,kno3,0.0438,25.3,2,0.0466,19:30,7/6/2017
camp,27,nacl,0.0402,25.3,2,0.0408,19:30,7/6/2017
camp,28,c,0.0406,25.3,2,0.0458,19:30,7/6/2017
camp,29,kno3,0.0424,25.3,2,0.0452,19:30,7/6/2017
camp,30,c,0.0396,25.3,2,0.0459,19:30,7/6/2017
camp,31,c,0.0476,25.3,2,0.0579,19:30,7/6/2017
camp,32,kno3,0.044,25.3,2,0.0499,19:30,7/6/2017
camp,33,mgso4,0.0535,25.3,2,0.0548,19:30,7/6/2017
camp,34,nacl,0.0476,25.3,2,0.048,19:30,7/6/2017
camp,35,mgso4,0.0483,25.3,2,0.0503,19:30,7/6/2017
camp,36,mgso4,0.0472,25.3,2,0.0516,19:30,7/6/2017
camp,37,kno3,0.0311,25.3,2,0.0352,19:30,7/6/2017
camp,38,kno3,0.0387,25.3,2,0.0407,19:30,7/6/2017
camp,39,nacl,0.0387,25.3,2,0.0389,19:30,7/6/2017
camp,40,mgso4,0.0335,25.3,2,0.0351,19:30,7/6/2017
camp,21,nacl,0.049,25.3,3,0.0495,7:30,7/7/2017
camp,22,nacl,0.045,25.3,3,0.0479,7:30,7/7/2017
camp,23,mgso4,0.0464,25.3,3,0.0491,7:30,7/7/2017
camp,24,c,0.0437,25.3,3,0.0578,7:30,7/7/2017
camp,25,c,0.0473,25.3,3,0.0631,7:30,7/7/2017
camp,26,kno3,0.0438,25.3,3,0.0469,7:30,7/7/2017
camp,27,nacl,0.0402,25.3,3,0.0408,7:30,7/7/2017
camp,28,c,0.0406,25.3,3,0.0473,7:30,7/7/2017
camp,29,kno3,0.0424,25.3,3,0.0443,7:30,7/7/2017
camp,30,c,0.0396,25.3,3,0.0477,7:30,7/7/2017
camp,31,c,0.0476,25.3,3,0.0597,7:30,7/7/2017
camp,32,kno3,0.044,25.3,3,0.0502,7:30,7/7/2017
camp,33,mgso4,0.0535,25.3,3,0.0547,7:30,7/7/2017
camp,34,nacl,0.0476,25.3,3,0.0477,7:30,7/7/2017
camp,35,mgso4,0.0483,25.3,3,0.0524,7:30,7/7/2017
camp,36,mgso4,0.0472,25.3,3,0.0521,7:30,7/7/2017
camp,37,kno3,0.0311,25.3,3,0.0354,7:30,7/7/2017
camp,38,kno3,0.0387,25.3,3,0.0421,7:30,7/7/2017
camp,39,nacl,0.0387,25.3,3,0.0387,7:30,7/7/2017
camp,40,mgso4,0.0335,25.3,3,0.0356,7:30,7/7/2017
camp,21,nacl,0.049,25.3,4,0.049,14:30,7/7/2017
camp,22,nacl,0.045,25.3,4,0.04779,14:30,7/7/2017
camp,23,mgso4,0.0464,25.3,4,0.0487,14:30,7/7/2017
camp,24,c,0.0437,25.3,4,0.0579,14:30,7/7/2017
camp,25,c,0.0473,25.3,4,0.0636,14:30,7/7/2017
camp,26,kno3,0.0438,25.3,4,0.0473,14:30,7/7/2017
camp,27,nacl,0.0402,25.3,4,0.0402,14:30,7/7/2017
camp,28,c,0.0406,25.3,4,0.0486,14:30,7/7/2017
camp,29,kno3,0.0424,25.3,4,0.0444,14:30,7/7/2017
camp,30,c,0.0396,25.3,4,0.0477,14:30,7/7/2017
camp,31,c,0.0476,25.3,4,0.0607,14:30,7/7/2017
camp,32,kno3,0.044,25.3,4,0.05,14:30,7/7/2017
camp,33,mgso4,0.0535,25.3,4,0.0545,14:30,7/7/2017
camp,34,nacl,0.0476,25.3,4,0.0474,14:30,7/7/2017
camp,35,mgso4,0.0483,25.3,4,0.0511,14:30,7/7/2017
camp,36,mgso4,0.0472,25.3,4,0.0512,14:30,7/7/2017
camp,37,kno3,0.0311,25.3,4,0.0352,14:30,7/7/2017
camp,38,kno3,0.0387,25.3,4,0.0416,14:30,7/7/2017
camp,39,nacl,0.0387,25.3,4,0.0398,14:30,7/7/2017
camp,40,mgso4,0.0335,25.3,4,0.0438,14:30,7/7/2017
lomves,1,kno3,0.064,25.3,6,0.0684,14:30,7/7/2017
lomves,2,nacl,0.0603,25.3,6,0.0632,14:30,7/7/2017
lomves,3,c,0.0582,25.3,6,0.0818,14:30,7/7/2017
lomves,4,kno3,0.0572,25.3,6,0.0621,14:30,7/7/2017
lomves,5,mgso4,0.062,25.3,6,0.069,14:30,7/7/2017
lomves,6,nacl,0.0678,25.3,6,0.0702,14:30,7/7/2017
lomves,7,mgso4,0.0755,25.3,6,0.0802,14:30,7/7/2017
lomves,8,nacl,0.0787,25.3,6,0.0813,14:30,7/7/2017
lomves,9,mgso4,0.0714,25.3,6,0.0765,14:30,7/7/2017
lomves,10,c,0.0776,25.3,6,0.104,14:30,7/7/2017
lomves,11,mgso4,0.079,25.3,6,0.0832,14:30,7/7/2017
lomves,12,c,0.0846,25.3,6,0.1062,14:30,7/7/2017
lomves,13,mgso4,0.0839,25.3,6,0.0887,14:30,7/7/2017
lomves,14,c,0.084,25.3,6,0.1098,14:30,7/7/2017
lomves,15,nacl,0.0819,25.3,6,0.0844,14:30,7/7/2017
lomves,16,c,0.1093,25.3,6,0.1541,14:30,7/7/2017
lomves,17,kno3,0.1113,25.3,6,0.1215,14:30,7/7/2017
lomves,18,nacl,0.111,25.3,6,0.1154,14:30,7/7/2017
lomves,19,kno3,0.1132,25.3,6,0.1192,14:30,7/7/2017
lomves,20,kno3,0.1126,25.3,6,0.1251,14:30,7/7/2017
