site,species,plant_no,disk,region,sto1,sto2,sto3,fov_mm2
la_selva,elaphoglossum_amygdalifolium,3,3,3,3,2,0,0.159
la_selva,elaphoglossum_amygdalifolium,4,1,1,2,2,1,0.159
la_selva,elaphoglossum_amygdalifolium,4,1,2,2,0,3,0.159
la_selva,elaphoglossum_amygdalifolium,4,1,3,1,2,2,0.159
la_selva,elaphoglossum_amygdalifolium,4,2,1,2,1,1,0.159
la_selva,elaphoglossum_amygdalifolium,4,2,2,2,1,1,0.159
la_selva,elaphoglossum_amygdalifolium,4,2,3,1,1,3,0.159
la_selva,elaphoglossum_amygdalifolium,4,3,1,2,2,0,0.159
la_selva,elaphoglossum_amygdalifolium,4,2,2,1,2,2,0.159
la_selva,elaphoglossum_amygdalifolium,4,2,3,1,2,2,0.159
la_selva,elaphoglossum_amygdalifolium,5,1,1,2,1,1,0.159
la_selva,elaphoglossum_amygdalifolium,5,1,2,2,1,2,0.159
la_selva,elaphoglossum_amygdalifolium,5,1,3,2,0,0,0.159
la_selva,elaphoglossum_amygdalifolium,5,2,1,0,0,0,0.159
la_selva,elaphoglossum_amygdalifolium,5,2,2,3,0,1,0.159
la_selva,elaphoglossum_amygdalifolium,5,2,3,2,1,1,0.159
la_selva,elaphoglossum_amygdalifolium,5,3,1,1,0,2,0.159
la_selva,elaphoglossum_amygdalifolium,5,2,2,2,0,1,0.159
la_selva,elaphoglossum_amygdalifolium,5,2,3,2,1,1,0.159
la_selva,elaphoglossum_amygdalifolium,6,1,1,0,2,1,0.159
la_selva,elaphoglossum_amygdalifolium,6,1,2,1,1,1,0.159
la_selva,elaphoglossum_amygdalifolium,6,1,3,2,1,1,0.159
la_selva,elaphoglossum_amygdalifolium,6,2,1,1,0,1,0.159
la_selva,elaphoglossum_amygdalifolium,6,2,2,2,2,2,0.159
la_selva,elaphoglossum_amygdalifolium,6,2,3,1,2,2,0.159
la_selva,elaphoglossum_amygdalifolium,6,3,1,0,1,2,0.159
la_selva,elaphoglossum_amygdalifolium,6,3,2,3,1,0,0.159
la_selva,elaphoglossum_amygdalifolium,6,3,3,1,1,1,0.159
la_selva,elaphoglossum_herminieri,1,1,1,3,5,3,0.159
la_selva,elaphoglossum_herminieri,1,1,2,3,5,4,0.159
la_selva,elaphoglossum_herminieri,1,1,3,3,4,2,0.159
la_selva,elaphoglossum_herminieri,1,2,1,4,4,5,0.159
