site,genusspecies,individual,stom_no,guardcell_length_um,guardcell_width1_um,guardcell_width2_um
las_cruces,blesch,2a,1,0.06,0.013,0.013
las_cruces,blesch,2a,2,0.052,0.012,0.014
las_cruces,blesch,2a,3,0.051,0.013,0.013
las_cruces,blesch,2a,4,0.053,0.013,0.013
las_cruces,blesch,2b,5,0.053,0.011,0.011
las_cruces,blesch,2b,6,0.051,0.013,0.012
las_cruces,blesch,2b,7,0.051,0.012,0.012
las_cruces,blesch,2c,8,0.054,0.014,0.015
las_cruces,blesch,3a,1,0.054,0.012,0.013
las_cruces,blesch,3a,2,0.06,0.014,0.014
las_cruces,blesch,3a,3,0.052,0.015,0.014
las_cruces,blesch,3b,4,0.055,0.01,0.01
las_cruces,blesch,3b,5,0.047,0.013,0.012
las_cruces,blesch,3b,6,0.049,0.014,0.012
las_cruces,blesch,3b,7,0.052,0.013,0.013
las_cruces,blesch,3c,8,0.056,0.012,0.012
las_cruces,blesch,4a,1,0.063,0.015,0.014
las_cruces,blesch,4a,2,0.064,0.014,0.014
las_cruces,blesch,4a,3,0.061,0.013,0.013
las_cruces,blesch,4a,4,0.068,0.013,0.013
las_cruces,blesch,4b,5,0.061,0.01,0.011
las_cruces,blesch,4b,6,0.064,0.016,0.017
las_cruces,blesch,4b,7,0.063,0.014,0.014
las_cruces,blesch,4c,8,0.059,0.015,0.014
las_cruces,blesch,5a,1,0.065,0.012,0.012
las_cruces,blesch,5a,2,0.054,0.015,0.014
las_cruces,blesch,5a,3,0.051,0.012,0.013
las_cruces,blesch,5a,4,0.053,0.013,0.015
las_cruces,blesch,5b,5,0.054,0.012,0.016
las_cruces,blesch,5b,6,0.064,0.013,0.014
las_cruces,blesch,5b,7,0.066,0.015,0.014
las_cruces,blesch,5b,8,0.061,0.013,0.014
las_cruces,blesch,6a,1,0.058,0.015,0.014
las_cruces,blesch,6b,2,0.063,0.011,0.015
las_cruces,blesch,6b,3,0.063,0.013,0.013
las_cruces,blesch,6b,4,0.052,0.011,0.012
las_cruces,blesch,6c,5,0.066,0.014,0.014
las_cruces,blesch,6c,6,0.058,0.014,0.014
las_cruces,blesch,6c,7,0.058,0.013,0.015
las_cruces,blesch,6c,8,0.06,0.013,0.013
las_cruces,dipati,1a,1,0.051,0.012,0.014
las_cruces,dipati,1a,2,0.06,0.016,0.016
las_cruces,dipati,1a,3,0.048,0.019,0.016
las_cruces,dipati,1b,4,0.053,0.017,0.018
las_cruces,dipati,1b,5,0.05,0.019,0.019
las_cruces,dipati,1c,6,0.055,0.02,0.017
las_cruces,dipati,1c,7,0.047,0.018,0.017
las_cruces,dipati,1d,8,0.047,0.018,0.02
las_cruces,dipati,2a,1,0.056,0.018,0.016
las_cruces,dipati,2a,2,0.053,0.016,0.016
las_cruces,dipati,2a,3,0.062,0.016,0.017
las_cruces,dipati,2b,4,0.05,0.016,0.015
las_cruces,dipati,2b,5,0.054,0.018,0.018
las_cruces,dipati,2c,6,0.053,0.017,0.016
las_cruces,dipati,2c,7,0.058,0.016,0.015
las_cruces,dipati,2c,8,0.054,0.017,0.015
las_cruces,dipati,3b,1,0.05,0.012,0.011
las_cruces,dipati,3b,2,0.052,0.014,0.014
las_cruces,dipati,3b,3,0.063,0.011,0.011
las_cruces,dipati,3c,4,0.054,0.016,0.016
las_cruces,dipati,3c,5,0.052,0.015,0.015
las_cruces,dipati,3c,6,0.055,0.015,0.014
las_cruces,dipati,3d,7,0.053,0.014,0.014
las_cruces,dipati,3d,8,0.061,0.014,0.014
las_cruces,dipati,4a,1,0.048,0.015,0.016
las_cruces,dipati,4a,2,0.053,0.015,0.017
las_cruces,dipati,4b,3,0.044,0.015,0.014
las_cruces,dipati,4b,4,0.052,0.015,0.015
las_cruces,dipati,4b,5,0.053,0.016,0.016
las_cruces,dipati,4c,6,0.059,0.014,0.014
las_cruces,dipati,4c,7,0.051,0.014,0.013
las_cruces,dipati,4c,8,0.046,0.016,0.015
las_cruces,dipati,5a,1,0.051,0.018,0.017
las_cruces,dipati,5a,2,0.05,0.012,0.013
las_cruces,dipati,5a,3,0.05,0.017,0.018
las_cruces,dipati,5b,4,0.044,0.019,0.02
las_cruces,dipati,5b,5,0.051,0.016,0.017
las_cruces,dipati,5b,6,0.048,0.016,0.016
las_cruces,dipati,5c,7,0.055,0.013,0.014
las_cruces,dipati,5c,8,0.058,0.019,0.018
las_cruces,dipati,6b,1,0.055,0.017,0.016
las_cruces,dipati,6b,2,0.057,0.019,0.019
las_cruces,dipati,6b,3,0.056,0.017,0.017
las_cruces,dipati,6b,4,0.054,0.014,0.017
las_cruces,dipati,6b,5,0.052,0.014,0.015
las_cruces,dipati,6c,6,0.045,0.017,0.018
las_cruces,dipati,6c,7,0.045,0.017,0.016
las_cruces,dipati,6c,8,0.052,0.015,0.016
las_cruces,drypat,1a,1,0.046,0.012,0.012
las_cruces,drypat,1a,2,0.047,0.012,0.011
las_cruces,drypat,1b,3,0.041,0.012,0.011
las_cruces,drypat,1b,4,0.047,0.01,0.011
las_cruces,drypat,1b,5,0.045,0.011,0.012
las_cruces,drypat,1c,6,0.048,0.014,0.012
las_cruces,drypat,1c,7,0.046,0.014,0.014
las_cruces,drypat,1c,8,0.041,0.012,0.011
las_cruces,drypat,2a,1,0.044,0.014,0.013
las_cruces,drypat,2a,2,0.044,0.013,0.012
las_cruces,drypat,2a,3,0.045,0.015,0.014
las_cruces,drypat,2a,4,0.044,0.012,0.012
las_cruces,drypat,2b,5,0.047,0.014,0.015
las_cruces,drypat,2b,6,0.046,0.013,0.013
las_cruces,drypat,2b,7,0.045,0.016,0.016
las_cruces,drypat,2b,8,0.04,0.014,0.015
las_cruces,drypat,3a,1,0.042,0.013,0.013
las_cruces,drypat,3a,2,0.04,0.015,0.013
las_cruces,drypat,3a,3,0.047,0.013,0.012
las_cruces,drypat,3a,4,0.043,0.013,0.012
las_cruces,drypat,3b,5,0.046,0.012,0.014
las_cruces,drypat,3b,6,0.047,0.014,0.014
las_cruces,drypat,3c,7,0.049,0.014,0.014
las_cruces,drypat,3c,8,0.045,0.013,0.014
las_cruces,drypat,4a,1,0.049,0.012,0.013
las_cruces,drypat,4a,2,0.053,0.012,0.01
las_cruces,drypat,4a,3,0.041,0.008,0.008
las_cruces,drypat,4a,4,0.047,0.009,0.011
las_cruces,drypat,4b,5,0.043,0.014,0.014
las_cruces,drypat,4b,6,0.046,0.013,0.011
las_cruces,drypat,4b,7,0.052,0.013,0.012
las_cruces,drypat,4b,8,0.052,0.009,0.01
las_cruces,drypat,6b,1,0.045,0.012,0.013
las_cruces,drypat,6b,2,0.043,0.013,0.013
las_cruces,drypat,6b,3,0.039,0.009,0.01
las_cruces,drypat,6b,4,0.039,0.013,0.011
las_cruces,drypat,6c,5,0.044,0.016,0.015
las_cruces,drypat,6c,6,0.05,0.011,0.012
las_cruces,drypat,6c,7,0.045,0.015,0.014
las_cruces,drypat,6c,8,0.045,0.012,0.012
las_cruces,eladec,1a,1,0.045,0.013,0.012
las_cruces,eladec,1a,2,0.042,0.014,0.014
las_cruces,eladec,1b,3,0.048,0.012,0.012
las_cruces,eladec,1b,4,0.053,0.013,0.014
las_cruces,eladec,1c,5,0.044,0.015,0.016
las_cruces,eladec,1c,6,0.043,0.015,0.016
las_cruces,eladec,1c,7,0.048,0.013,0.015
las_cruces,eladec,1d,8,0.046,0.015,0.014
las_cruces,eladec,2a,1,0.043,0.012,0.012
las_cruces,eladec,2b,2,0.049,0.012,0.014
las_cruces,eladec,2b,3,0.05,0.014,0.014
las_cruces,eladec,2c,4,0.045,0.016,0.014
las_cruces,eladec,2c,5,0.05,0.014,0.014
las_cruces,eladec,2d,6,0.048,0.016,0.016
las_cruces,eladec,2d,7,0.049,0.014,0.015
las_cruces,eladec,2e,8,0.048,0.013,0.014
las_cruces,eladec,3a,1,0.05,0.013,0.014
las_cruces,eladec,3a,2,0.051,0.015,0.015
las_cruces,eladec,3b,3,0.05,0.015,0.015
las_cruces,eladec,3c,4,0.05,0.013,0.014
las_cruces,eladec,3d,5,0.052,0.014,0.014
las_cruces,eladec,3d,6,0.047,0.018,0.016
las_cruces,eladec,3e,7,0.048,0.015,0.016
las_cruces,eladec,3e,8,0.045,0.014,0.016
las_cruces,eladec,4a,1,0.045,0.017,0.016
las_cruces,eladec,4b,2,0.042,0.013,0.015
las_cruces,eladec,4b,3,0.044,0.013,0.013
las_cruces,eladec,4c,4,0.05,0.012,0.012
las_cruces,eladec,4d,5,0.045,0.014,0.014
las_cruces,eladec,4e,6,0.045,0.012,0.012
las_cruces,eladec,4e,7,0.046,0.012,0.012
las_cruces,eladec,4e,8,0.043,0.013,0.015
las_cruces,eladec,5a,1,0.049,0.013,0.013
las_cruces,eladec,5a,2,0.048,0.015,0.013
las_cruces,eladec,5b,3,0.05,0.013,0.014
las_cruces,eladec,5b,4,0.049,0.013,0.014
las_cruces,eladec,5c,5,0.051,0.013,0.013
las_cruces,eladec,5c,6,0.045,0.012,0.014
las_cruces,eladec,6c,1,0.044,0.012,0.011
las_cruces,eladec,6c,2,0.045,0.015,0.014
las_cruces,eladec,6d,3,0.043,0.011,0.011
las_cruces,eladec,6d,4,0.05,0.012,0.012
las_cruces,eladec,6d,5,0.043,0.012,0.013
las_cruces,lommax,1b,1,0.042,0.013,0.013
las_cruces,lommax,1b,2,0.047,0.013,0.013
las_cruces,lommax,1b,3,0.05,0.016,0.014
las_cruces,lommax,1b,4,0.043,0.011,0.013
las_cruces,lommax,2b,1,0.047,0.015,0.015
las_cruces,lommax,2b,2,0.05,0.016,0.016
las_cruces,lommax,2b,3,0.051,0.016,0.015
las_cruces,lommax,3a,1,0.047,0.016,0.015
las_cruces,lommax,3a,2,0.052,0.015,0.013
las_cruces,lommax,4a,1,0.047,0.014,0.015
las_cruces,lommax,4a,2,0.045,0.013,0.013
las_cruces,lommax,4a,3,0.046,0.015,0.016
las_cruces,lommax,4a,4,0.048,0.016,0.016
las_cruces,lommax,4c,5,0.049,0.016,0.015
las_cruces,lommax,4c,6,0.048,0.013,0.013
las_cruces,lommax,4c,7,0.056,0.014,0.013
las_cruces,lommax,4c,8,0.046,0.017,0.017
las_cruces,nepbro,2b,1,0.044,0.013,0.013
las_cruces,nepbro,2b,2,0.045,0.01,0.01
las_cruces,nepbro,2b,3,0.043,0.013,0.014
las_cruces,nepbro,2b,4,0.046,0.009,0.011
las_cruces,nepbro,2b,5,0.044,0.01,0.01
las_cruces,nipcra,3a,1,0.047,0.015,0.015
las_cruces,nipcra,3a,2,0.043,0.015,0.014
las_cruces,nipcra,3a,3,0.044,0.013,0.012
las_cruces,nipcra,3a,4,0.044,0.014,0.014
las_cruces,nipcra,3b,5,0.043,0.011,0.012
las_cruces,nipcra,3b,6,0.039,0.012,0.011
las_cruces,nipcra,3b,7,0.037,0.011,0.011
las_cruces,nipcra,3b,8,0.04,0.015,0.015
las_cruces,nipcra,4a,1,0.046,0.012,0.013
las_cruces,nipcra,4a,2,0.047,0.013,0.015
las_cruces,nipcra,4b,3,0.048,0.016,0.016
las_cruces,nipcra,4b,4,0.044,0.018,0.019
las_cruces,nipcra,4b,5,0.042,0.02,0.019
las_cruces,nipcra,4c,6,0.05,0.016,0.014
las_cruces,nipcra,4c,7,0.047,0.014,0.013
las_cruces,nipcra,4c,8,0.048,0.015,0.016
las_cruces,nipcra,5a,1,0.047,0.014,0.014
las_cruces,nipcra,5a,2,0.038,0.012,0.012
las_cruces,nipcra,5a,3,0.047,0.012,0.012
las_cruces,nipcra,5a,4,0.039,0.014,0.013
las_cruces,nipcra,5b,5,0.044,0.012,0.012
las_cruces,nipcra,5b,6,0.047,0.012,0.012
las_cruces,nipcra,5b,7,0.043,0.012,0.011
las_cruces,nipcra,5c,8,0.048,0.014,0.014
las_cruces,nipcra,6a,1,0.043,0.013,0.013
las_cruces,nipcra,6a,2,0.043,0.014,0.013
las_cruces,nipcra,6a,3,0.045,0.013,0.012
las_cruces,nipcra,6b,4,0.045,0.012,0.012
las_cruces,nipcra,6b,5,0.046,0.015,0.014
las_cruces,nipcra,6c,6,0.041,0.015,0.014
las_cruces,nipcra,6c,7,0.045,0.013,0.013
las_cruces,nipcra,6c,8,0.042,0.014,0.014
las_cruces,olecos,1a,1,0.051,0.01,0.011
las_cruces,olecos,1a,2,0.051,0.01,0.009
las_cruces,olecos,1a,3,0.047,0.011,0.01
las_cruces,olecos,1a,4,0.054,0.013,0.013
las_cruces,olecos,1b,5,0.05,0.012,0.012
las_cruces,olecos,1b,6,0.056,0.01,0.01
las_cruces,olecos,1b,7,0.051,0.008,0.009
las_cruces,olecos,1c,8,0.054,0.012,0.012
las_cruces,olecos,3b,1,0.047,0.01,0.011
las_cruces,olecos,3b,2,0.049,0.012,0.014
las_cruces,olecos,3b,3,0.049,0.012,0.011
las_cruces,olecos,3b,4,0.05,0.01,0.01
las_cruces,olecos,3b,5,0.047,0.009,0.009
las_cruces,olecos,3c,6,0.047,0.008,0.01
las_cruces,olecos,3c,7,0.053,0.011,0.011
las_cruces,olecos,3c,8,0.047,0.008,0.01
las_cruces,olecos,4a,1,0.047,0.011,0.011
las_cruces,olecos,4a,2,0.045,0.009,0.01
las_cruces,olecos,4a,3,0.05,0.01,0.01
las_cruces,olecos,4a,4,0.047,0.011,0.011
las_cruces,olecos,4a,5,0.049,0.008,0.009
las_cruces,olecos,4b,6,0.046,0.01,0.01
las_cruces,olecos,4b,7,0.048,0.013,0.011
las_cruces,olecos,4b,8,0.045,0.009,0.009
las_cruces,olecos,5a,1,0.049,0.013,0.013
las_cruces,olecos,5a,2,0.051,0.009,0.01
las_cruces,olecos,5a,3,0.05,0.01,0.011
las_cruces,olecos,5a,4,0.05,0.01,0.01
las_cruces,olecos,5a,5,0.046,0.009,0.009
las_cruces,olecos,5a,6,0.048,0.012,0.012
las_cruces,olecos,5b,7,0.051,0.011,0.012
las_cruces,olecos,5b,8,0.05,0.011,0.012
las_cruces,olecos,6a,1,0.045,0.013,0.013
las_cruces,olecos,6a,2,0.044,0.011,0.011
las_cruces,olecos,6a,3,0.048,0.011,0.011
las_cruces,olecos,6a,4,0.047,0.011,0.012
las_cruces,olecos,6a,5,0.05,0.012,0.012
las_cruces,olecos,6b,6,0.049,0.011,0.012
las_cruces,olecos,6b,7,0.048,0.01,0.01
las_cruces,olecos,6b,8,0.051,0.013,0.013
las_cruces,olfcer,1a,1,0.045,0.012,0.014
las_cruces,olfcer,1a,2,0.052,0.014,0.014
las_cruces,olfcer,1a,3,0.045,0.013,0.013
las_cruces,olfcer,1a,4,0.04,0.012,0.01
las_cruces,olfcer,1b,5,0.043,0.013,0.013
las_cruces,olfcer,1b,6,0.044,0.014,0.014
las_cruces,olfcer,1b,7,0.045,0.014,0.014
las_cruces,olfcer,1b,8,0.046,0.014,0.014
las_cruces,olfcer,2a,1,0.045,0.014,0.013
las_cruces,olfcer,2a,2,0.049,0.015,0.015
las_cruces,olfcer,2a,3,0.047,0.014,0.014
las_cruces,olfcer,2b,4,0.044,0.013,0.014
las_cruces,olfcer,2b,5,0.042,0.014,0.013
las_cruces,olfcer,2b,6,0.042,0.012,0.014
las_cruces,olfcer,2b,7,0.047,0.015,0.013
las_cruces,olfcer,2c,8,0.049,0.013,0.012
las_cruces,olfcer,3a,1,0.054,0.014,0.013
las_cruces,olfcer,3a,2,0.055,0.014,0.014
las_cruces,olfcer,3a,3,0.051,0.014,0.013
las_cruces,olfcer,3a,4,0.049,0.012,0.012
las_cruces,olfcer,3b,5,0.048,0.013,0.013
las_cruces,olfcer,3b,6,0.047,0.014,0.014
las_cruces,olfcer,3b,7,0.048,0.014,0.013
las_cruces,olfcer,3c,8,0.048,0.012,0.012
las_cruces,olfcer,4a,1,0.045,0.013,0.014
las_cruces,olfcer,4a,2,0.047,0.015,0.015
las_cruces,olfcer,4b,3,0.051,0.014,0.014
las_cruces,olfcer,4b,4,0.049,0.013,0.014
las_cruces,olfcer,4b,5,0.051,0.012,0.013
las_cruces,olfcer,4c,6,0.044,0.012,0.013
las_cruces,olfcer,4c,7,0.041,0.011,0.012
las_cruces,olfcer,4c,8,0.046,0.012,0.012
las_cruces,olfcer,5a,1,0.047,0.013,0.014
las_cruces,olfcer,5a,2,0.045,0.015,0.016
las_cruces,olfcer,5a,3,0.046,0.014,0.015
las_cruces,olfcer,5b,4,0.048,0.014,0.014
las_cruces,olfcer,5b,5,0.044,0.013,0.014
las_cruces,olfcer,5b,6,0.05,0.014,0.015
las_cruces,olfcer,5b,7,0.05,0.015,0.015
las_cruces,olfcer,5c,8,0.048,0.016,0.016
las_cruces,olfcer,6a,1,0.051,0.014,0.015
las_cruces,olfcer,6a,2,0.047,0.014,0.013
las_cruces,olfcer,6a,3,0.048,0.013,0.015
las_cruces,olfcer,6b,4,0.053,0.015,0.015
las_cruces,olfcer,6b,5,0.05,0.014,0.014
las_cruces,olfcer,6b,6,0.053,0.014,0.015
las_cruces,olfcer,6b,7,0.051,0.015,0.015
las_cruces,olfcer,6c,8,0.05,0.016,0.015
las_cruces,parexc,1a,1,0.038,0.012,0.01
las_cruces,parexc,1a,2,0.037,0.009,0.009
las_cruces,parexc,1b,3,0.034,0.009,0.009
las_cruces,parexc,1b,4,0.035,0.011,0.011
las_cruces,parexc,1c,5,0.038,0.008,0.01
las_cruces,parexc,1c,6,0.042,0.01,0.009
las_cruces,parexc,1d,7,0.039,0.011,0.012
las_cruces,parexc,1d,8,0.038,0.011,0.012
las_cruces,parexc,2a,1,0.039,0.012,0.011
las_cruces,parexc,2a,2,0.039,0.009,0.014
las_cruces,parexc,2a,3,0.041,0.01,0.011
las_cruces,parexc,2b,4,0.042,0.009,0.007
las_cruces,parexc,2b,5,0.038,0.01,0.01
las_cruces,parexc,2c,6,0.036,0.009,0.009
las_cruces,parexc,2d,7,0.035,0.01,0.01
las_cruces,parexc,2d,8,0.038,0.01,0.01
las_cruces,parexc,3a,1,0.036,0.009,0.01
las_cruces,parexc,3a,2,0.039,0.008,0.009
las_cruces,parexc,3a,3,0.039,0.009,0.009
las_cruces,parexc,3a,4,0.039,0.008,0.009
las_cruces,parexc,3a,5,0.038,0.009,0.009
las_cruces,parexc,3b,6,0.039,0.008,0.009
las_cruces,parexc,3b,7,0.036,0.009,0.009
las_cruces,parexc,3c,8,0.036,0.007,0.008
las_cruces,parexc,4a,1,0.042,0.006,0.008
las_cruces,parexc,4a,2,0.042,0.012,0.011
las_cruces,parexc,4a,3,0.035,0.011,0.01
las_cruces,parexc,4a,4,0.041,0.008,0.009
las_cruces,parexc,4b,5,0.044,0.009,0.009
las_cruces,parexc,4b,6,0.041,0.009,0.01
las_cruces,parexc,4c,7,0.038,0.009,0.01
las_cruces,parexc,4c,8,0.037,0.008,0.008
las_cruces,parexc,5a,1,0.037,0.011,0.011
las_cruces,parexc,5a,2,0.035,0.01,0.01
las_cruces,parexc,5b,3,0.034,0.008,0.011
las_cruces,parexc,5b,4,0.037,0.01,0.009
las_cruces,parexc,5b,5,0.042,0.01,0.009
las_cruces,parexc,5b,6,0.04,0.009,0.012
las_cruces,parexc,5c,7,0.035,0.011,0.011
las_cruces,parexc,5c,8,0.036,0.009,0.01
las_cruces,parexc,7a,1,0.041,0.009,0.011
las_cruces,parexc,7a,2,0.04,0.008,0.011
las_cruces,parexc,7a,3,0.043,0.012,0.009
las_cruces,parexc,7b,4,0.04,0.008,0.009
las_cruces,parexc,7b,5,0.039,0.009,0.009
las_cruces,parexc,7b,6,0.043,0.009,0.011
las_cruces,parexc,7c,7,0.036,0.011,0.008
las_cruces,parexc,7c,8,0.038,0.011,0.009
las_cruces,dippro,1a,1,0.046,0.009,0.009
las_cruces,dippro,1a,2,0.047,0.011,0.012
las_cruces,dippro,1b,3,0.048,0.009,0.01
las_cruces,dippro,1b,4,0.049,0.011,0.012
las_cruces,dippro,1c,5,0.047,0.011,0.011
las_cruces,dippro,1c,6,0.045,0.013,0.012
las_cruces,dippro,1d,7,0.046,0.013,0.012
las_cruces,dippro,1d,8,0.041,0.013,0.013
las_cruces,dippro,2a,1,0.044,0.015,0.014
las_cruces,dippro,2a,2,0.046,0.015,0.015
las_cruces,dippro,2a,3,0.048,0.01,0.01
las_cruces,dippro,2a,4,0.05,0.014,0.013
las_cruces,dippro,2b,5,0.047,0.015,0.014
las_cruces,dippro,2b,6,0.043,0.012,0.014
las_cruces,dippro,2c,7,0.049,0.013,0.013
las_cruces,dippro,2c,8,0.044,0.012,0.012
las_cruces,dippro,3a,1,0.041,0.009,0.009
las_cruces,dippro,3a,2,0.041,0.009,0.011
las_cruces,dippro,3a,3,0.045,0.012,0.011
las_cruces,dippro,3d,5,0.045,0.011,0.01
las_cruces,dippro,3d,6,0.045,0.011,0.011
las_cruces,dippro,4a,1,0.048,0.011,0.01
las_cruces,dippro,4a,2,0.047,0.013,0.013
las_cruces,dippro,4b,3,0.052,0.012,0.012
las_cruces,dippro,4b,4,0.043,0.01,0.01
las_cruces,dippro,4b,5,0.048,0.009,0.011
las_cruces,dippro,4c,6,0.049,0.012,0.012
las_cruces,dippro,4c,7,0.046,0.012,0.012
las_cruces,dippro,4d,8,0.048,0.014,0.014
las_cruces,dippro,5a,1,0.046,0.011,0.01
las_cruces,dippro,5a,2,0.051,0.01,0.012
las_cruces,dippro,5b,3,0.042,0.011,0.013
las_cruces,dippro,5b,4,0.04,0.012,0.011
las_cruces,dippro,5c,5,0.043,0.011,0.011
las_cruces,dippro,5c,6,0.044,0.012,0.012
las_cruces,dippro,5c,7,0.048,0.012,0.013
las_cruces,dippro,5d,8,0.045,0.013,0.012
las_cruces,dippro,6a,1,0.046,0.012,0.013
las_cruces,dippro,6a,2,0.04,0.014,0.013
las_cruces,dippro,6d,3,0.047,0.01,0.01
las_cruces,serfra,1a,1,0.047,0.013,0.013
las_cruces,serfra,1b,2,0.044,0.012,0.011
las_cruces,serfra,1c,3,0.046,0.015,0.016
las_cruces,serfra,1d,4,0.049,0.017,0.017
las_cruces,serfra,1e,5,0.045,0.012,0.013
las_cruces,serfra,1f,6,0.047,0.016,0.011
las_cruces,serfra,1g,7,0.043,0.014,0.012
las_cruces,serfra,1h,8,0.044,0.013,0.013
las_cruces,serfra,2a,1,0.046,0.014,0.015
las_cruces,serfra,2b,2,0.045,0.012,0.014
las_cruces,serfra,2d,3,0.038,0.012,0.011
las_cruces,serfra,2e,4,0.046,0.01,0.012
las_cruces,serfra,2f,5,0.04,0.013,0.014
las_cruces,serfra,2g,6,0.05,0.013,0.013
las_cruces,serfra,2h,7,0.036,0.01,0.01
las_cruces,serfra,2h,8,0.04,0.012,0.011
las_cruces,serfra,3a,1,0.063,0.019,0.017
las_cruces,serfra,3b,2,0.048,0.012,0.014
las_cruces,serfra,3c,3,0.056,0.016,0.014
las_cruces,serfra,3d,4,0.047,0.016,0.014
las_cruces,serfra,3e,5,0.047,0.014,0.014
las_cruces,serfra,3f,6,0.046,0.015,0.015
las_cruces,serfra,3g,7,0.041,0.014,0.014
las_cruces,serfra,3h,8,0.045,0.014,0.014
las_cruces,serfra,4a,1,0.044,0.011,0.012
las_cruces,serfra,4a,2,0.041,0.012,0.012
las_cruces,serfra,4b,3,0.043,0.011,0.013
las_cruces,serfra,4c,4,0.044,0.012,0.015
las_cruces,serfra,4d,5,0.051,0.015,0.015
las_cruces,serfra,4f,6,0.04,0.011,0.012
las_cruces,serfra,4g,7,0.049,0.014,0.013
las_cruces,serfra,4h,8,0.044,0.013,0.012
las_cruces,serfra,5a,1,0.046,0.011,0.013
las_cruces,serfra,5b,2,0.047,0.011,0.011
las_cruces,serfra,5c,3,0.044,0.012,0.013
las_cruces,serfra,5d,4,0.047,0.015,0.016
las_cruces,serfra,5e,5,0.049,0.013,0.013
las_cruces,serfra,5f,6,0.056,0.013,0.012
las_cruces,serfra,5g,7,0.047,0.014,0.014
las_cruces,serfra,5h,8,0.049,0.013,0.013
las_cruces,serfra,6a,1,0.052,0.01,0.01
las_cruces,serfra,6b,2,0.048,0.011,0.012
las_cruces,serfra,6c,3,0.044,0.013,0.015
las_cruces,serfra,6d,4,0.05,0.013,0.013
las_cruces,serfra,6e,5,0.056,0.013,0.013
las_cruces,serfra,6f,6,0.051,0.012,0.014
las_cruces,serfra,6g,7,0.048,0.014,0.014
las_cruces,serfra,6h,8,0.051,0.011,0.011
las_cruces,sertri,1a,1,0.051,0.015,0.015
las_cruces,sertri,1a,2,0.051,0.013,0.015
las_cruces,sertri,1c,3,0.061,0.015,0.013
las_cruces,sertri,1d,4,0.053,0.014,0.014
las_cruces,sertri,1e,5,0.047,0.013,0.013
las_cruces,sertri,1f,6,0.049,0.012,0.014
las_cruces,sertri,1g,7,0.051,0.012,0.012
las_cruces,sertri,1f,8,0.05,0.015,0.015
las_cruces,sertri,2a,1,0.062,0.015,0.017
las_cruces,sertri,2b,2,0.045,0.014,0.013
