site,genus,species,individual,pressure_trt,stipe_length_cm,temp,height_ph_cm,height_stipe_cm,file_name,background_init_t1,background_init_t2,flow_t1,flow_t2,background_final_t1,background_final_t2,ab_adjustments
las_cruces,parapolystichum,excultum,9,2,9.2,25.5,57.5,4.7,,225,285,390,420,530,590,
las_cruces,parapolystichum,excultum,9,2.5,9,24.7,56.5,4.4,,210,270,320,380,500,560,good
las_cruces,parapolystichum,excultum,10,0,9.9,26.7,60.2,4,,150,210,490,550,665,725,good
las_cruces,parapolystichum,excultum,10,0.5,9.7,25.9,59.4,4,,150,205,250,310,425,485,
las_cruces,parapolystichum,excultum,10,1,9.5,25.5,58.9,4.2,,160,220,275,328,390,440,
las_cruces,parapolystichum,excultum,10,1.5,9.3,25.6,58.1,4.1,,240,300,472,491,500,560,"very brief flow period, and not sure if it's accurate, something was causing big flow spikes in this measure"
las_cruces,parapolystichum,excultum,10,2,9.1,25.2,57.3,4.7,,140,210,275,335,420,480,good
las_cruces,dryopteris,patula,1,0,10,23.6,71.1,4.7,,410,470,640,700,820,880,"bad, needs to be thrown out"
las_cruces,dryopteris,patula,1,0.5,9.8,24.3,70,4.7,,100,160,225,285,525,585,
las_cruces,dryopteris,patula,1,1,9.6,24.6,69.5,4.7,,230,290,440,500,585,645,
las_cruces,dryopteris,patula,1,1.5,9.4,24.9,69.2,4.5,,150,210,280,340,415,475,
las_cruces,dryopteris,patula,1,2,9.2,25.7,68.5,4.3,,230,300,350,410,580,640,
las_cruces,dryopteris,patula,2,0,10,23.9,70.6,4.6,,40,100,190,250,,,good
las_cruces,dryopteris,patula,2,0,10,23.9,70.6,4.6,B,,,,,40,100,good
las_cruces,dryopteris,patula,2,0.5,9.8,24.4,69.8,4.7,,140,200,300,360,470,530,"bad, needs to be thrown out"
las_cruces,dryopteris,patula,2,1,9.6,24.8,69.4,4.5,,140,200,340,400,700,760,good
las_cruces,dryopteris,patula,2,1.5,9.4,25.2,68.9,4.4,,110,170,280,340,455,525,
las_cruces,dryopteris,patula,2,2,9.2,26.1,68.4,4.4,,100,160,190,250,340,400,good
las_cruces,dryopteris,patula,3,0,10,26.8,67.6,4.7,,295,355,410,480,625,700,"bad, needs to be thrown out, 488 to 495 looks like flow"
las_cruces,dryopteris,patula,3,0.5,9.8,25.2,66.4,4.3,,170,230,270,330,410,470,
las_cruces,dryopteris,patula,3,1,9.6,25.2,65.7,4.3,,80,140,180,240,325,385,
las_cruces,dryopteris,patula,3,1.5,9.4,24.8,65.3,4.3,,75,135,180,240,320,380,
las_cruces,dryopteris,patula,3,2,9.2,24.5,64.9,4.3,,100,160,300,360,440,500,
las_cruces,dryopteris,patula,4,0,10,25.9,66.9,4.5,,790,850,962,1025,1120,1180,
las_cruces,dryopteris,patula,4,0.5,9.8,25.2,65.8,4.3,,120,180,220,279,350,409,
las_cruces,dryopteris,patula,4,1,9.6,24.9,65.5,4.3,,80,140,240,300,415,475,good
las_cruces,dryopteris,patula,4,1.5,9.4,24.7,65,4.1,,110,170,300,370,475,535,good
las_cruces,dryopteris,patula,4,2,9.2,24.5,64.3,4.2,,290,350,390,450,520,590,good
las_cruces,dryopteris,patula,5,0,10,24.5,64.1,4.2,,90,150,195,255,325,385,good
las_cruces,dryopteris,patula,5,0.5,9.8,24.3,63.5,4.4,,75,135,235,300,530,600,good
las_cruces,dryopteris,patula,5,1,9.6,24.2,63.2,4.3,,70,130,230,295,365,425,"ignore background 1, period doesn't exist in .csv, and can't make out an inference"
las_cruces,dryopteris,patula,5,1.5,9.4,23.8,62.3,4.4,,130,190,225,285,360,420,good
las_cruces,dryopteris,patula,5,2,9.2,23.7,61.9,4.3,,100,160,205,265,360,420,good
las_cruces,dryopteris,patula,6,0,10,24.3,63.8,4.3,,130,190,320,390,495,560,good
las_cruces,dryopteris,patula,6,0.5,9.8,24.3,63.3,4.3,,70,130,165,225,290,355,"bad, needs to be thrown out, there's some flow (145-156) but no backgrounds"
las_cruces,dryopteris,patula,6,1,9.6,24.1,62.6,4.3,,115,175,290,345,470,530,
las_cruces,dryopteris,patula,6,1.5,9.4,23.8,62.1,4.3,,155,215,245,305,365,425,good
las_cruces,dryopteris,patula,6,2,9.2,23.6,61.7,4.3,,290,355,385,445,535,595,good
las_cruces,niphidium,crassifolium,8,0,10,23,67.5,4.6,,250,310,420,485,580,640,good
las_cruces,niphidium,crassifolium,6,0,9,23.1,67.1,4.6,,283,340,390,450,631,690,
las_cruces,niphidium,crassifolium,7,0,8,23.4,66.7,4.9,,1230,1290,1360,1420,1570,1630,can't find
las_cruces,niphidium,crassifolium,2,0,8,23.5,66.5,5.8,,10,80,150,210,320,380,good
las_cruces,niphidium,crassifolium,3,0,9,23.5,66.1,5.9,,305,373,430,500,670,740,"Non-corrosponding times, throw out"
las_cruces,niphidium,crassifolium,4,0,8.8,23.7,66.1,5.8,,120,200,296,350,520,580,
las_cruces,serpocaulon,triseriale,1,0,10,23.4,65.9,4.2,,70,140,180,240,430,490,"several restarts, b1corrospond to start on row 250, flow and b2 start on 514"
las_cruces,serpocaulon,triseriale,1,0.5,9.8,23.6,65.7,4.8,,42,100,135,200,535,595,
las_cruces,serpocaulon,triseriale,1,1,9.6,24,65.3,4,,200,260,310,370,540,600,good
las_cruces,serpocaulon,triseriale,1,1.5,9.4,24.3,65.1,4,,124,180,241,310,470,540,
las_cruces,serpocaulon,triseriale,1,2,9.2,24.1,64.9,4.2,,110,170,240,300,407,465,
las_cruces,serpocaulon,triseriale,2,0,10,23.6,65.8,4.8,,90,140,270,330,398,450,
las_cruces,serpocaulon,triseriale,2,0.5,9.8,24,66.6,5.4,,328,390,436,490,658,710,
las_cruces,serpocaulon,triseriale,2,1,9.6,24.1,65.3,4,,125,200,250,310,388,445,
las_cruces,serpocaulon,triseriale,2,1.5,9.4,24.1,65,4.2,,81,150,200,270,433,500,
las_cruces,serpocaulon,triseriale,2,2,9.2,24.2,64.8,4.2,,131,190,260,320,445,500,
las_cruces,serpocaulon,triseriale,3,0,10,23,63.2,3.8,,195,255,320,385,544,605,good
las_cruces,serpocaulon,triseriale,3,0.5,9.8,23.6,62.8,3.8,,130,190,290,350,530,580,good
las_cruces,serpocaulon,triseriale,3,1,9.6,24.3,62.1,3.7,,190,250,300,360,450,510,good
las_cruces,serpocaulon,triseriale,3,1.5,9.4,25.2,61.8,4.1,,180,240,280,340,421,480,
las_cruces,serpocaulon,triseriale,3,2,9.2,26,61.1,3.7,,170,215,330,390,500,560,
las_cruces,serpocaulon,triseriale,3,2.5,9,27,61.1,3.5,,130,190,235,290,390,450,
las_cruces,serpocaulon,triseriale,4,0,11.9,23.3,63.1,3.8,,165,230,272,330,580,640,
las_cruces,serpocaulon,triseriale,4,0.5,11.7,24.1,62.4,3.9,,250,350,430,520,638,700,
las_cruces,serpocaulon,triseriale,4,1,11.5,24.8,62,3.8,,130,190,240,300,415,475,good
las_cruces,serpocaulon,triseriale,4,1.5,11.3,25.8,61.4,3.6,,100,160,250,310,413,470,
las_cruces,serpocaulon,triseriale,4,2,11.1,26.5,61.1,3.4,,150,210,400,460,560,620,good
las_cruces,serpocaulon,triseriale,4,2.5,10.9,26.9,60.5,3.5,,100,160,260,320,461,520,
las_cruces,serpocaulon,triseriale,5,0,10,26,60.3,4.1,,130,195,230,290,400,460,good
las_cruces,serpocaulon,triseriale,5,0.5,9.8,26,59.7,4.6,,80,145,170,230,320,385,good
las_cruces,serpocaulon,triseriale,5,1,9.6,25.9,59.3,4.7,,130,195,230,290,395,455,good
las_cruces,serpocaulon,triseriale,5,1.5,9.3,25.7,58.9,4.4,,85,145,210,260,355,405,
las_cruces,serpocaulon,triseriale,5,2,9.1,26,58.6,4.4,,110,170,240,305,370,425,
las_cruces,serpocaulon,triseriale,5,2.5,8.8,26.2,58.1,4.4,,120,180,225,285,375,435,good
las_cruces,serpocaulon,triseriale,6,0,10,26,60.1,4.7,,100,160,235,295,370,430,good
las_cruces,serpocaulon,triseriale,6,0.5,9.8,25.5,59.6,4.7,,135,195,240,300,365,405,
las_cruces,serpocaulon,triseriale,6,1,9.6,26,59.1,4.4,,100,160,190,250,335,395,good
las_cruces,serpocaulon,triseriale,6,1.5,9.3,25.7,58.7,4.3,,95,155,250,315,395,455,good
las_cruces,serpocaulon,triseriale,6,2,9.1,26.1,58.4,4.3,,145,210,240,300,385,445,good
las_cruces,serpocaulon,triseriale,6,2.5,8.8,25.8,57.9,4.3,,50,110,220,285,375,435,good
las_cruces,serpocaulon,fraxinifolium,9,0,10,25.3,69.4,4.6,13July2018_SFrax9_0.0MPa.csv,55,115,185,245,325,385,good
las_cruces,serpocaulon,fraxinifolium,9,0.5,9.8,25.8,69.1,4.5,13July2018_SFrax9_0.5MPa.csv,75,135,155,215,265,325,good
las_cruces,serpocaulon,fraxinifolium,9,1,9.6,25.8,48.7,4.5,13July2018_SFrax9_1.0MPa.csv,85,145,185,245,295,355,good
las_cruces,serpocaulon,fraxinifolium,9,1.5,9.4,25.9,68.3,4.6,13July2018_SFrax9_1.5MPa.csv,80,140,175,235,285,345,good
las_cruces,serpocaulon,fraxinifolium,9,2,9.2,26.4,67.7,5.2,13July2018_SFrax9_2.0MPa.csv,210,270,315,375,495,555,good
las_cruces,serpocaulon,fraxinifolium,9,2.5,9,26.5,65.7,5.1,13July2018_SFrax9_2.5MPa.csv,170,230,290,350,530,590,good
las_cruces,serpocaulon,fraxinifolium,10,0,10,26.3,69.3,4.6,13July2018_SFrax10_0.0MPa.csv,100,160,175,235,295,355,good
las_cruces,serpocaulon,fraxinifolium,10,0.5,9.8,26,68.8,4.6,13July2018_SFrax10_0.5MPa.csv,115,175,285,345,400,460,good
las_cruces,serpocaulon,fraxinifolium,10,1,9.6,25.7,68.5,4.5,13July2018_SFrax10_1.0MPa.csv,55,115,135,195,265,325,good
las_cruces,serpocaulon,fraxinifolium,10,1.5,9.4,26.1,68.3,4.5,13July2018_SFrax10_1.5MPa.csv,105,165,235,295,440,505,good
las_cruces,serpocaulon,fraxinifolium,10,2,9.2,26.6,66.2,5.1,13July2018_SFrax10_2.0MPa.csv,60,120,200,260,330,390,good
las_cruces,serpocaulon,fraxinifolium,10,2.5,9,25.8,65.3,5.1,13July2018_SFrax10_2.5MPa.csv,80,140,200,260,,,good
las_cruces,serpocaulon,fraxinifolium,10,2.5,9,25.8,65.3,5.1,13July2018_SFrax10_2.5bMPa.csv,,,,,110,160,
las_cruces,olfersia,cervina,2,0,11.4,24.6,61.3,4.7,,11,70,120,180,280,330,
las_cruces,olfersia,cervina,2,0.5,11,24,61,5,,7,67,87,157,246,306,good
las_cruces,olfersia,cervina,2,1,10.7,24,60.7,4.8,,7,67,78,137,263,322,
las_cruces,olfersia,cervina,2,1.5,10.5,23.9,60.5,5,,7,67,108,167,290,349,
las_cruces,olfersia,cervina,2,2,10,23.5,60.4,4.5,,7,67,100,160,252,312,"bad, needs to be thrown out"
las_cruces,olfersia,cervina,2,2.5,9.7,23.5,60.1,4.8,,62,120,150,210,295,340,
las_cruces,olfersia,cervina,2,3,9.4,23.7,60,4.8,,7,67,180,240,350,400,
las_cruces,olfersia,cervina,3,0,10,22.5,60.4,4.6,,200,260,300,360,445,505,good
las_cruces,olfersia,cervina,3,0.5,9.8,23.1,59.8,4.3,,175,235,265,325,420,480,good
las_cruces,olfersia,cervina,3,1,9.6,23.6,59.2,5,,80,100,170,250,390,450,good
las_cruces,olfersia,cervina,3,1.5,9.3,24.2,59.1,4.5,,100,160,194,260,415,450,
las_cruces,olfersia,cervina,3,2,9.1,24.6,59,5,,315,390,420,490,612,670,
las_cruces,olfersia,cervina,3,2.5,8.9,25,58.8,4.5,,151,220,255,310,375,435,
las_cruces,olfersia,cervina,4,0,11.5,25.1,62.3,4.4,,165,225,328,448,560,620,flow period has gap
las_cruces,olfersia,cervina,4,0.5,11.4,25.7,62,4.5,,115,170,220,300,440,500,good
las_cruces,olfersia,cervina,4,1,11.2,25.4,61.8,4.5,,95,165,190,230,390,470,good
las_cruces,olfersia,cervina,4,1.5,10.9,25.4,61.6,4.6,,7,67,157,217,275,335,good
las_cruces,olfersia,cervina,4,2,10.7,24.8,61.5,4.6,,9,60,85,145,195,251,
las_cruces,olfersia,cervina,4,2.5,10.5,24.7,61.2,5,,60,120,160,220,301,360,"leaky measure, b1 = -2 ul/min, b2 = -1 ul/min"
las_cruces,olfersia,cervina,5,0,9.9,22.8,60,4.5,,230,295,310,370,485,545,good
las_cruces,olfersia,cervina,5,0.5,9.7,23.5,59.3,4.3,,75,135,205,265,425,485,good
las_cruces,olfersia,cervina,5,1,9.6,23.8,59.2,5,,39,100,120,180,395,450,
las_cruces,olfersia,cervina,5,1.5,9.3,24.3,59,4.6,,285,330,410,480,770,850,
las_cruces,olfersia,cervina,5,2,9.1,24.8,58.9,4.7,,115,175,200,270,340,410,good
las_cruces,olfersia,cervina,5,2.5,8.9,25.4,58.7,5.5,,150,210,265,332,390,460,
las_cruces,olfersia,cervina,5,3,8.3,25.5,62.4,4.3,,46,102,130,215,375,440,
las_cruces,olfersia,cervina,6,0,11.3,24,61.1,5.1,,5,64,95,155,307,367,"times restart, flow starts on row 283 and b2 follows"
las_cruces,olfersia,cervina,6,0.5,11.1,24,60.8,4.8,,7,67,93,150,300,360,
las_cruces,olfersia,cervina,6,1,10.8,23.7,60.7,4.7,,72,131,160,220,345,396,
las_cruces,olfersia,cervina,6,1.5,10.5,23.9,60.5,4.5,,7,67,142,200,275,332,
las_cruces,olfersia,cervina,6,2,10.2,23.5,60.3,4.7,,7,67,120,180,340,400,good
las_cruces,olfersia,cervina,6,2.5,9.9,23.5,60,4.5,,7,64,103,150,257,295,
las_cruces,olfersia,cervina,7,0,11.4,25.4,62,4.5,,50,96,123,200,363,430,
las_cruces,olfersia,cervina,7,0.5,11.1,25.8,62,4.5,,204,270,300,360,530,600,"noisy flow, airbubble obstruction possible"
las_cruces,olfersia,cervina,7,1,10.8,25.3,61.8,4.4,,222,282,310,370,485,520,
las_cruces,olfersia,cervina,7,1.5,10.5,25,61.5,4.6,,70,120,150,210,234,286,
las_cruces,olfersia,cervina,7,2,10.4,24.8,61.4,4.8,,7,67,103,163,280,340,good
las_cruces,parapolystichum,excultum,8,0,10,26,63.6,4.9,,160,220,260,320,420,480,good
las_cruces,parapolystichum,excultum,8,0.5,9.8,25.7,63.3,4.7,,55,115,235,295,355,415,good
las_cruces,parapolystichum,excultum,8,1,9.6,25.8,62.8,5,,45,105,135,195,255,315,good
las_cruces,parapolystichum,excultum,8,1.5,9.4,25.8,62.4,4.7,,80,140,165,225,285,345,good
las_cruces,parapolystichum,excultum,8,2,9.2,25.6,62.1,4.5,,125,200,295,355,450,505,
las_cruces,parapolystichum,excultum,8,2.5,9,25.2,61,4.6,,530,595,630,690,785,845,good
las_cruces,serpocaulon,fraxinifolium,11,0,10,25.8,63.4,4.7,,170,230,285,345,435,495,good
las_cruces,serpocaulon,fraxinifolium,11,0.5,9.8,25.7,63,4.7,,85,145,190,250,320,380,good
las_cruces,serpocaulon,fraxinifolium,11,1,9.6,25.7,62.6,4.7,,120,180,235,295,360,420,good
las_cruces,serpocaulon,fraxinifolium,11,1.5,9.4,25.5,62.1,4.6,,85,145,250,315,540,600,good
las_cruces,serpocaulon,fraxinifolium,11,2,9.2,25.3,61.9,4.6,,155,215,275,335,490,555,good
las_cruces,serpocaulon,fraxinifolium,11,2.5,9,25,60.7,4.7,,70,130,210,275,440,500,good
las_cruces,lomariopsis,maxonii,1,0,10,24.2,72.1,4.3,,160,220,255,315,375,435,good
las_cruces,lomariopsis,maxonii,1,0.5,9.8,24.1,71.4,4.2,,130,190,235,295,395,455,good
las_cruces,lomariopsis,maxonii,1,1,9.6,24.3,71.2,4.2,,40,100,135,195,275,335,good
las_cruces,lomariopsis,maxonii,1,1.5,9.4,24.7,70.3,4.2,,47,105,155,215,285,345,
las_cruces,lomariopsis,maxonii,1,2,9.2,24.7,69.7,4.2,,60,120,145,205,300,360,"bad, needs to be thrown out"
las_cruces,lomariopsis,maxonii,1,2.5,9,25.1,68.9,4.2,,100,160,165,225,380,440,good
las_cruces,lomariopsis,maxonii,1,3,8.8,25.9,68.5,4.2,,140,200,300,360,420,480,good
las_cruces,lomariopsis,maxonii,2,0,10,24.3,71.7,4.4,,205,265,360,425,480,540,good
las_cruces,lomariopsis,maxonii,3,0,10,24.7,71,4.3,,185,245,285,345,445,505,good
las_cruces,lomariopsis,maxonii,3,0.5,9.8,24.7,70.1,4.3,,75,135,245,310,510,570,good
las_cruces,lomariopsis,maxonii,3,1,9.6,24.8,69.3,4.3,,125,185,235,295,450,510,good
las_cruces,lomariopsis,maxonii,3,1.5,9.4,25.5,68.8,4.3,,45,105,210,260,330,390,
las_cruces,lomariopsis,maxonii,3,2,9.2,26.2,68.1,4.3,,60,120,165,225,300,360,good
las_cruces,lomariopsis,maxonii,3,2.5,9,25.2,67.4,4.3,,105,165,240,300,395,455,good
las_cruces,lomariopsis,maxonii,3,3,8.8,24.9,66.9,4.2,,7,70,93,170,320,380,
las_cruces,lomariopsis,maxonii,4,0,10,25.4,67.6,4.3,,110,170,200,260,395,455,good
las_cruces,lomariopsis,maxonii,4,0.5,9.8,25.3,67.2,4.4,,115,175,230,290,460,520,good
las_cruces,lomariopsis,maxonii,4,1,9.6,24.4,66.6,4.1,,200,260,310,370,500,560,good
las_cruces,lomariopsis,maxonii,4,1.5,9.4,24.2,66.1,4.2,,140,200,235,285,355,415,good
las_cruces,lomariopsis,maxonii,4,2,9.2,23.8,65.5,4.4,,65,125,185,245,460,520,good
las_cruces,lomariopsis,maxonii,4,2.5,9,23.3,65,4.4,,120,180,205,265,340,400,good
las_cruces,lomariopsis,maxonii,4,3,8.8,23.3,64.6,4.3,,260,320,350,410,510,570,good
las_cruces,lomariopsis,maxonii,5,0,10,24.2,66.2,4.2,,235,295,375,435,,,b2 is missing
las_cruces,lomariopsis,maxonii,6,0,10,24,65.7,4.3,,90,150,235,295,390,450,good
las_cruces,lomariopsis,maxonii,7,0,10,23.3,65.3,4.3,,185,245,340,400,565,625,good
las_cruces,oleandra,costaricensis,2,0,10,23.3,63.8,4.3,,210,270,305,365,440,500,good
las_cruces,oleandra,costaricensis,2,0.5,9.8,23.8,63.2,4.4,,135,195,220,280,450,510,good
las_cruces,oleandra,costaricensis,2,1,9.6,24,62.8,4.3,,65,125,225,285,365,415,good
las_cruces,oleandra,costaricensis,2,1.5,9.4,23.9,62.3,4.4,,145,205,265,325,490,550,good
las_cruces,oleandra,costaricensis,2,2,9.2,24.3,61.9,4.4,,80,140,325,385,510,570,good
las_cruces,oleandra,costaricensis,2,2.5,9,24.9,61.6,4.4,,90,150,185,245,475,535,good
las_cruces,oleandra,costaricensis,3,0,10,23.5,63.6,4.4,,115,175,250,310,,,missing b2
las_cruces,oleandra,costaricensis,3,0.5,9.8,23.8,63,4.4,,140,200,340,400,525,585,good
las_cruces,oleandra,costaricensis,3,1,9.6,24,62.5,4.4,,265,325,395,455,595,655,good
las_cruces,oleandra,costaricensis,3,1.5,9.4,24,62.1,4.5,,140,200,265,325,525,585,good
las_cruces,oleandra,costaricensis,3,2,9.2,24.6,61.7,4.3,,490,550,595,655,765,825,good
las_cruces,oleandra,costaricensis,3,2.5,9,25.3,61.3,4.2,,590,650,680,740,875,935,good
las_cruces,oleandra,costaricensis,4,0,7.8,25.5,61,4.2,,130,190,260,320,495,555,good
las_cruces,oleandra,costaricensis,4,0.5,7.6,25.2,60.5,4.1,,460,520,540,600,665,725,good
