"site","species","plant_no","dry_mass_g","sla_cm2g","niche","genusspecies","group","niche2"
"la_selva","pecluma_pectinata","6",0.0224,3.89285714285714,"epiphyte","pecpec","E1","epiphyte"
"la_selva","pecluma_pectinata","4",0.0083,60.2409638554217,"epiphyte","pecpec","E1","epiphyte"
"la_selva","pecluma_pectinata","3",0.0098,51.0204081632653,"epiphyte","pecpec","E1","epiphyte"
"la_selva","pecluma_pectinata","5",0.0328,2.65243902439024,"epiphyte","pecpec","E1","epiphyte"
"la_selva","pecluma_pectinata","1",0.0134,29.8507462686567,"epiphyte","pecpec","E1","epiphyte"
"la_selva","phlebodium_aureum","3",0.0063,79.3650793650794,"epiphyte","phlaur","E1","epiphyte"
"la_selva","phlebodium_aureum","1",0.0041,121.951219512195,"epiphyte","phlaur","E1","epiphyte"
"la_selva","phlebodium_aureum","4",0.0057,87.719298245614,"epiphyte","phlaur","E1","epiphyte"
"la_selva","phlebodium_aureum","7",0.0047,106.382978723404,"epiphyte","phlaur","E1","epiphyte"
"la_selva","phlebodium_aureum","2",0.0042,119.047619047619,"epiphyte","phlaur","E1","epiphyte"
"la_selva","phlebodium_aureum","8",0.0045,111.111111111111,"epiphyte","phlaur","E1","epiphyte"
"la_selva","phlebodium_aureum","6",0.0072,69.4444444444444,"epiphyte","phlaur","E1","epiphyte"
"la_selva","phlebodium_aureum","5",0.0058,86.2068965517241,"epiphyte","phlaur","E1","epiphyte"
"la_selva","pleopeltis_bradeorum","1",0.0102,49.0196078431373,"hemi-epiphyte","plebra","E1","hemi-epiphyte"
"la_selva","pleopeltis_bradeorum","2",0.0077,64.9350649350649,"hemi-epiphyte","plebra","E1","hemi-epiphyte"
"la_selva","pleopeltis_bradeorum","6",0.0137,36.4963503649635,"hemi-epiphyte","plebra","E1","hemi-epiphyte"
"la_selva","pleopeltis_bradeorum","3",0.0051,98.0392156862745,"hemi-epiphyte","plebra","E1","hemi-epiphyte"
"la_selva","pleopeltis_bradeorum","4",0.0067,74.6268656716418,"hemi-epiphyte","plebra","E1","hemi-epiphyte"
"la_selva","pleopeltis_bradeorum","5",0.0096,52.0833333333333,"hemi-epiphyte","plebra","E1","hemi-epiphyte"
"la_selva","polybotrya_osmundacea","3",0.008,62.5,"climber","polosm","E1","hemi-epiphyte"
"la_selva","polybotrya_osmundacea","1",0.0055,90.9090909090909,"climber","polosm","E1","hemi-epiphyte"
"la_selva","polybotrya_osmundacea","4",0.0053,94.3396226415094,"climber","polosm","E1","hemi-epiphyte"
"la_selva","polybotrya_osmundacea","6",0.0053,94.3396226415094,"climber","polosm","E1","hemi-epiphyte"
"la_selva","polybotrya_osmundacea","5",0.006,83.3333333333333,"climber","polosm","E1","hemi-epiphyte"
"la_selva","polybotrya_osmundacea","2",0.0065,76.9230769230769,"climber","polosm","E1","hemi-epiphyte"
"la_selva","salpichlaena_volubilis","2",0.0079,63.2911392405063,"terrestrial","salvol","E2","terrestrial"
"la_selva","salpichlaena_volubilis","6",0.0063,79.3650793650794,"terrestrial","salvol","E2","terrestrial"
"la_selva","salpichlaena_volubilis","4",0.0078,64.1025641025641,"terrestrial","salvol","E2","terrestrial"
"la_selva","salpichlaena_volubilis","3",0.0069,72.463768115942,"terrestrial","salvol","E2","terrestrial"
"la_selva","salpichlaena_volubilis","1",0.0062,80.6451612903226,"terrestrial","salvol","E2","terrestrial"
"la_selva","salpichlaena_volubilis","5",0.0063,79.3650793650794,"terrestrial","salvol","E2","terrestrial"
"la_selva","serpocaulon_loriciforme","6",0.0044,45.4545454545455,"epiphyte","serlor","E1","epiphyte"
"la_selva","serpocaulon_loriciforme","3",0.0032,62.5,"epiphyte","serlor","E1","epiphyte"
"la_selva","serpocaulon_loriciforme","4",0.0053,37.7358490566038,"epiphyte","serlor","E1","epiphyte"
"la_selva","serpocaulon_loriciforme","10",0.0044,45.4545454545455,"epiphyte","serlor","E1","epiphyte"
"la_selva","serpocaulon_loriciforme","12",0.0036,55.5555555555556,"epiphyte","serlor","E1","epiphyte"
"la_selva","serpocaulon_loriciforme","9",0.0043,46.5116279069767,"epiphyte","serlor","E1","epiphyte"
"la_selva","tectaria_incisa","5",0.0032,156.25,"terrestrial","tecinc","E1","terrestrial"
"la_selva","tectaria_incisa","2",0.0037,135.135135135135,"terrestrial","tecinc","E1","terrestrial"
"la_selva","tectaria_incisa","3",0.0044,113.636363636364,"terrestrial","tecinc","E1","terrestrial"
"la_selva","tectaria_incisa","4",0.0037,135.135135135135,"terrestrial","tecinc","E1","terrestrial"
"la_selva","tectaria_incisa","6",0.0038,131.578947368421,"terrestrial","tecinc","E1","terrestrial"
"la_selva","tectaria_incisa","1",0.0039,128.205128205128,"terrestrial","tecinc","E1","terrestrial"
"la_selva","thelypteris_curtii","1",0.0014,142.857142857143,"terrestrial","thecur","E2","terrestrial"
"la_selva","thelypteris_curtii","4",6e-04,333.333333333333,"terrestrial","thecur","E2","terrestrial"
"la_selva","thelypteris_curtii","5",0.0016,125,"terrestrial","thecur","E2","terrestrial"
"la_selva","thelypteris_curtii","6",0.0011,181.818181818182,"terrestrial","thecur","E2","terrestrial"
"la_selva","thelypteris_curtii","3",0.0012,166.666666666667,"terrestrial","thecur","E2","terrestrial"
"la_selva","thelypteris_curtii","2",8e-04,250,"terrestrial","thecur","E2","terrestrial"
"la_selva","thelypteris_dentata","1",0.0083,60.2409638554217,"terrestrial","theden","E2","terrestrial"
"la_selva","thelypteris_dentata","6",0.008,62.5,"terrestrial","theden","E2","terrestrial"
