"sample_id","genusspecies","individual","K","MPa","curve_id","perc_loss_k","PLC"
"olecos_4_2.00","olecos",4,0.451146558417047,2,"olecos-4",0.11082342296417,11.082342296417
"olecos_4_2.50","olecos",4,0.064061434956305,2.5,"olecos-4",0.0157365879654819,1.57365879654819
"olecos_6_0.00","olecos",6,1.09387092098773,0,"olecos-6",1,100
"olecos_6_0.50","olecos",6,0.709083491850178,0.5,"olecos-6",0.648233240545329,64.8233240545329
"olecos_6_1.00","olecos",6,0.506123995343048,1,"olecos-6",0.462690785203464,46.2690785203464
"olecos_6_1.50","olecos",6,0.299653443525087,1.5,"olecos-6",0.273938577007341,27.3938577007341
"olecos_6_2.00","olecos",6,0.0997953617013882,2,"olecos-6",0.0912313873480396,9.12313873480396
"olecos_7_0.00","olecos",7,1.9523179604324,0,"olecos-7",1,100
"olecos_7_0.50","olecos",7,1.444388607274,0.5,"olecos-7",0.73983266893375,73.983266893375
"olecos_7_1.00","olecos",7,0.992280553815069,1,"olecos-7",0.508257657781982,50.8257657781982
"olecos_7_1.50","olecos",7,0.751949418743474,1.5,"olecos-7",0.385157251013012,38.5157251013012
"olecos_7_2.00","olecos",7,0.187874511701124,2,"olecos-7",0.0962315132620679,9.62315132620679
"olecos_7_2.50","olecos",7,0.0224429116139444,2.5,"olecos-7",0.0114955207444661,1.14955207444661
"olecos_8_0.00","olecos",8,1.7579146740887,0,"olecos-8",1,100
"olecos_8_0.50","olecos",8,1.009414026694,0.5,"olecos-8",0.574211047653538,57.4211047653538
"olecos_8_1.00","olecos",8,0.890446901571124,1,"olecos-8",0.506535905693335,50.6535905693335
"olecos_8_1.50","olecos",8,0.912025712985605,1.5,"olecos-8",0.51881113823593,51.881113823593
"olecos_8_2.00","olecos",8,0.379305525355199,2,"olecos-8",0.215770157076497,21.5770157076497
"olecos_8_2.50","olecos",8,0.00500921544024985,2.5,"olecos-8",0.00284952137557337,0.284952137557337
"olfcer_2_0.00","olfcer",2,10.2541952242798,0,"olfcer-2",1,100
"olfcer_2_0.50","olfcer",2,7.21794765875074,0.5,"olfcer-2",0.70390191535072,70.390191535072
"olfcer_2_1.00","olfcer",2,6.64436656882065,1,"olfcer-2",0.647965678777812,64.7965678777812
"olfcer_2_1.50","olfcer",2,5.74107719061665,1.5,"olfcer-2",0.559875940046761,55.9875940046761
"olfcer_2_2.00","olfcer",2,3.47478167247945,2,"olfcer-2",0.338864396130463,33.8864396130463
"olfcer_2_2.50","olfcer",2,1.46448240467338,2.5,"olfcer-2",0.142817878209086,14.2817878209086
"olfcer_2_3.00","olfcer",2,0.191540979683506,3,"olfcer-2",0.0186792796015798,1.86792796015798
"olfcer_3_0.00","olfcer",3,9.07629868875874,0,"olfcer-3",1,100
"olfcer_3_0.50","olfcer",3,7.31217075352194,0.5,"olfcer-3",0.805633552207606,80.5633552207606
"olfcer_3_1.00","olfcer",3,4.95357734512242,1,"olfcer-3",0.545770640102179,54.5770640102179
"olfcer_3_1.50","olfcer",3,2.55857732992633,1.5,"olfcer-3",0.281896554715107,28.1896554715107
"olfcer_3_2.00","olfcer",3,1.64130863118236,2,"olfcer-3",0.180834576677734,18.0834576677734
"olfcer_3_2.50","olfcer",3,0.20294776055792,2.5,"olfcer-3",0.0223601897113938,2.23601897113938
"olfcer_4_0.00","olfcer",4,4.85168177686341,0,"olfcer-4",1,100
"olfcer_4_0.50","olfcer",4,3.09802886389573,0.5,"olfcer-4",0.638547416417446,63.8547416417446
"olfcer_4_1.00","olfcer",4,3.08887314199226,1,"olfcer-4",0.636660293080723,63.6660293080723
"olfcer_4_1.50","olfcer",4,2.47737316881494,1.5,"olfcer-4",0.510621529348643,51.0621529348643
"olfcer_4_2.00","olfcer",4,1.60244548071279,2,"olfcer-4",0.330286600484495,33.0286600484495
"olfcer_4_2.50","olfcer",4,0.312517739069981,2.5,"olfcer-4",0.0644143110457715,6.44143110457715
"olfcer_5_0.00","olfcer",5,8.20591226969069,0,"olfcer-5",1,100
"olfcer_5_0.50","olfcer",5,5.70907950815989,0.5,"olfcer-5",0.69572758281208,69.572758281208
"olfcer_5_1.00","olfcer",5,5.10272499053665,1,"olfcer-5",0.621835186976596,62.1835186976596
"olfcer_5_1.50","olfcer",5,3.64535366612821,1.5,"olfcer-5",0.444235027906972,44.4235027906972
"olfcer_5_2.00","olfcer",5,3.62977655856213,2,"olfcer-5",0.442336749317812,44.2336749317812
"olfcer_5_2.50","olfcer",5,2.11300336192408,2.5,"olfcer-5",0.257497678805153,25.7497678805153
"olfcer_5_3.00","olfcer",5,0.409215263206494,3,"olfcer-5",0.0498683448905455,4.98683448905455
"olfcer_6_0.00","olfcer",6,4.30532172262349,0,"olfcer-6",1,100
