species,year,plant_no,xylem_area_um2,lamina_area_cm2,site,niche,genusspecies,group,niche2,lamina_area_mm2,xylem_area_mm2,huber
asplenium_uniseriale,2018,7,27954.45,65.46,las_cruces,terrestrial,aspuni,E2,terrestrial,6546,0.02795445,4.27E-06
asplenium_uniseriale,2018,2,29277.6,96.88,las_cruces,terrestrial,aspuni,E2,terrestrial,9688,0.0292776,3.02E-06
blechnum_occidentale,2017,2,140674,170.6,la_selva,terrestrial,bleocc,E2,terrestrial,17060,0.140674,8.25E-06
blechnum_occidentale,2017,3,138140,259.9,la_selva,terrestrial,bleocc,E2,terrestrial,25990,0.13814,5.32E-06
blechnum_occidentale,2017,4,100628,191.4,la_selva,terrestrial,bleocc,E2,terrestrial,19140,0.100628,5.26E-06
blechnum_occidentale,2017,1,92216,189.4,la_selva,terrestrial,bleocc,E2,terrestrial,18940,0.092216,4.87E-06
blechnum_occidentale,2017,6,118353,190.7,la_selva,terrestrial,bleocc,E2,terrestrial,19070,0.118353,6.21E-06
blechnum_occidentale,2017,5,99148,185.8,la_selva,terrestrial,bleocc,E2,terrestrial,18580,0.099148,5.34E-06
campyloneurum_brevifolium,2017,1,85515,599,la_selva,epiphyte,cambre,E1,epiphyte,59900,0.085515,1.43E-06
campyloneurum_brevifolium,2017,3,75336,809,la_selva,epiphyte,cambre,E1,epiphyte,80900,0.075336,9.31E-07
campyloneurum_brevifolium,2017,4,155487,827,la_selva,epiphyte,cambre,E1,epiphyte,82700,0.155487,1.88E-06
campyloneurum_brevifolium,2017,5,86991,329,la_selva,epiphyte,cambre,E1,epiphyte,32900,0.086991,2.64E-06
campyloneurum_brevifolium,2017,2,53655,350,la_selva,epiphyte,cambre,E1,epiphyte,35000,0.053655,1.53E-06
campyloneurum_brevifolium,2017,6,118567,504,la_selva,epiphyte,cambre,E1,epiphyte,50400,0.118567,2.35E-06
christella_dentata,2017,1,370014.494,514.5,la_selva,terrestrial,theden,E2,terrestrial,51450,0.370014494,7.19E-06
christella_dentata,2017,2,491436.909,399,la_selva,terrestrial,theden,E2,terrestrial,39900,0.491436909,1.23E-05
christella_dentata,2017,4,305742.292,381.7,la_selva,terrestrial,theden,E2,terrestrial,38170,0.305742292,8.01E-06
christella_dentata,2017,6,311707.257,405.2,la_selva,terrestrial,theden,E2,terrestrial,40520,0.311707257,7.69E-06
christella_dentata,2017,3,467076.199,640.8,la_selva,terrestrial,theden,E2,terrestrial,64080,0.467076199,7.29E-06
cyclopeltis_semicordata,2019,1,309042.438,746,la_selva,terrestrial,cycsem,E1,terrestrial,74600,0.309042438,4.14E-06
cyclopeltis_semicordata,2019,2,408200.254,866,la_selva,terrestrial,cycsem,E1,terrestrial,86600,0.408200254,4.71E-06
cyclopeltis_semicordata,2019,3,170116.552,828,la_selva,terrestrial,cycsem,E1,terrestrial,82800,0.170116552,2.05E-06
cyclopeltis_semicordata,2019,5,305728.996,857,la_selva,terrestrial,cycsem,E1,terrestrial,85700,0.305728996,3.57E-06
cyclopeltis_semicordata,2019,6,202355.506,685,la_selva,terrestrial,cycsem,E1,terrestrial,68500,0.202355506,2.95E-06
cyclopeltis_semicordata,2019,4,366112.647,824,la_selva,terrestrial,cycsem,E1,terrestrial,82400,0.366112647,4.44E-06
diplazium_atirrense,2018,1,664501.298,1403.1,las_cruces,terrestrial,dipati,E2,terrestrial,140310,0.664501298,4.74E-06
diplazium_atirrense,2018,2,821985.88,1986.9,las_cruces,terrestrial,dipati,E2,terrestrial,198690,0.82198588,4.14E-06
diplazium_atirrense,2018,4,308589.001,616.24,las_cruces,terrestrial,dipati,E2,terrestrial,61624,0.308589001,5.01E-06
diplazium_atirrense,2018,5,338371.854,591.31,las_cruces,terrestrial,dipati,E2,terrestrial,59131,0.338371854,5.72E-06
diplazium_atirrense,2018,6,346917.254,370.8,las_cruces,terrestrial,dipati,E2,terrestrial,37080,0.346917254,9.36E-06
diplazium_atirrense,2018,3,613277.357,1043.5,las_cruces,terrestrial,dipati,E2,terrestrial,104350,0.613277357,5.88E-06
diplazium_prominulum,2018,2,175605.208,286.5,las_cruces,terrestrial,dippro,E2,terrestrial,28650,0.175605208,6.13E-06
diplazium_prominulum,2018,3,178086.003,545.1,las_cruces,terrestrial,dippro,E2,terrestrial,54510,0.178086003,3.27E-06
diplazium_prominulum,2018,4,80541.505,226.2,las_cruces,terrestrial,dippro,E2,terrestrial,22620,0.080541505,3.56E-06
diplazium_prominulum,2018,1,106422.971,345,las_cruces,terrestrial,dippro,E2,terrestrial,34500,0.106422971,3.08E-06
diplazium_prominulum,2018,7,85885.929,183.5,las_cruces,terrestrial,dippro,E2,terrestrial,18350,0.085885929,4.68E-06
diplazium_prominulum,2018,5,85131.145,277.6,las_cruces,terrestrial,dippro,E2,terrestrial,27760,0.085131145,3.07E-06
diplazium_striatastrum,2017,2,329917,48,la_selva,terrestrial,dipstr,E2,terrestrial,4800,0.329917,6.87E-05
diplazium_striatastrum,2017,3,228924,93,la_selva,terrestrial,dipstr,E2,terrestrial,9300,0.228924,2.46E-05
diplazium_striatastrum,2017,4,214427,60,la_selva,terrestrial,dipstr,E2,terrestrial,6000,0.214427,3.57E-05
diplazium_striatastrum,2017,1,324934,80,la_selva,terrestrial,dipstr,E2,terrestrial,8000,0.324934,4.06E-05
diplazium_striatastrum,2017,6,222779,85,la_selva,terrestrial,dipstr,E2,terrestrial,8500,0.222779,2.62E-05
diplazium_striatastrum,2017,5,253718,60,la_selva,terrestrial,dipstr,E2,terrestrial,6000,0.253718,4.23E-05
dryopteris_patula,2018,1,235820.178,902.89,las_cruces,epiphyte,drypat,E1,epiphyte,90289,0.235820178,2.61E-06
dryopteris_patula,2018,2,251243.244,809.92,las_cruces,epiphyte,drypat,E1,epiphyte,80992,0.251243244,3.10E-06
dryopteris_patula,2018,4,103860.458,459.44,las_cruces,epiphyte,drypat,E1,epiphyte,45944,0.103860458,2.26E-06
dryopteris_patula,2018,5,105418.76,451.57,las_cruces,epiphyte,drypat,E1,epiphyte,45157,0.10541876,2.33E-06
dryopteris_patula,2018,6,79110.959,312.13,las_cruces,epiphyte,drypat,E1,epiphyte,31213,0.079110959,2.53E-06
dryopteris_patula,2018,3,97919.624,526.75,las_cruces,epiphyte,drypat,E1,epiphyte,52675,0.097919624,1.86E-06
elaphoglossum_amygdalifolium,2017,2,1401,36.2,la_selva,hemi-epiphyte,elaamy,E1,hemi-epiphyte,3620,0.001401,3.87E-07
elaphoglossum_amygdalifolium,2017,3,2288,25.1,la_selva,hemi-epiphyte,elaamy,E1,hemi-epiphyte,2510,0.002288,9.12E-07
elaphoglossum_amygdalifolium,2017,4,2259,23.9,la_selva,hemi-epiphyte,elaamy,E1,hemi-epiphyte,2390,0.002259,9.45E-07
elaphoglossum_amygdalifolium,2017,5,2230,23.5,la_selva,hemi-epiphyte,elaamy,E1,hemi-epiphyte,2350,0.00223,9.49E-07
elaphoglossum_amygdalifolium,2017,6,3326,22.5,la_selva,hemi-epiphyte,elaamy,E1,hemi-epiphyte,2250,0.003326,1.48E-06
elaphoglossum_amygdalifolium,2017,1,3105,28.6,la_selva,hemi-epiphyte,elaamy,E1,hemi-epiphyte,2860,0.003105,1.09E-06
elaphoglossum_decursivum,2018,1,39407.019,221.22,las_cruces,epiphyte,eladec,E1,epiphyte,22122,0.039407019,1.78E-06
elaphoglossum_decursivum,2018,2,36557.665,251.78,las_cruces,epiphyte,eladec,E1,epiphyte,25178,0.036557665,1.45E-06
elaphoglossum_decursivum,2018,3,34471.007,193.19,las_cruces,epiphyte,eladec,E1,epiphyte,19319,0.034471007,1.78E-06
elaphoglossum_decursivum,2018,5,27150.006,233.5,las_cruces,epiphyte,eladec,E1,epiphyte,23350,0.027150006,1.16E-06
elaphoglossum_decursivum,2018,6,30397.715,224.52,las_cruces,epiphyte,eladec,E1,epiphyte,22452,0.030397715,1.35E-06
elaphoglossum_decursivum,2018,4,30624.253,133.82,las_cruces,epiphyte,eladec,E1,epiphyte,13382,0.030624253,2.29E-06
elaphoglossum_herminieri,2017,1,25482,88.6,la_selva,epiphyte,elaher,E1,epiphyte,8860,0.025482,2.88E-06
elaphoglossum_herminieri,2017,3,22970,48.3,la_selva,epiphyte,elaher,E1,epiphyte,4830,0.02297,4.76E-06
elaphoglossum_herminieri,2017,4,32962,92.6,la_selva,epiphyte,elaher,E1,epiphyte,9260,0.032962,3.56E-06
elaphoglossum_herminieri,2017,5,20140,103.2,la_selva,epiphyte,elaher,E1,epiphyte,10320,0.02014,1.95E-06
elaphoglossum_herminieri,2017,6,60595,118.6,la_selva,epiphyte,elaher,E1,epiphyte,11860,0.060595,5.11E-06
elaphoglossum_herminieri,2017,2,45804,54.6,la_selva,epiphyte,elaher,E1,epiphyte,5460,0.045804,8.39E-06
elaphoglossum_latifolium,2019,2,26676,84.6,la_selva,epiphyte,elalat,E1,epiphyte,8460,0.026676,3.15E-06
elaphoglossum_latifolium,2019,3,34552,54.2,la_selva,epiphyte,elalat,E1,epiphyte,5420,0.034552,6.37E-06
elaphoglossum_latifolium,2019,4,53459,52.5,la_selva,epiphyte,elalat,E1,epiphyte,5250,0.053459,1.02E-05
elaphoglossum_latifolium,2019,1,44929,54.8,la_selva,epiphyte,elalat,E1,epiphyte,5480,0.044929,8.20E-06
elaphoglossum_latifolium,2019,6,34080,63.8,la_selva,epiphyte,elalat,E1,epiphyte,6380,0.03408,5.34E-06
elaphoglossum_latifolium,2019,5,52159,92.1,la_selva,epiphyte,elalat,E1,epiphyte,9210,0.052159,5.66E-06
goniopteris_curta,2017,2,373579.668,564.9,la_selva,terrestrial,thecur,E2,terrestrial,56490,0.373579668,6.61E-06
goniopteris_curta,2017,3,353764.383,357.1,la_selva,terrestrial,thecur,E2,terrestrial,35710,0.353764383,9.91E-06
goniopteris_curta,2017,4,301397.382,701.8,la_selva,terrestrial,thecur,E2,terrestrial,70180,0.301397382,4.29E-06
goniopteris_curta,2017,1,397541.889,757.2,la_selva,terrestrial,thecur,E2,terrestrial,75720,0.397541889,5.25E-06
goniopteris_curta,2017,6,284186.603,391.3,la_selva,terrestrial,thecur,E2,terrestrial,39130,0.284186603,7.26E-06
goniopteris_curta,2017,5,159942.799,391.5,la_selva,terrestrial,thecur,E2,terrestrial,39150,0.159942799,4.09E-06
goniopteris_nicaraguensis,2017,1,293698.564,344.5,la_selva,terrestrial,thenic,E2,terrestrial,34450,0.293698564,8.53E-06
goniopteris_nicaraguensis,2017,2,530291.779,597.2,la_selva,terrestrial,thenic,E2,terrestrial,59720,0.530291779,8.88E-06
goniopteris_nicaraguensis,2017,5,696313.95,375.1,la_selva,terrestrial,thenic,E2,terrestrial,37510,0.69631395,1.86E-05
goniopteris_nicaraguensis,2017,6,353989.268,501.9,la_selva,terrestrial,thenic,E2,terrestrial,50190,0.353989268,7.05E-06
goniopteris_nicaraguensis,2017,3,654374.037,683.9,la_selva,terrestrial,thenic,E2,terrestrial,68390,0.654374037,9.57E-06
lomariopsis_japurensis,2019,2,258956.813,1102.8,la_selva,hemi-epiphyte,lomjap,E1,hemi-epiphyte,110280,0.258956813,2.35E-06
lomariopsis_japurensis,2019,3,504361.714,1261,la_selva,hemi-epiphyte,lomjap,E1,hemi-epiphyte,126100,0.504361714,4.00E-06
lomariopsis_japurensis,2019,5,369554.327,692.5,la_selva,hemi-epiphyte,lomjap,E1,hemi-epiphyte,69250,0.369554327,5.34E-06
lomariopsis_japurensis,2019,6,539840.273,981.9,la_selva,hemi-epiphyte,lomjap,E1,hemi-epiphyte,98190,0.539840273,5.50E-06
lomariopsis_japurensis,2019,4,656076.11,1186.8,la_selva,hemi-epiphyte,lomjap,E1,hemi-epiphyte,118680,0.65607611,5.53E-06
lomariopsis_maxonii,2018,1,193239.137,568.4,las_cruces,hemi-epiphyte,lommax,E1,hemi-epiphyte,56840,0.193239137,3.40E-06
lomariopsis_maxonii,2018,2,90803.252,397.19,las_cruces,hemi-epiphyte,lommax,E1,hemi-epiphyte,39719,0.090803252,2.29E-06
lomariopsis_maxonii,2018,3,107976.649,507.2,las_cruces,hemi-epiphyte,lommax,E1,hemi-epiphyte,50720,0.107976649,2.13E-06
lomariopsis_maxonii,2018,5,119100.491,509.1,las_cruces,hemi-epiphyte,lommax,E1,hemi-epiphyte,50910,0.119100491,2.34E-06
lomariopsis_maxonii,2018,6,76887.078,264.1,las_cruces,hemi-epiphyte,lommax,E1,hemi-epiphyte,26410,0.076887078,2.91E-06
lomariopsis_maxonii,2018,4,169174.788,569.43,las_cruces,hemi-epiphyte,lommax,E1,hemi-epiphyte,56943,0.169174788,2.97E-06
mickelia_nicotianifolia,2017,1,67877,347,la_selva,climber,micnic,E1,terrestrial,34700,0.067877,1.96E-06
mickelia_nicotianifolia,2017,3,63617,220.6,la_selva,climber,micnic,E1,terrestrial,22060,0.063617,2.88E-06
mickelia_nicotianifolia,2017,4,75559,433.7,la_selva,climber,micnic,E1,terrestrial,43370,0.075559,1.74E-06
mickelia_nicotianifolia,2017,5,52034,342.5,la_selva,climber,micnic,E1,terrestrial,34250,0.052034,1.52E-06
mickelia_nicotianifolia,2017,2,101404,510.3,la_selva,climber,micnic,E1,terrestrial,51030,0.101404,1.99E-06
mickelia_nicotianifolia,2017,6,104383,382.7,la_selva,climber,micnic,E1,terrestrial,38270,0.104383,2.73E-06
nephrolepis_biserrata,2017,2,208624,908.8,la_selva,terrestrial,nepbis,E1,terrestrial,90880,0.208624,2.30E-06
nephrolepis_biserrata,2017,3,127186,603.9,la_selva,terrestrial,nepbis,E1,terrestrial,60390,0.127186,2.11E-06
nephrolepis_biserrata,2017,6,82148,517.3,la_selva,terrestrial,nepbis,E1,terrestrial,51730,0.082148,1.59E-06
nephrolepis_biserrata,2017,1,265405,1091.4,la_selva,terrestrial,nepbis,E1,terrestrial,109140,0.265405,2.43E-06
nephrolepis_biserrata,2017,9,91036,435.4,la_selva,terrestrial,nepbis,E1,terrestrial,43540,0.091036,2.09E-06
nephrolepis_biserrata,2017,8,214447,712.6,la_selva,terrestrial,nepbis,E1,terrestrial,71260,0.214447,3.01E-06
nephrolepis_brownii,2018,1,194725.725,509.12,las_cruces,terrestrial,nepbro,E1,terrestrial,50912,0.194725725,3.82E-06
nephrolepis_brownii,2018,2,280710.399,950.11,las_cruces,terrestrial,nepbro,E1,terrestrial,95011,0.280710399,2.95E-06
nephrolepis_brownii,2018,4,318328.905,1597.96,las_cruces,terrestrial,nepbro,E1,terrestrial,159796,0.318328905,1.99E-06
nephrolepis_brownii,2018,5,248661.537,1782.6,las_cruces,terrestrial,nepbro,E1,terrestrial,178260,0.248661537,1.39E-06
nephrolepis_brownii,2018,6,363516.263,1958.57,las_cruces,terrestrial,nepbro,E1,terrestrial,195857,0.363516263,1.86E-06
nephrolepis_brownii,2018,3,370766.247,2448.4,las_cruces,terrestrial,nepbro,E1,terrestrial,244840,0.370766247,1.51E-06
nephrolepis_rivularis,2017,2,33942,104.6,la_selva,terrestrial,nepriv,E1,terrestrial,10460,0.033942,3.24E-06
nephrolepis_rivularis,2017,3,20066,110.9,la_selva,terrestrial,nepriv,E1,terrestrial,11090,0.020066,1.81E-06
nephrolepis_rivularis,2017,4,25220,138.4,la_selva,terrestrial,nepriv,E1,terrestrial,13840,0.02522,1.82E-06
nephrolepis_rivularis,2017,5,23370,111.4,la_selva,terrestrial,nepriv,E1,terrestrial,11140,0.02337,2.10E-06
nephrolepis_rivularis,2017,6,23344,118.1,la_selva,terrestrial,nepriv,E1,terrestrial,11810,0.023344,1.98E-06
nephrolepis_rivularis,2017,1,26959,643.5,la_selva,terrestrial,nepriv,E1,terrestrial,64350,0.026959,4.19E-07
niphidium_crassifolium,2018,1,53172.936,242.41,las_cruces,epiphyte,nipcra,E1,epiphyte,24241,0.053172936,2.19E-06
niphidium_crassifolium,2018,2,35490.205,169.71,las_cruces,epiphyte,nipcra,E1,epiphyte,16971,0.035490205,2.09E-06
niphidium_crassifolium,2018,3,32760.803,190.1,las_cruces,epiphyte,nipcra,E1,epiphyte,19010,0.032760803,1.72E-06
niphidium_crassifolium,2018,5,99674.557,405.23,las_cruces,epiphyte,nipcra,E1,epiphyte,40523,0.099674557,2.46E-06
niphidium_crassifolium,2018,6,173200.15,1129.83,las_cruces,epiphyte,nipcra,E1,epiphyte,112983,0.17320015,1.53E-06
niphidium_crassifolium,2018,4,103172.792,342.51,las_cruces,epiphyte,nipcra,E1,epiphyte,34251,0.103172792,3.01E-06
oleandra_articulata,2017,1,28950,108,la_selva,epiphyte,oleart,E1,epiphyte,10800,0.02895,2.68E-06
oleandra_articulata,2017,3,30763,117,la_selva,epiphyte,oleart,E1,epiphyte,11700,0.030763,2.63E-06
oleandra_articulata,2017,4,26374,87,la_selva,epiphyte,oleart,E1,epiphyte,8700,0.026374,3.03E-06
oleandra_articulata,2017,5,11955,69,la_selva,epiphyte,oleart,E1,epiphyte,6900,0.011955,1.73E-06
oleandra_articulata,2017,6,9390,65,la_selva,epiphyte,oleart,E1,epiphyte,6500,0.00939,1.44E-06
oleandra_articulata,2017,2,25473,128,la_selva,epiphyte,oleart,E1,epiphyte,12800,0.025473,1.99E-06
oleandra_costaricensis,2018,2,185652.602,35.28,las_cruces,terrestrial,olecos,E1,terrestrial,3528,0.185652602,5.26E-05
oleandra_costaricensis,2018,4,264747.622,31.31,las_cruces,terrestrial,olecos,E1,terrestrial,3131,0.264747622,8.46E-05
oleandra_costaricensis,2018,6,93798.864,38.5,las_cruces,terrestrial,olecos,E1,terrestrial,3850,0.093798864,2.44E-05
oleandra_costaricensis,2018,7,139010.784,40.44,las_cruces,terrestrial,olecos,E1,terrestrial,4044,0.139010784,3.44E-05
oleandra_costaricensis,2018,3,196472.409,27.36,las_cruces,terrestrial,olecos,E1,terrestrial,2736,0.196472409,7.18E-05
oleandra_costaricensis,2018,8,131349.959,23.37,las_cruces,terrestrial,olecos,E1,terrestrial,2337,0.131349959,5.62E-05
olfersia_cervina,2018,2,823340.482,1725.7,las_cruces,terrestrial,olfcer,E1,terrestrial,172570,0.823340482,4.77E-06
olfersia_cervina,2018,3,628001.888,1834.45,las_cruces,terrestrial,olfcer,E1,terrestrial,183445,0.628001888,3.42E-06
olfersia_cervina,2018,4,408442.094,1032.76,las_cruces,terrestrial,olfcer,E1,terrestrial,103276,0.408442094,3.95E-06
olfersia_cervina,2018,6,704968.516,1404.63,las_cruces,terrestrial,olfcer,E1,terrestrial,140463,0.704968516,5.02E-06
olfersia_cervina,2018,7,547602.018,1376.31,las_cruces,terrestrial,olfcer,E1,terrestrial,137631,0.547602018,3.98E-06
olfersia_cervina,2018,5,896497.579,1477.15,las_cruces,terrestrial,olfcer,E1,terrestrial,147715,0.896497579,6.07E-06
parablechnum_schiedeanum,2018,1,375834.069,380.59,las_cruces,terrestrial,blesch,E2,terrestrial,38059,0.375834069,9.88E-06
parablechnum_schiedeanum,2018,2,482534.641,420.33,las_cruces,terrestrial,blesch,E2,terrestrial,42033,0.482534641,1.15E-05
parablechnum_schiedeanum,2018,4,377448.337,382.7,las_cruces,terrestrial,blesch,E2,terrestrial,38270,0.377448337,9.86E-06
parablechnum_schiedeanum,2018,5,411167.932,400.24,las_cruces,terrestrial,blesch,E2,terrestrial,40024,0.411167932,1.03E-05
parablechnum_schiedeanum,2018,6,452450.458,480.16,las_cruces,terrestrial,blesch,E2,terrestrial,48016,0.452450458,9.42E-06
parablechnum_schiedeanum,2018,3,520521.741,364.7,las_cruces,terrestrial,blesch,E2,terrestrial,36470,0.520521741,1.43E-05
parapolystichum_excultum,2018,1,358159.043,722.9,las_cruces,terrestrial,parexc,E1,terrestrial,72290,0.358159043,4.95E-06
parapolystichum_excultum,2018,2,294913.845,1342.08,las_cruces,terrestrial,parexc,E1,terrestrial,134208,0.294913845,2.20E-06
parapolystichum_excultum,2018,6,115342.23,524.28,las_cruces,terrestrial,parexc,E1,terrestrial,52428,0.11534223,2.20E-06
parapolystichum_excultum,2018,7,85572.235,402.58,las_cruces,terrestrial,parexc,E1,terrestrial,40258,0.085572235,2.13E-06
parapolystichum_excultum,2018,8,76652.659,256.27,las_cruces,terrestrial,parexc,E1,terrestrial,25627,0.076652659,2.99E-06
parapolystichum_excultum,2018,4,216187.231,1132.04,las_cruces,terrestrial,parexc,E1,terrestrial,113204,0.216187231,1.91E-06
phlebodium_aureum,2019,2,142750.75,403.8,la_selva,epiphyte,phlaur,E1,epiphyte,40380,0.14275075,3.54E-06
phlebodium_aureum,2019,3,220483.021,133.1,la_selva,epiphyte,phlaur,E1,epiphyte,13310,0.220483021,1.66E-05
phlebodium_aureum,2019,4,240840.846,282.9,la_selva,epiphyte,phlaur,E1,epiphyte,28290,0.240840846,8.51E-06
phlebodium_aureum,2019,1,144239.28,995.77,la_selva,epiphyte,phlaur,E1,epiphyte,99577,0.14423928,1.45E-06
phlebodium_aureum,2019,6,125731.458,1106.6,la_selva,epiphyte,phlaur,E1,epiphyte,110660,0.125731458,1.14E-06
phlebodium_aureum,2019,5,236761.321,1174.2,la_selva,epiphyte,phlaur,E1,epiphyte,117420,0.236761321,2.02E-06
pleopeltis_bradeorum,2017,1,16045,99.4,la_selva,hemi-epiphyte,plebra,E1,hemi-epiphyte,9940,0.016045,1.61E-06
pleopeltis_bradeorum,2017,2,37211,146,la_selva,hemi-epiphyte,plebra,E1,hemi-epiphyte,14600,0.037211,2.55E-06
pleopeltis_bradeorum,2017,3,17111,109,la_selva,hemi-epiphyte,plebra,E1,hemi-epiphyte,10900,0.017111,1.57E-06
pleopeltis_bradeorum,2017,5,16266,137,la_selva,hemi-epiphyte,plebra,E1,hemi-epiphyte,13700,0.016266,1.19E-06
pleopeltis_bradeorum,2017,6,11954,61,la_selva,hemi-epiphyte,plebra,E1,hemi-epiphyte,6100,0.011954,1.96E-06
pleopeltis_bradeorum,2017,4,18778,141,la_selva,hemi-epiphyte,plebra,E1,hemi-epiphyte,14100,0.018778,1.33E-06
polybotrya_osmundacea,2019,1,222102.608,1519.7,la_selva,climber,polosm,E1,terrestrial,151970,0.222102608,1.46E-06
polybotrya_osmundacea,2019,3,308399.947,1075.7,la_selva,climber,polosm,E1,terrestrial,107570,0.308399947,2.87E-06
polybotrya_osmundacea,2019,4,114951.064,1292.2,la_selva,climber,polosm,E1,terrestrial,129220,0.114951064,8.90E-07
polybotrya_osmundacea,2019,5,147726.398,1002.6,la_selva,climber,polosm,E1,terrestrial,100260,0.147726398,1.47E-06
polybotrya_osmundacea,2019,2,156353.584,1314.8,la_selva,climber,polosm,E1,terrestrial,131480,0.156353584,1.19E-06
polybotrya_osmundacea,2019,6,134470.168,1073.3,la_selva,climber,polosm,E1,terrestrial,107330,0.134470168,1.25E-06
salpichlaena_volubilis,2017,2,270082.527,576,la_selva,climber,salvol,E2,terrestrial,57600,0.270082527,4.69E-06
salpichlaena_volubilis,2017,3,295716.262,370,la_selva,climber,salvol,E2,terrestrial,37000,0.295716262,7.99E-06
salpichlaena_volubilis,2017,4,204644.752,460,la_selva,climber,salvol,E2,terrestrial,46000,0.204644752,4.45E-06
salpichlaena_volubilis,2017,5,396191.791,429,la_selva,climber,salvol,E2,terrestrial,42900,0.396191791,9.24E-06
salpichlaena_volubilis,2017,6,320710.762,408,la_selva,climber,salvol,E2,terrestrial,40800,0.320710762,7.86E-06
salpichlaena_volubilis,2017,1,224482.395,468,la_selva,climber,salvol,E2,terrestrial,46800,0.224482395,4.80E-06
serpocaulon_fraxinifolium,2018,1,106433.258,697.63,las_cruces,epiphyte,serfra,E1,epiphyte,69763,0.106433258,1.53E-06
serpocaulon_fraxinifolium,2018,2,109347.611,420.12,las_cruces,epiphyte,serfra,E1,epiphyte,42012,0.109347611,2.60E-06
serpocaulon_fraxinifolium,2018,3,119499.466,377.16,las_cruces,epiphyte,serfra,E1,epiphyte,37716,0.119499466,3.17E-06
serpocaulon_fraxinifolium,2018,9,100744.563,320.96,las_cruces,epiphyte,serfra,E1,epiphyte,32096,0.100744563,3.14E-06
serpocaulon_fraxinifolium,2018,10,169679.535,394.84,las_cruces,epiphyte,serfra,E1,epiphyte,39484,0.169679535,4.30E-06
serpocaulon_fraxinifolium,2018,6,154898.855,296.83,las_cruces,epiphyte,serfra,E1,epiphyte,29683,0.154898855,5.22E-06
serpocaulon_loriciforme,2017,4,23833.66,665.4,la_selva,epiphyte,serlor,E1,epiphyte,66540,0.02383366,3.58E-07
serpocaulon_loriciforme,2017,6,37919.059,274.6,la_selva,epiphyte,serlor,E1,epiphyte,27460,0.037919059,1.38E-06
serpocaulon_loriciforme,2017,9,41068.633,225.8,la_selva,epiphyte,serlor,E1,epiphyte,22580,0.041068633,1.82E-06
serpocaulon_loriciforme,2017,10,42425.407,192.8,la_selva,epiphyte,serlor,E1,epiphyte,19280,0.042425407,2.20E-06
serpocaulon_loriciforme,2017,5,40876.898,172.7,la_selva,epiphyte,serlor,E1,epiphyte,17270,0.040876898,2.37E-06
serpocaulon_triseriale,2018,1,334375,701.67,las_cruces,epiphyte,sertri,E1,epiphyte,70167,0.334375,4.77E-06
serpocaulon_triseriale,2018,2,271531.06,830.37,las_cruces,epiphyte,sertri,E1,epiphyte,83037,0.27153106,3.27E-06
