sample_id,genusspecies,individual,K,MPa,perc_loss_k,PLC
olecos_7_0.00,olecos,7,2.097,0,0,0
olecos_7_0.50,olecos,7,1.555,0.5,0.258192819,25.81928193
olecos_7_1.00,olecos,7,1.067,1,0.49097564,49.09756402
olecos_7_1.50,olecos,7,0.828,1.5,0.604906615,60.49066145
olecos_7_2.00,olecos,7,0.202,2,0.903524506,90.35245059
olecos_7_2.50,olecos,7,0.024,2.5,0.988446503,98.84465026
olecos_8_0.00,olecos,8,1.895,0,0,0
olecos_8_0.50,olecos,8,1.091,0.5,0.424160373,42.41603729
olecos_8_1.00,olecos,8,0.961,1,0.492701239,49.2701239
olecos_8_1.50,olecos,8,0.98,1.5,0.482594499,48.25944987
olecos_8_2.00,olecos,8,0.41,2,0.783616699,78.36166994
olecos_8_2.50,olecos,8,0.005,2.5,0.997163126,99.71631259
olfcer_2_0.00,olfcer,2,11.108,0,0,0
olfcer_2_0.50,olfcer,2,7.877,0.5,0.290925069,29.09250688
olfcer_2_1.00,olfcer,2,7.214,1,0.350571435,35.05714352
olfcer_2_1.50,olfcer,2,6.259,1.5,0.436521474,43.65214741
olfcer_2_2.50,olfcer,2,2.06,2.5,0.814577184,81.45771844
olfcer_2_3.00,olfcer,2,0.202,3,0.981836929,98.18369286
olfcer_3_0.00,olfcer,3,9.825,0,0,0
olfcer_3_0.50,olfcer,3,7.879,0.5,0.198057914,19.80579135
olfcer_3_1.00,olfcer,3,5.422,1,0.448120126,44.81201263
olfcer_3_1.50,olfcer,3,2.77,1.5,0.71810042,71.81004202
olfcer_3_2.00,olfcer,3,1.783,2,0.818538074,81.85380744
olfcer_3_2.50,olfcer,3,0.223,2.5,0.977264021,97.72640208
olfcer_4_0.00,olfcer,4,5.369,0,0,0
olfcer_4_0.50,olfcer,4,3.358,0.5,0.374563554,37.45635542
olfcer_4_1.00,olfcer,4,3.575,1,0.334097832,33.40978322
olfcer_4_1.50,olfcer,4,2.677,1.5,0.501308802,50.13088023
olfcer_4_2.00,olfcer,4,1.732,2,0.677387992,67.73879919
olfcer_4_2.50,olfcer,4,0.34,2.5,0.936609497,93.66094972
olfcer_5_0.00,olfcer,5,8.867,0,0,0
olfcer_5_0.50,olfcer,5,6.155,0.5,0.305791569,30.57915686
olfcer_5_1.00,olfcer,5,5.575,1,0.371259658,37.12596584
olfcer_5_1.50,olfcer,5,3.95,1.5,0.55455592,55.455592
olfcer_5_2.00,olfcer,5,3.891,2,0.561216534,56.1216534
olfcer_5_2.50,olfcer,5,2.316,2.5,0.738814943,73.88149434
olfcer_5_3.00,olfcer,5,0.435,3,0.950991913,95.09919128
olfcer_6_0.00,olfcer,6,11.251,0,0,0
olfcer_6_0.50,olfcer,6,7.739,0.5,0.312210713,31.22107131
olfcer_6_1.00,olfcer,6,5.754,1,0.488589324,48.8589324
olfcer_6_1.50,olfcer,6,6.583,1.5,0.414926975,41.49269746
olfcer_6_2.00,olfcer,6,2.222,2,0.802521651,80.25216514
olfcer_6_2.50,olfcer,6,0.225,2.5,0.979959399,97.99593987
olfcer_7_0.00,olfcer,7,7.401,0,0,0
olfcer_7_0.50,olfcer,7,3.159,0.5,0.573177428,57.31774284
olfcer_7_1.00,olfcer,7,2.631,1,0.644568105,64.45681048
olfcer_7_1.50,olfcer,7,0.976,1.5,0.868105221,86.81052206
olfcer_7_2.00,olfcer,7,0.063,2,0.99143291,99.143291
parexc_1_0.00,parexc,1,1.381,0,0,0
parexc_1_0.50,parexc,1,0.625,0.5,0.547140556,54.71405556
