"species","plant_no","niche2","guardcell_length_um","average_guardcell_width_um","stomatal_size"
"diplazium_striatastrum","1","terrestrial",0.0385714285714286,0.00871428571428571,0.000677428571428571
"diplazium_striatastrum","2","terrestrial",0.048375,0.01,0.0009715
"diplazium_striatastrum","3","terrestrial",0.0474444444444444,0.00977777777777778,0.000925333333333333
"diplazium_striatastrum","4","terrestrial",0.0488888888888889,0.0105555555555556,0.00102755555555556
"diplazium_striatastrum","5","terrestrial",0.047,0.0115555555555556,0.00108888888888889
"diplazium_striatastrum","6","terrestrial",0.0483333333333333,0.0106666666666667,0.00103133333333333
"dryopteris_patula","1","epiphyte",0.045125,0.012125,0.00109525
"dryopteris_patula","2","epiphyte",0.044375,0.013875,0.00123175
"dryopteris_patula","3","epiphyte",0.044875,0.013375,0.00119925
"dryopteris_patula","4","epiphyte",0.047875,0.01125,0.00107975
"dryopteris_patula","5","epiphyte",0.04345,0.01,0.00087011
"dryopteris_patula","6","epiphyte",0.04375,0.012625,0.0011065
"elaphoglossum_decursivum","1","epiphyte",0.046125,0.01375,0.00126425
"elaphoglossum_decursivum","2","epiphyte",0.04775,0.013875,0.0013255
"elaphoglossum_decursivum","3","epiphyte",0.049125,0.014625,0.00143475
"elaphoglossum_decursivum","4","epiphyte",0.045,0.01325,0.001191
"elaphoglossum_decursivum","5","epiphyte",0.0486666666666667,0.0131666666666667,0.00128233333333333
"elaphoglossum_decursivum","6","epiphyte",0.045,0.0124,0.0011168
"elaphoglossum_herminieri","1","epiphyte",0.0525,0.01825,0.001916
"elaphoglossum_herminieri","2","epiphyte",0.04925,0.019,0.0018775
"elaphoglossum_herminieri","3","epiphyte",0.05225,0.01675,0.0017525
"elaphoglossum_herminieri","4","epiphyte",0.04675,0.017375,0.0016245
"elaphoglossum_herminieri","5","epiphyte",0.0471666666666667,0.0173333333333333,0.001625
"elaphoglossum_herminieri","6","epiphyte",0.04725,0.015,0.001441
"elaphoglossum_latifolium","1","epiphyte",0.048975,0.01325,0.00130866
"elaphoglossum_latifolium","2","epiphyte",0.05165,0.015875,0.00164023
"elaphoglossum_latifolium","3","epiphyte",0.052575,0.01345,0.001412865
"elaphoglossum_latifolium","4","epiphyte",0.046425,0.011825,0.001098055
"elaphoglossum_latifolium","5","epiphyte",0.05098,0.01514,0.001538324
"elaphoglossum_latifolium","6","epiphyte",0.0465333333333333,0.0123,0.00114406666666667
"goniopteris_curta","1","terrestrial",0.0425,0.00775,0.00065575
"goniopteris_curta","2","terrestrial",0.04575,0.008875,0.0008125
"goniopteris_curta","3","terrestrial",0.0464444444444444,0.00933333333333333,0.000867777777777778
"goniopteris_curta","4","terrestrial",0.045,0.007875,0.00070975
"goniopteris_curta","5","terrestrial",0.044625,0.008125,0.0007325
"goniopteris_curta","6","terrestrial",0.0464444444444444,0.00933333333333333,0.000869333333333333
"goniopteris_nicaraguensis","1","terrestrial",0.0414444444444444,0.00855555555555556,0.000711111111111111
"goniopteris_nicaraguensis","2","terrestrial",0.0426666666666667,0.009,0.000768
"goniopteris_nicaraguensis","3","terrestrial",0.0391111111111111,0.00711111111111111,0.000556
"goniopteris_nicaraguensis","4","terrestrial",0.0403333333333333,0.008,0.000650222222222222
"goniopteris_nicaraguensis","5","terrestrial",0.0425555555555556,0.00777777777777778,0.000662666666666667
"goniopteris_nicaraguensis","6","terrestrial",0.0392222222222222,0.00888888888888889,0.000698444444444444
"lomariopsis_japurensis","1","hemi-epiphyte",0.0514444444444444,0.0126666666666667,0.0013
"lomariopsis_japurensis","2","hemi-epiphyte",0.0557777777777778,0.0143333333333333,0.00160066666666667
"lomariopsis_japurensis","3","hemi-epiphyte",0.0501111111111111,0.0141111111111111,0.00141533333333333
"lomariopsis_japurensis","4","hemi-epiphyte",0.0434444444444444,0.0132222222222222,0.00115044444444444
