"site","species","date","plant_no","frond_length_cm","stipe_length_cm","lamina_area_cm2","lamina_length_cm","chl_mg_m2","cfr","niche","genusspecies","group"
"la_selva","christella_dentata",2017-07-10,6,87.4,34,405.2,53.4,414,1.27,"terrestrial","theden","E2"
"la_selva","cyclopeltis_semicordata",2017-08-10,1,124.9,20,746,104.9,617,1.59,"terrestrial","cycsem","E1"
"la_selva","cyclopeltis_semicordata",2017-08-10,2,117.6,19.1,866,98.5,427,1.29,"terrestrial","cycsem","E1"
"la_selva","cyclopeltis_semicordata",2017-08-10,3,113.2,14.5,828,98.7,395,1.24,"terrestrial","cycsem","E1"
"la_selva","cyclopeltis_semicordata",2017-08-10,4,110.8,24.9,824,85.9,427,1.29,"terrestrial","cycsem","E1"
"la_selva","cyclopeltis_semicordata",2017-08-10,5,118.1,19.5,857,98.6,357,1.18,"terrestrial","cycsem","E1"
"la_selva","cyclopeltis_semicordata",2017-08-10,6,98.5,18.9,685,79.6,395,1.31,"terrestrial","cycsem","E1"
"la_selva","cyclopeltis_semicordata",2017-08-10,7,73.6,10.1,524,63.5,439,1.19,"terrestrial","cycsem","E1"
"la_selva","cyclopeltis_semicordata",2017-08-10,8,107.7,9.6,882,98.1,363,1.19,"terrestrial","cycsem","E1"
"la_selva","diplazium_striatastrum",2017-07-10,1,114.4,23.4,80,91,452,1.33,"terrestrial","dipstr","E2"
"la_selva","diplazium_striatastrum",2017-07-10,2,101.5,17.5,48,84,490,1.39,"terrestrial","dipstr","E2"
"la_selva","diplazium_striatastrum",2017-07-10,3,100.5,23.5,93,77,465,1.35,"terrestrial","dipstr","E2"
"la_selva","diplazium_striatastrum",2017-07-10,4,100,21,60,79,458,1.34,"terrestrial","dipstr","E2"
"la_selva","diplazium_striatastrum",2017-07-10,5,94,20,60,74,496,1.4,"terrestrial","dipstr","E2"
"la_selva","diplazium_striatastrum",2017-07-10,6,94,21,85,73,451,1.47,"terrestrial","dipstr","E2"
"la_selva","elaphoglossum_amygdalifolium",2017-07-20,1,19.9,4,28.6,15.9,547,1.48,"hemi-epiphyte","elaamy","E1"
"la_selva","elaphoglossum_amygdalifolium",2017-07-20,2,22.3,1.8,36.2,20.5,262,1.03,"hemi-epiphyte","elaamy","E1"
"la_selva","elaphoglossum_amygdalifolium",2017-07-20,3,17.7,2.9,25.1,14.8,541,1.47,"hemi-epiphyte","elaamy","E1"
"la_selva","elaphoglossum_amygdalifolium",2017-07-20,4,19.6,4.8,23.9,14.8,503,1.41,"hemi-epiphyte","elaamy","E1"
"la_selva","elaphoglossum_amygdalifolium",2017-07-20,5,14,1,23.5,13,547,1.48,"hemi-epiphyte","elaamy","E1"
"la_selva","elaphoglossum_amygdalifolium",2017-07-20,6,16.8,1.3,22.5,15.5,579,1.53,"hemi-epiphyte","elaamy","E1"
"la_selva","elaphoglossum_herminieri",2017-07-19,1,48.7,0,88.6,48.7,953,2.12,"epiphyte","elaher","E1"
"la_selva","elaphoglossum_herminieri",2017-07-19,2,35.5,0,54.6,35.5,541,1.47,"epiphyte","elaher","E1"
"la_selva","elaphoglossum_herminieri",2017-07-19,3,29,0,48.3,29,877,2,"epiphyte","elaher","E1"
"la_selva","elaphoglossum_herminieri",2017-07-19,4,51,0,92.6,51,344,1.16,"epiphyte","elaher","E1"
"la_selva","elaphoglossum_herminieri",2017-07-19,5,36.8,0,103.2,36.8,921,2.07,"epiphyte","elaher","E1"
"la_selva","elaphoglossum_herminieri",2017-07-19,6,61.8,0,118.6,61.8,750,1.8,"epiphyte","elaher","E1"
"la_selva","elaphoglossum_latifolium",2017-07-18,1,23.6,2.4,54.8,21.2,325,1.13,"epiphyte","elalat","E1"
"la_selva","elaphoglossum_latifolium",2017-07-18,2,24.7,3.4,84.6,21.3,389,1.23,"epiphyte","elalat","E1"
"la_selva","elaphoglossum_latifolium",2017-07-18,3,24.2,5.7,54.2,18.5,661,1.66,"epiphyte","elalat","E1"
"la_selva","elaphoglossum_latifolium",2017-07-18,4,26.4,5.3,52.5,21.1,553,1.49,"epiphyte","elalat","E1"
"la_selva","elaphoglossum_latifolium",2017-07-18,5,24.9,8.5,92.1,16.4,458,1.34,"epiphyte","elalat","E1"
"la_selva","elaphoglossum_latifolium",2017-07-18,6,36.8,10,63.8,26.8,376,1.21,"epiphyte","elalat","E1"
"la_selva","goniopteris_curta",2017-07-06,1,104.5,24.5,757.2,80,427,1.29,"terrestrial","thecur","E2"
"la_selva","goniopteris_curta",2017-07-06,2,102,30.5,564.9,71.5,376,1.21,"terrestrial","thecur","E2"
"la_selva","goniopteris_curta",2017-07-06,3,94,26,357.1,68,389,1.23,"terrestrial","thecur","E2"
"la_selva","goniopteris_curta",2017-07-06,4,105,26.5,701.8,78.5,560,1.5,"terrestrial","thecur","E2"
"la_selva","goniopteris_curta",2017-07-06,5,94,51.5,391.5,42.5,608,1.26,"terrestrial","thecur","E2"
"la_selva","goniopteris_curta",2017-07-06,6,89,33,391.3,56,484,1.38,"terrestrial","thecur","E2"
"la_selva","goniopteris_nicaraguensis",2017-07-14,1,79,48,344.5,31,687,1.7,"terrestrial","thenic","E2"
"la_selva","goniopteris_nicaraguensis",2017-07-14,2,87,45,597.2,42,712,1.74,"terrestrial","thenic","E2"
"la_selva","goniopteris_nicaraguensis",2017-07-14,3,117,63,683.9,54,693,1.71,"terrestrial","thenic","E2"
"la_selva","goniopteris_nicaraguensis",2017-07-14,4,56,30.5,375.1,25.5,744,1.79,"terrestrial","thenic","E2"
"la_selva","goniopteris_nicaraguensis",2017-07-14,5,119,68,501.9,51,731,1.77,"terrestrial","thenic","E2"
"la_selva","goniopteris_nicaraguensis",2017-07-14,6,73,37,665.4,36,547,1.48,"terrestrial","thenic","E2"
"la_selva","lomariopsis_japurensis",2017-07-10,1,68,5.5,673.7,62.5,427,1.29,"hemi-epiphyte","lomjap","E1"
"la_selva","lomariopsis_japurensis",2017-07-10,2,100,6.5,1102.8,93.5,642,1.63,"hemi-epiphyte","lomjap","E1"
"la_selva","lomariopsis_japurensis",2017-07-10,3,98.9,3.5,1261,95.4,452,1.33,"hemi-epiphyte","lomjap","E1"
"la_selva","lomariopsis_japurensis",2017-07-10,4,111.7,8.5,1186.8,103.2,389,1.23,"hemi-epiphyte","lomjap","E1"
"la_selva","lomariopsis_japurensis",2017-07-10,5,82.9,19.5,692.5,63.4,655,1.65,"hemi-epiphyte","lomjap","E1"
"la_selva","lomariopsis_japurensis",2017-07-10,6,83.6,6.5,981.9,77.1,439,1.31,"hemi-epiphyte","lomjap","E1"
"la_selva","mickelia_nicotianifolia",2017-07-10,1,55.4,16.7,347,38.7,649,1.64,"climber","micnic","E1"
"la_selva","mickelia_nicotianifolia",2017-07-10,2,64.1,19.1,510.3,45,541,1.47,"climber","micnic","E1"
"la_selva","mickelia_nicotianifolia",2017-07-10,3,54.3,22.4,220.6,31.9,534,1.46,"climber","micnic","E1"
"la_selva","mickelia_nicotianifolia",2017-07-10,4,62.8,17.5,433.7,45.3,262,1.03,"climber","micnic","E1"
"la_selva","mickelia_nicotianifolia",2017-07-10,5,52.2,13.4,342.5,38.8,572,1.52,"climber","micnic","E1"
"la_selva","mickelia_nicotianifolia",2017-07-10,6,56.1,13.8,382.7,42.3,243,1,"climber","micnic","E1"
"la_selva","nephrolepis_biserrata",2017-07-20,1,149.1,21.1,1091.4,128,446,1.32,"terrestrial","nepbis","E1"
"la_selva","nephrolepis_biserrata",2017-07-20,2,134,28.5,908.8,105.5,401,1.25,"terrestrial","nepbis","E1"
"la_selva","nephrolepis_biserrata",2017-07-20,3,93.2,13.6,603.9,79.6,370,1.2,"terrestrial","nepbis","E1"
"la_selva","nephrolepis_biserrata",2017-07-20,6,86,11,517.3,75,344,1.1,"terrestrial","nepbis","E1"
"la_selva","nephrolepis_biserrata",2017-07-20,8,90.5,17.1,712.6,73.4,376,1.16,"terrestrial","nepbis","E1"
"la_selva","nephrolepis_biserrata",2017-07-20,9,67.7,11.7,435.4,56,433,1.2,"terrestrial","nepbis","E1"
"la_selva","nephrolepis_rivularis",2017-07-20,1,40,4.5,643.5,35.5,427,1.29,"terrestrial","nepriv","E1"
"la_selva","nephrolepis_rivularis",2017-07-20,2,44.2,6.3,104.6,37.9,477,1.37,"terrestrial","nepriv","E1"
"la_selva","nephrolepis_rivularis",2017-07-20,3,46,4,110.9,42,427,1.29,"terrestrial","nepriv","E1"
"la_selva","nephrolepis_rivularis",2017-07-20,4,52.5,10.5,138.4,42,351,1.17,"terrestrial","nepriv","E1"
"la_selva","nephrolepis_rivularis",2017-07-20,5,45.7,8.8,111.4,36.9,370,1.2,"terrestrial","nepriv","E1"
"la_selva","nephrolepis_rivularis",2017-07-20,6,48.1,5.5,118.1,42.6,287,1.07,"terrestrial","nepriv","E1"
"la_selva","oleandra_articulata",2017-07-19,1,41,10,108,31,496,1.4,"epiphyte","oleart","E1"
"la_selva","oleandra_articulata",2017-07-19,3,51.5,11.2,128,40.3,357,1.18,"epiphyte","oleart","E1"
"la_selva","oleandra_articulata",2017-07-19,5,50.3,8.5,117,41.8,236,0.99,"epiphyte","oleart","E1"
"la_selva","oleandra_articulata",2017-07-19,6,42.8,9.8,87,33,300,1.09,"epiphyte","oleart","E1"
"la_selva","oleandra_articulata",2017-07-19,7,46.5,11.5,69,35,382,1.22,"epiphyte","oleart","E1"
"la_selva","oleandra_articulata",2017-07-19,8,32.7,11,65,21.7,268,1.04,"epiphyte","oleart","E1"
"la_selva","pecluma_pectinata",2017-07-18,1,27,4,57,23,300,1.09,"epiphyte","pecpec","E1"
"la_selva","pecluma_pectinata",2017-07-18,2,45.9,7.5,108.3,38.4,351,1.17,"epiphyte","pecpec","E1"
"la_selva","pecluma_pectinata",2017-07-18,3,67.8,10.5,220.3,57.3,503,1.41,"epiphyte","pecpec","E1"
"la_selva","pecluma_pectinata",2017-07-18,4,43.3,4.8,97.3,38.5,490,1.39,"epiphyte","pecpec","E1"
"la_selva","pecluma_pectinata",2017-07-18,5,49.6,5.5,161.7,44.1,338,1.15,"epiphyte","pecpec","E1"
"la_selva","pecluma_pectinata",2017-07-18,6,61.5,8.5,111,53,376,1.21,"epiphyte","pecpec","E1"
"la_selva","pecluma_pectinata",2017-07-18,10,38,6,42.2,32,NA,NA,"epiphyte","pecpec","E1"
"la_selva","phlebodium_aureum",2017-07-04,1,91.5,41.5,995.77,50,281,1.06,"epiphyte","phlaur","E1"
"la_selva","phlebodium_aureum",2017-07-04,2,64.7,31.3,403.8,33.4,332,1.14,"epiphyte","phlaur","E1"
"la_selva","phlebodium_aureum",2017-07-04,3,73.8,40.1,133.1,33.7,268,1.04,"epiphyte","phlaur","E1"
"la_selva","phlebodium_aureum",2017-07-04,4,64.3,36.9,282.9,27.4,477,1.37,"epiphyte","phlaur","E1"
"la_selva","phlebodium_aureum",2017-07-04,5,123.5,49.2,1174.2,74.3,332,1.14,"epiphyte","phlaur","E1"
"la_selva","phlebodium_aureum",2017-07-04,6,97.5,28.5,1106.6,69,363,1.19,"epiphyte","phlaur","E1"
"la_selva","phlebodium_aureum",2017-07-04,7,104.5,40.4,755.3,64.1,NA,NA,"epiphyte","phlaur","E1"
"la_selva","phlebodium_aureum",2017-07-04,8,98.2,48.4,707.1,49.8,NA,NA,"epiphyte","phlaur","E1"
"la_selva","pleopeltis_bradeorum",2017-07-20,1,36,9.2,99.4,26.8,680,1.09,"hemi-epiphyte","plebra","E1"
"la_selva","pleopeltis_bradeorum",2017-07-20,2,43.6,14.5,146,29.1,636,1.62,"hemi-epiphyte","plebra","E1"
"la_selva","pleopeltis_bradeorum",2017-07-20,3,39.4,12.5,109,26.9,585,1.54,"hemi-epiphyte","plebra","E1"
"la_selva","pleopeltis_bradeorum",2017-07-20,4,46,14.8,141,31.2,668,1.67,"hemi-epiphyte","plebra","E1"
"la_selva","pleopeltis_bradeorum",2017-07-20,5,31.1,10.6,137,20.5,642,1.63,"hemi-epiphyte","plebra","E1"
"la_selva","pleopeltis_bradeorum",2017-07-20,6,24.4,6,61,18.4,332,1.14,"hemi-epiphyte","plebra","E1"
"la_selva","polybotrya_osmundacea",2017-07-08,1,99,19.2,1519.7,79.8,534,1.46,"climber","polosm","E1"
"la_selva","polybotrya_osmundacea",2017-07-08,2,110,31.4,1314.8,78.6,617,1.59,"climber","polosm","E1"
"la_selva","polybotrya_osmundacea",2017-07-08,3,95.1,24.4,1075.7,70.7,604,1.57,"climber","polosm","E1"
"la_selva","polybotrya_osmundacea",2017-07-08,4,92.7,27.5,1292.2,65.2,541,1.57,"climber","polosm","E1"
"la_selva","polybotrya_osmundacea",2017-07-08,5,97.4,37.7,1002.6,59.7,572,1.47,"climber","polosm","E1"
"la_selva","polybotrya_osmundacea",2017-07-08,6,89.7,20.6,1073.3,69.1,553,1.49,"climber","polosm","E1"
"la_selva","salpichlaena_volubilis",2017-07-11,1,81,45,468,36,477,1.37,"terrestrial","salvol","E2"
"la_selva","salpichlaena_volubilis",2017-07-11,2,63,24,576,39,579,1.53,"terrestrial","salvol","E2"
"la_selva","salpichlaena_volubilis",2017-07-11,3,60,30,370,30,649,1.64,"terrestrial","salvol","E2"
"la_selva","salpichlaena_volubilis",2017-07-11,4,58,23,460,35,496,1.4,"terrestrial","salvol","E2"
"la_selva","salpichlaena_volubilis",2017-07-11,5,NA,NA,429,NA,528,1.45,"terrestrial","salvol","E2"
"la_selva","salpichlaena_volubilis",2017-07-11,6,NA,NA,408,NA,465,1.35,"terrestrial","salvol","E2"
"la_selva","serpocaulon_loriciforme",2017-07-08,3,45.5,4.7,172.7,40.8,243,1,"epiphyte","serlor","E1"
"la_selva","serpocaulon_loriciforme",2017-07-08,4,63.6,8.6,154.5,55,294,1.08,"epiphyte","serlor","E1"
"la_selva","serpocaulon_loriciforme",2017-07-08,6,56.6,9.9,274.6,46.7,338,1.15,"epiphyte","serlor","E1"
"la_selva","serpocaulon_loriciforme",2017-07-08,9,53.5,7.3,225.8,46.2,224,0.97,"epiphyte","serlor","E1"
"la_selva","serpocaulon_loriciforme",2017-07-08,10,63,9.2,192.8,53.8,281,1.06,"epiphyte","serlor","E1"
"la_selva","serpocaulon_loriciforme",2017-07-08,12,55.5,6.4,190.7,49.1,313,1.11,"epiphyte","serlor","E1"
"la_selva","tectaria_incisa",2017-08-13,1,69,32,571.2,37,243,1,"terrestrial","tecinc","E1"
"la_selva","tectaria_incisa",2017-08-13,2,107,43,763.4,64,230,0.98,"terrestrial","tecinc","E1"
"la_selva","tectaria_incisa",2017-08-13,3,91,37,876.2,54,217,0.96,"terrestrial","tecinc","E1"
"la_selva","tectaria_incisa",2017-08-13,4,91,45,681.5,46,414,1.27,"terrestrial","tecinc","E1"
"la_selva","tectaria_incisa",2017-08-13,5,90,33,910,57,255,1.02,"terrestrial","tecinc","E1"
"la_selva","tectaria_incisa",2017-08-13,6,71,30,400.2,41,465,1.35,"terrestrial","tecinc","E1"
"las_cruces","asplenium_uniseriale",2018-07-13,1,34.3,12.3,60.94,22,331.333333333333,1.14,"terrestrial","aspuni","E2"
"las_cruces","asplenium_uniseriale",2018-07-13,2,60.5,17.6,96.88,42.9,365.333333333333,1.19333333333333,"terrestrial","aspuni","E2"
"las_cruces","asplenium_uniseriale",2018-07-13,3,77.8,17.7,152.18,60.1,310.666666666667,1.10666666666667,"terrestrial","aspuni","E2"
"las_cruces","asplenium_uniseriale",2018-07-13,4,35.5,12.7,60.7,22.8,208.666666666667,0.946666666666667,"terrestrial","aspuni","E2"
"las_cruces","asplenium_uniseriale",2018-07-13,5,30.8,13.4,92.51,17.4,329.333333333333,1.17333333333333,"terrestrial","aspuni","E2"
"las_cruces","asplenium_uniseriale",2018-07-13,6,39,11.3,67.53,27.7,325,1.13,"terrestrial","aspuni","E2"
"las_cruces","asplenium_uniseriale",2018-07-13,7,33,10.9,65.46,22.1,NA,NA,"terrestrial","aspuni","E2"
"las_cruces","diplazium_atirrense",2018-07-12,1,142.4,42.3,1403.1,100.1,773,1.83666666666667,"terrestrial","dipati","E2"
"las_cruces","diplazium_atirrense",2018-07-12,2,110.5,34.6,1986.9,75.9,834.666666666667,1.93333333333333,"terrestrial","dipati","E2"
"las_cruces","diplazium_atirrense",2018-07-12,3,69.4,20,1043.5,49.4,433,1.3,"terrestrial","dipati","E2"
"las_cruces","diplazium_atirrense",2018-07-12,4,54.9,16.3,616.24,38.6,684.333333333333,1.69666666666667,"terrestrial","dipati","E2"
"las_cruces","diplazium_atirrense",2018-07-12,5,58.2,12.7,591.31,45.5,655,1.65,"terrestrial","dipati","E2"
"las_cruces","diplazium_atirrense",2018-07-12,6,49,13.9,370.8,35.1,720.333333333333,1.75333333333333,"terrestrial","dipati","E2"
"las_cruces","diplazium_prominulum",2018-07-08,1,72.9,31.3,345,41.6,439.333333333333,1.31,"terrestrial","dippro","E2"
"las_cruces","diplazium_prominulum",2018-07-08,2,63.9,25.5,286.5,38.4,443.333333333333,1.31666666666667,"terrestrial","dippro","E2"
"las_cruces","diplazium_prominulum",2018-07-08,3,85.9,30.3,545.1,55.6,401.333333333333,1.25,"terrestrial","dippro","E2"
"las_cruces","diplazium_prominulum",2018-07-08,4,53.8,24,226.2,29.8,532,35.6566666666667,"terrestrial","dippro","E2"
"las_cruces","diplazium_prominulum",2018-07-08,5,58,25.2,277.6,32.8,515.333333333333,1.43,"terrestrial","dippro","E2"
"las_cruces","diplazium_prominulum",2018-07-08,6,53.7,15.4,329.6,38.3,515.333333333333,1.43,"terrestrial","dippro","E2"
"las_cruces","diplazium_prominulum",2018-07-08,7,47.7,21.5,183.5,26.2,331.666666666667,1.14,"terrestrial","dippro","E2"
"las_cruces","dryopteris_patula",2018-07-10,1,104.4,19.3,902.89,85.1,145.666666666667,0.846666666666667,"epiphyte","drypat","E1"
"las_cruces","dryopteris_patula",2018-07-10,2,104.9,28.2,809.92,76.7,401.333333333333,1.25,"epiphyte","drypat","E1"
"las_cruces","dryopteris_patula",2018-07-10,3,85.7,18,526.75,67.7,315,1.11333333333333,"epiphyte","drypat","E1"
"las_cruces","dryopteris_patula",2018-07-10,4,66,14.3,459.44,51.7,369.666666666667,1.2,"epiphyte","drypat","E1"
"las_cruces","dryopteris_patula",2018-07-10,5,67.9,19,451.57,48.9,211,0.95,"epiphyte","drypat","E1"
"las_cruces","dryopteris_patula",2018-07-10,6,60.8,16.3,312.13,44.5,363.333333333333,1.19,"epiphyte","drypat","E1"
"las_cruces","elaphoglossum_decursivum",2018-07-14,1,90.7,12.6,221.22,78.1,473.333333333333,1.36333333333333,"epiphyte","eladec","E1"
"las_cruces","elaphoglossum_decursivum",2018-07-14,2,90.6,12.4,251.78,78.2,295.666666666667,1.08333333333333,"epiphyte","eladec","E1"
"las_cruces","elaphoglossum_decursivum",2018-07-14,3,78.8,7.5,193.19,71.3,271.333333333333,0.926666666666667,"epiphyte","eladec","E1"
"las_cruces","elaphoglossum_decursivum",2018-07-14,4,70.9,9.4,133.82,61.5,564,1.50666666666667,"epiphyte","eladec","E1"
"las_cruces","elaphoglossum_decursivum",2018-07-14,5,79.5,7.4,233.5,72.1,644.333333333333,1.63333333333333,"epiphyte","eladec","E1"
"las_cruces","elaphoglossum_decursivum",2018-07-14,6,74.5,5.5,224.52,69,395,1.24,"epiphyte","eladec","E1"
"las_cruces","lomariopsis_maxonii",2018-07-17,1,67.6,19.7,568.4,47.9,798.666666666667,1.87666666666667,"hemi-epiphyte","lommax","E1"
"las_cruces","lomariopsis_maxonii",2018-07-17,2,81,18.3,397.19,62.7,792.333333333333,1.86666666666667,"hemi-epiphyte","lommax","E1"
"las_cruces","lomariopsis_maxonii",2018-07-17,3,75.5,13.5,507.2,62,784,1.85333333333333,"hemi-epiphyte","lommax","E1"
"las_cruces","lomariopsis_maxonii",2018-07-17,4,68.2,13.1,569.43,55.1,399,1.24666666666667,"hemi-epiphyte","lommax","E1"
"las_cruces","lomariopsis_maxonii",2018-07-17,5,75,16.1,509.1,58.9,365.666666666667,1.19333333333333,"hemi-epiphyte","lommax","E1"
"las_cruces","lomariopsis_maxonii",2018-07-17,6,60.2,11.8,264.1,48.4,411.666666666667,1.26666666666667,"hemi-epiphyte","lommax","E1"
"las_cruces","lomariopsis_maxonii",2018-07-17,7,58,15.7,360.82,42.3,NA,NA,"hemi-epiphyte","lommax","E1"
"las_cruces","nephrolepis_brownii",2018-07-09,1,102.9,28.2,509.12,74.7,361.333333333333,1.15333333333333,"terrestrial","nepbro","E1"
"las_cruces","nephrolepis_brownii",2018-07-09,2,146.8,45,950.11,101.8,338,1.15,"terrestrial","nepbro","E1"
"las_cruces","nephrolepis_brownii",2018-07-09,3,238.9,57.2,2448.4,181.7,348.333333333333,1.16666666666667,"terrestrial","nepbro","E1"
"las_cruces","nephrolepis_brownii",2018-07-09,4,165.5,42,1597.96,123.5,564,1.50333333333333,"terrestrial","nepbro","E1"
"las_cruces","nephrolepis_brownii",2018-07-09,5,171.7,37,1782.6,134.7,422.333333333333,1.28333333333333,"terrestrial","nepbro","E1"
"las_cruces","nephrolepis_brownii",2018-07-09,6,193.7,37.4,1958.57,156.3,359,1.18333333333333,"terrestrial","nepbro","E1"
"las_cruces","nephrolepis_brownii",2018-07-09,7,167.6,40.7,1762.99,126.9,462.666666666667,1.33,"terrestrial","nepbro","E1"
"las_cruces","nephrolepis_brownii",2018-07-09,9,NA,NA,684.75,NA,NA,NA,"terrestrial","nepbro","E1"
"las_cruces","nephrolepis_brownii",2018-07-09,10,NA,NA,463.96,NA,NA,NA,"terrestrial","nepbro","E1"
"las_cruces","niphidium_crassifolium",2018-07-11,1,58,4.8,242.41,53.2,354.666666666667,1.17666666666667,"epiphyte","nipcra","E1"
"las_cruces","niphidium_crassifolium",2018-07-11,2,55.7,4.4,169.71,51.3,374,1.20666666666667,"epiphyte","nipcra","E1"
"las_cruces","niphidium_crassifolium",2018-07-11,3,41.5,1.5,190.1,40,513.333333333333,1.42666666666667,"epiphyte","nipcra","E1"
"las_cruces","niphidium_crassifolium",2018-07-11,4,76.4,3.6,342.51,72.8,458.333333333333,1.34,"epiphyte","nipcra","E1"
"las_cruces","niphidium_crassifolium",2018-07-11,5,56.3,1.3,405.23,55,422.333333333333,1.28333333333333,"epiphyte","nipcra","E1"
"las_cruces","niphidium_crassifolium",2018-07-11,6,78,1.3,1129.83,76.7,392.666666666667,1.23666666666667,"epiphyte","nipcra","E1"
"las_cruces","niphidium_crassifolium",2018-07-11,7,39.1,0,134.86,39.1,653,1.64666666666667,"epiphyte","nipcra","E1"
"las_cruces","oleandra_costaricensis",2018-07-18,1,25.2,2,64.08,23.2,308.666666666667,1.13,"terrestrial","olecos","E1"
"las_cruces","oleandra_costaricensis",2018-07-18,2,19.9,0.9,35.28,19,429,1.30333333333333,"terrestrial","olecos","E1"
"las_cruces","oleandra_costaricensis",2018-07-18,3,18.8,1,27.36,17.8,384.333333333333,1.22333333333333,"terrestrial","olecos","E1"
"las_cruces","oleandra_costaricensis",2018-07-18,4,22.9,1.2,31.31,21.7,270.333333333333,1.04333333333333,"terrestrial","olecos","E1"
"las_cruces","oleandra_costaricensis",2018-07-18,5,26.9,1.8,66.8,25.1,312.333333333333,1.11,"terrestrial","olecos","E1"
"las_cruces","oleandra_costaricensis",2018-07-18,6,21.9,1.9,38.5,20,361.333333333333,1.18666666666667,"terrestrial","olecos","E1"
"las_cruces","oleandra_costaricensis",2018-07-18,7,18.9,1.4,40.44,17.5,NA,NA,"terrestrial","olecos","E1"
"las_cruces","oleandra_costaricensis",2018-07-18,8,16.9,0.9,23.37,16,NA,NA,"terrestrial","olecos","E1"
"las_cruces","olfersia_cervina",2018-07-15,1,146.8,74.3,2121.5,72.5,712,1.74,"terrestrial","olfcer","E1"
