site,species,plant_no,genusspecies,niche,group,niche2,lamina_area_cm2,date,frond_length_cm,stipe_length_cm,lamina_length_cm,chl_mg_m2,cfr,year,xylem_area_um2,lamina_area_mm2,xylem_area_mm2,huber,stomatal_length_um,average_guardcell_width_um,stomatal_size,sd_mm2,dry_mass,lamina_area,SWC,osmotic_potential,waterpot_tlp,rwc_tlp,elasticity,capacitance_full,capacitance_zero.,capacitance_absolute,dry_mass_g,sla_cm2g,d13C,d15N,c_perc,n_perc
la_selva,elaphoglossum_amygdalifolium,3,elaamy,hemi-epiphyte,E1,hemi-epiphyte,25.1,7/20/2017,17.7,2.9,14.8,541,1.47,2017,2288,2510,0.002288,9.12E-07,NA,NA,NA,11.64686699,0.1358,25.1,3.083156583,-1.051913589,-1.526241972,97.2551074,33.08819631,0.019338285,0.029916874,0.179211994,0.0048,104.1666667,-35.13,0.77,37.87741752,2.08589306
la_selva,elaphoglossum_amygdalifolium,4,elaamy,hemi-epiphyte,E1,hemi-epiphyte,23.9,7/20/2017,19.6,4.8,14.8,503,1.41,2017,2259,2390,0.002259,9.45E-07,NA,NA,NA,9.503843466,0.0669,23.9,6.621645143,-1.002767732,-1.050509138,97.31639267,36.98280023,0.02579701,0.451697827,0.26563848,0.0057,87.71929825,-34.74,-0.32,40.19833795,2.693628809
la_selva,elaphoglossum_amygdalifolium,5,elaamy,hemi-epiphyte,E1,hemi-epiphyte,23.5,7/20/2017,14,1,13,547,1.48,2017,2230,2350,0.00223,9.49E-07,NA,NA,NA,6.755182856,0.0801,23.5,5.811190029,-1.265204161,-1.332952113,96.76109813,37.1876258,0.025465276,0.365140307,0.280224186,0.0046,108.6956522,-37.22,1.03,38.6593936,2.65202607
la_selva,elaphoglossum_amygdalifolium,6,elaamy,hemi-epiphyte,E1,hemi-epiphyte,22.5,7/20/2017,16.8,1.3,15.5,579,1.53,2017,3326,2250,0.003326,1.48E-06,NA,NA,NA,7.686932215,0.0737,22.5,5.296258608,-1.363715388,-1.447646049,96.53264885,32.40721315,0.028848432,0.34952239,0.278037807,0.0049,102.0408163,-36.35,1.16,36.82419089,2.667032364
la_selva,elaphoglossum_herminieri,1,elaher,epiphyte,E1,epiphyte,88.6,7/19/2017,48.7,0,48.7,953,2.12,2017,25482,8860,0.025482,2.88E-06,52.5,17.5,1840,24.22548334,0.3156,88.6,2.352782217,-0.651778505,-0.797113233,98.21718666,36.41891694,0.02241098,0.048177391,0.104345409,0.0195,25.64102564,-32.85,0.34,39.95742265,1.019017882
la_selva,elaphoglossum_herminieri,2,elaher,epiphyte,E1,epiphyte,54.6,7/19/2017,35.5,0,35.5,541,1.47,2017,45804,5460,0.045804,8.39E-06,49.25,19,1877.5,31.44654088,0.2715,54.6,4.004232979,-0.753121093,-0.926894251,95.73662461,18.63032654,0.043749716,0.116669344,0.483948626,0.0176,28.40909091,-32.03,0.92,41.82064913,1.259373251
la_selva,elaphoglossum_herminieri,3,elaher,epiphyte,E1,epiphyte,48.3,7/19/2017,29,0,29,877,2,2017,22970,4830,0.02297,4.76E-06,52.25,16.5,1724,26.55485674,0.3864,48.3,2.84157652,-0.638232151,-0.884595624,97.55140888,26.70672164,0.026904726,0.041772811,0.339785945,0.0259,19.30501931,-31.51,0.22,43.86460613,0.745623632
la_selva,elaphoglossum_herminieri,4,elaher,epiphyte,E1,epiphyte,92.6,7/19/2017,51,0,51,344,1.16,2017,32962,9260,0.032962,3.56E-06,46.75,17.4375,1630.75,31.77265316,0.3232,92.6,3.248741251,-0.684121959,-0.930585138,96.15923712,14.80866027,0.046488368,0.084157845,0.671238572,0.0141,35.46099291,-32.37,1.55,41.72460046,1.122146119
la_selva,elaphoglossum_herminieri,5,elaher,epiphyte,E1,epiphyte,103.2,7/19/2017,36.8,0,36.8,921,2.07,2017,20140,10320,0.02014,1.95E-06,47.16666667,17.33333333,1626.833333,27.71954344,0.312,103.2,4.179879838,-0.778266688,-1.17165059,96.3789821,17.66546207,0.034254515,0.042890699,0.240482795,0.0189,26.45502646,-31.41,0.57,41.71801926,1.083631362
la_selva,elaphoglossum_herminieri,6,elaher,epiphyte,E1,epiphyte,118.6,7/19/2017,61.8,0,61.8,750,1.8,2017,60595,11860,0.060595,5.11E-06,47.25,15.375,1473.5,21.56999767,0.3313,118.6,3.305190674,-0.681676452,-0.939967312,97.11329761,23.90657477,0.030372382,0.038815972,0.155790014,0.0203,24.63054187,-32.33,1.01,42.5904866,1.00956807
la_selva,elaphoglossum_latifolium,1,elalat,epiphyte,E1,epiphyte,54.8,7/18/2017,23.6,2.4,21.2,325,1.13,2019,44929,5480,0.044929,8.20E-06,48.975,13.3125,1312.55,32.37829024,0.2629,54.8,2.542047528,-0.77720461,-1.031414893,97.18626749,24.88817219,0.029044171,0.060062023,0.196779645,0.0126,39.68253968,-32.36,0.63,43.56591904,1.710612691
la_selva,elaphoglossum_latifolium,2,elalat,epiphyte,E1,epiphyte,84.6,7/18/2017,24.7,3.4,21.3,389,1.23,2019,26676,8460,0.026676,3.15E-06,51.65,14.9625,1546.42,32.61122758,0.2312,84.6,4.698064702,-0.772172663,-0.941736387,95.68285028,17.38269478,0.046785908,0.164683013,0.333717529,0.0119,42.01680672,-30.44,2.55,42.69403394,2.300218938
la_selva,elaphoglossum_latifolium,3,elalat,epiphyte,E1,epiphyte,54.2,7/18/2017,24.2,5.7,18.5,661,1.66,2019,34552,5420,0.034552,6.37E-06,52.575,14.0625,1477.055,34.94060098,0.4919,54.2,2.71793806,-0.705003074,-0.89049949,98.85906808,54.44645627,0.014263906,0.028262685,0.19547132,0.0194,25.77319588,-32.43,0.34,43.50641901,1.42310844
