species,site,plant_no,dry_mass,lamina_area,SWC,osmotic_potential,waterpot_tlp,rwc_tlp,elasticity,capacitance_full,capacitance_zero.,capacitance_absolute,niche,genusspecies,group
goniopteris_nicaraguensis,la_selva,2,0.5349,597.2,3.514891829,-1.214793393,-1.327658218,92.7496141,15.44583788,0.058636394,0.368459794,0.102555632,terrestrial,thenic,E2
goniopteris_nicaraguensis,la_selva,3,0.5079,683.9,2.753267068,-1.275699439,-1.358,95.13836491,14.68029491,0.060941246,0.335145321,0.069226564,terrestrial,thenic,E2
goniopteris_nicaraguensis,la_selva,4,0.2278,375.1,2.962119809,-1.264454446,-1.340406295,94.44687184,22.26258198,0.042308127,0.511723749,0.042282491,terrestrial,thenic,E2
goniopteris_nicaraguensis,la_selva,6,0.4047,665.4,3.285016332,-1.087293215,-1.136582633,96.43865899,31.30140252,0.030603341,0.501096458,0.033969119,terrestrial,thenic,E2
lomariopsis_japurensis,la_selva,3,0.7404,1261,5.69237602,-0.558911799,-0.817103275,89.72069505,4.691178772,0.136376758,0.228873419,0.253228604,hemi-epiphyte,lomjap,E1
lomariopsis_japurensis,la_selva,4,0.1997,1186.8,6.488579685,-0.68106562,-1.016089719,89.5066694,6.001096135,0.110159029,0.180873298,0.06681866,hemi-epiphyte,lomjap,E1
lomariopsis_japurensis,la_selva,5,0.334,692.5,4.665622541,-0.669696293,-0.999393854,91.47042293,7.657165388,0.085691596,0.145034656,0.107127759,hemi-epiphyte,lomjap,E1
lomariopsis_maxonii,las_cruces,1,0.3177,568.4,4.628516246,-1.047466154,-1.235477976,98.43047049,54.74103181,0.014981101,0.052873276,0.021531593,hemi-epiphyte,lommax,E1
lomariopsis_maxonii,las_cruces,2,0.3418,397.19,4.413719631,-1.20762926,-1.509660782,97.76553358,46.10343259,0.016672326,0.047726356,0.035180513,hemi-epiphyte,lommax,E1
lomariopsis_maxonii,las_cruces,3,0.5104,507.2,3.124873452,-1.231167464,-1.526456383,96.38007849,31.5777766,0.024785763,0.079499828,0.043300572,hemi-epiphyte,lommax,E1
lomariopsis_maxonii,las_cruces,4,0.3977,569.43,3.190029215,-0.707024457,-0.880819165,98.63443168,36.63622526,0.020374551,0.032491571,0.02521886,hemi-epiphyte,lommax,E1
lomariopsis_maxonii,las_cruces,5,0.8375,509.1,2.803384754,-0.957818411,-1.202916762,97.97325038,35.8846924,0.020870593,0.041703051,0.053472035,hemi-epiphyte,lommax,E1
lomariopsis_maxonii,las_cruces,6,0.2928,264.1,4.514210704,-0.376772831,-0.55088575,98.42551749,17.0561985,0.036339883,0.022800704,0.101040507,hemi-epiphyte,lommax,E1
mickelia_nicotianifolia,la_selva,1,0.2635,347,5.690454211,-0.764670856,-0.922809054,96.63642004,20.66349967,0.03915642,0.108101096,0.094000152,climber,micnic,E1
mickelia_nicotianifolia,la_selva,2,0.2448,510.3,6.18014667,-0.955696117,-1.037827927,93.39018368,13.77223927,0.066439671,0.719896324,0.109430806,climber,micnic,E1
mickelia_nicotianifolia,la_selva,3,0.5856,220.6,5.969495284,-0.917245858,-1.065666782,97.49590853,34.30791409,0.024726794,0.117355608,0.21768499,climber,micnic,E1
mickelia_nicotianifolia,la_selva,4,0.2836,433.7,5.617404715,-0.833908832,-0.886606827,98.33682481,45.60484712,0.020480235,0.235869062,0.041794098,climber,micnic,E1
mickelia_nicotianifolia,la_selva,5,0.2527,342.5,4.553274059,-1.158060503,-1.37731786,86.85809743,8.047785004,0.102750085,0.465327035,0.191768885,climber,micnic,E1
mickelia_nicotianifolia,la_selva,6,0.1745,382.7,6.095478073,-0.858252285,-1.030471455,95.55676789,17.89573826,0.045233798,0.186949875,0.069844995,climber,micnic,E1
nephrolepis_biserrata,la_selva,1,0.0948,1091.4,8.954058192,-0.52486556,-0.63895918,87.62497845,3.889585438,0.206552695,0.47560106,0.089248856,terrestrial,nepbis,E1
nephrolepis_biserrata,la_selva,2,0.0802,908.8,7.380919039,-0.592808873,-0.728495536,86.79791442,4.647942912,0.175107048,0.511072935,0.063364734,terrestrial,nepbis,E1
nephrolepis_biserrata,la_selva,3,0.0521,603.9,6.278901779,-0.585390735,-0.646388398,92.37895544,6.773957281,0.131754634,0.868634802,0.039650601,terrestrial,nepbis,E1
nephrolepis_biserrata,la_selva,6,0.1079,517.3,6.633164777,-0.538994716,-0.781651207,88.06535225,3.32075892,0.186600462,0.279092044,0.143429988,terrestrial,nepbis,E1
nephrolepis_biserrata,la_selva,8,0.139,712.6,10.71626433,-0.431308668,-0.478197023,87.8379755,3.437790331,0.261381496,1.570582386,0.303539165,terrestrial,nepbis,E1
nephrolepis_biserrata,la_selva,9,0.1225,435.4,8.902850272,-0.612922642,-0.827491798,83.45871103,3.570017699,0.203406554,0.448072363,0.283053918,terrestrial,nepbis,E1
nephrolepis_brownii,las_cruces,1,0.3045,509.12,8.433477908,-0.303829786,-0.422421851,95.31564241,6.386629808,0.110069835,0.174843512,0.308439267,terrestrial,nepbro,E1
nephrolepis_brownii,las_cruces,2,0.2608,950.11,8.203279136,-0.307811893,-0.440869733,91.27727995,3.096676572,0.212014193,0.310881444,0.265224486,terrestrial,nepbro,E1
nephrolepis_brownii,las_cruces,3,0.2242,2448.4,8.405989522,-0.3005757,-0.359836994,95.72737586,6.379387405,0.12804237,0.378678619,0.054754936,terrestrial,nepbro,E1
nephrolepis_brownii,las_cruces,6,0.2086,1958.57,8.821142643,-0.354286763,-0.404261137,98.13105072,13.35595576,0.063564239,0.115971752,0.033177251,terrestrial,nepbro,E1
nephrolepis_brownii,las_cruces,7,0.2719,1762.99,7.432400665,-0.216083263,-0.256105895,98.01720319,8.372551018,0.096783736,0.137317477,0.061633716,terrestrial,nepbro,E1
nephrolepis_brownii,las_cruces,8,0.177,684.75,10.50374841,-0.493733986,-0.561693239,95.9947864,12.51311417,0.070116139,0.4068564,0.105762334,terrestrial,nepbro,E1
nephrolepis_rivularis,la_selva,1,0.1475,643.5,2.116801373,-0.99193788,-1.227845199,96.56398673,26.43803158,0.029860893,0.099381041,0.008049221,terrestrial,nepriv,E1
nephrolepis_rivularis,la_selva,2,0.1658,104.6,2.454947266,-0.810389087,-0.915831543,96.47931414,22.40103947,0.039281887,0.253827728,0.08492095,terrestrial,nepriv,E1
nephrolepis_rivularis,la_selva,3,0.1177,110.9,2.955573176,-0.692890349,-0.797618184,96.4150607,19.23169314,0.045048077,0.240596954,0.078503747,terrestrial,nepriv,E1
nephrolepis_rivularis,la_selva,4,0.217,138.4,2.203583747,-0.636827585,-0.891246829,97.22327623,20.56884533,0.03333552,0.048617163,0.063986438,terrestrial,nepriv,E1
nephrolepis_rivularis,la_selva,5,0.1386,111.4,5.183343666,-0.685319113,-0.768320333,96.42107141,18.79545883,0.047180437,0.285844692,0.169035333,terrestrial,nepriv,E1
nephrolepis_rivularis,la_selva,6,0.1208,118.1,2.395649475,-0.851455766,-1.08,94.99145327,15.21953202,0.050154895,0.155497104,0.068278054,terrestrial,nepriv,E1
niphidium_crassifolium,las_cruces,1,0.1422,242.41,11.41593683,-0.4011506,-0.481786286,96.92633549,10.77019207,0.074025161,0.248080547,0.275402245,epiphyte,nipcra,E1
niphidium_crassifolium,las_cruces,3,0.2276,190.1,15.3918257,-0.621622402,-0.698939659,92.68722805,8.776471957,0.101582975,0.628091361,1.03998889,epiphyte,nipcra,E1
niphidium_crassifolium,las_cruces,4,0.35,342.51,4.578982832,-0.791165135,-0.9598564,96.84933201,23.26505218,0.034803795,0.105132497,0.090472772,epiphyte,nipcra,E1
niphidium_crassifolium,las_cruces,5,0.1419,405.23,10.47940778,-0.38662314,-0.472110065,98.32700097,17.78666442,0.043730289,0.079302812,0.089151239,epiphyte,nipcra,E1
niphidium_crassifolium,las_cruces,6,0.5484,1129.83,6.549467562,-0.287926748,-0.372270251,98.50133388,14.53358114,0.049495198,0.059480659,0.087413981,epiphyte,nipcra,E1
oleandra_articulata,la_selva,1,0.1593,1091.4,3.075041489,-0.573906279,-0.636294481,97.6004878,18.92718072,0.046990495,0.220829483,0.011717105,epiphyte,oleart,E1
oleandra_articulata,la_selva,3,0.2095,908.8,2.865390369,-0.851000925,-1.0058294,89.65527961,8.824648628,0.09682686,0.446844769,0.035532261,epiphyte,oleart,E1
oleandra_articulata,la_selva,5,0.1757,603.9,3.059055606,-0.62191086,-0.806941426,94.08790982,10.56415463,0.072423628,0.202410495,0.035809798,epiphyte,oleart,E1
oleandra_articulata,la_selva,6,0.0793,517.3,2.769044781,-1.105445709,-1.418152295,86.98216253,8.27980922,0.092609087,0.265314561,0.021839454,epiphyte,oleart,E1
oleandra_articulata,la_selva,7,0.1114,712.6,2.774768353,-0.965046157,-1.22,92.94450153,11.84835112,0.064555247,0.148368505,0.015556975,epiphyte,oleart,E1
oleandra_articulata,la_selva,8,0.1202,435.4,2.222120373,-1.133904977,-1.229115362,94.45940416,20.09455148,0.04577843,0.446947292,0.015601703,epiphyte,oleart,E1
oleandra_costaricensis,las_cruces,1,0.1403,64.08,2.821236522,-1.027602739,-1.120975213,97.67078571,36.93055699,0.024398904,0.175924642,0.083728339,terrestrial,olecos,E1
oleandra_costaricensis,las_cruces,2,0.1314,35.28,3.861669724,-1.020443207,-1.21835799,96.56629912,26.82968565,0.030660302,0.120069842,0.244988575,terrestrial,olecos,E1
oleandra_costaricensis,las_cruces,3,0.1379,27.36,4.295404923,-1.055182836,-1.203027574,97.84137186,46.23206483,0.018801428,0.080631505,0.226136478,terrestrial,olecos,E1
oleandra_costaricensis,las_cruces,4,0.079,31.31,3.832264493,-0.856258945,-1.113184453,97.01108902,24.34405486,0.030073208,0.062779944,0.161549922,terrestrial,olecos,E1
oleandra_costaricensis,las_cruces,5,0.1943,66.8,2.716680628,-1.141991913,-1.403063136,96.56133181,32.57211942,0.024531192,0.097083729,0.107691411,terrestrial,olecos,E1
oleandra_costaricensis,las_cruces,6,0.1647,38.5,3.21623513,-0.935273058,-1.146376129,96.50491993,24.05836708,0.033089485,0.109107151,0.252928727,terrestrial,olecos,E1
olfersia_cervina,las_cruces,2,0.9522,1725.7,2.234013421,-1.262292847,-1.356029074,97.75869869,47.18816884,0.019544678,0.152410383,0.013384577,terrestrial,olfcer,E1
olfersia_cervina,las_cruces,3,1.0113,1834.45,2.672262651,-1.658584257,-1.738584075,96.38813353,48.31130963,0.019806741,0.331616483,0.016210402,terrestrial,olfcer,E1
olfersia_cervina,las_cruces,4,0.5603,1032.76,2.290100821,-1.255501204,-1.346204782,96.36100792,26.10199519,0.035139399,0.243638754,0.024254797,terrestrial,olfcer,E1
olfersia_cervina,las_cruces,5,0.828,1477.15,2.523185991,-1.228021392,-1.356559998,98.15967656,50.9284351,0.01749858,0.095664419,0.013749449,terrestrial,olfcer,E1
