"genusspecies","individual","sample_id","K","MPa","curve_id","leafarea_cm2","kmax_leaf","species","site","niche","group","niche2"
"eladec",3,"eladec_3_0.00",0.0873993274887413,0,"eladec-3",193.19,0.00045240088766883,"elaphoglossum_decursivum","las_cruces","epiphyte","E1","epiphyte"
"eladec",4,"eladec_4_0.00",0.142206254365774,0,"eladec-4",133.82,0.00106266816892672,"elaphoglossum_decursivum","las_cruces","epiphyte","E1","epiphyte"
"eladec",5,"eladec_5_0.00",0.11642412454872,0,"eladec-5",233.5,0.000498604387788951,"elaphoglossum_decursivum","las_cruces","epiphyte","E1","epiphyte"
"eladec",6,"eladec_6_0.00",0.139064776067531,0,"eladec-6",224.52,0.000619387030409456,"elaphoglossum_decursivum","las_cruces","epiphyte","E1","epiphyte"
"lommax",1,"lommax_1_0.00",1.1073356850455,0,"lommax-1",568.4,0.00194816271119898,"lomariopsis_maxonii","las_cruces","hemi-epiphyte","out","hemi-epiphyte"
"lommax",2,"lommax_2_0.00",0.118484182205888,0,"lommax-2",397.19,0.000298306055554994,"lomariopsis_maxonii","las_cruces","hemi-epiphyte","out","hemi-epiphyte"
"lommax",3,"lommax_3_0.00",0.894992989741382,0,"lommax-3",507.2,0.00176457608387496,"lomariopsis_maxonii","las_cruces","hemi-epiphyte","out","hemi-epiphyte"
"lommax",4,"lommax_4_0.00",1.45253099257849,0,"lommax-4",569.43,0.00255085083781762,"lomariopsis_maxonii","las_cruces","hemi-epiphyte","out","hemi-epiphyte"
"lommax",5,"lommax_5_0.00",0.588750979549881,0,"lommax-5",509.1,0.00115645448742856,"lomariopsis_maxonii","las_cruces","hemi-epiphyte","out","hemi-epiphyte"
"lommax",6,"lommax_6_0.00",0.403359083753577,0,"lommax-6",264.1,0.00152729679573486,"lomariopsis_maxonii","las_cruces","hemi-epiphyte","out","hemi-epiphyte"
"lommax",7,"lommax_7_0.00",0.604792810716135,0,"lommax-7",360.82,0.00167616210497238,"lomariopsis_maxonii","las_cruces","hemi-epiphyte","out","hemi-epiphyte"
"nipcra",2,"nipcra_2_0.00",0.199725860229019,0,"nipcra-2",169.71,0.00117686559559849,"niphidium_crassifolium","las_cruces","epiphyte","E1","epiphyte"
"nipcra",3,"nipcra_3_0.00",0.0730279143028194,0,"nipcra-3",190.1,0.000384155256721827,"niphidium_crassifolium","las_cruces","epiphyte","E1","epiphyte"
"nipcra",4,"nipcra_4_0.00",0.94654349835334,0,"nipcra-4",342.51,0.00276354996453633,"niphidium_crassifolium","las_cruces","epiphyte","E1","epiphyte"
"nipcra",6,"nipcra_6_0.00",1.57309401877589,0,"nipcra-6",1129.83,0.00139232806597089,"niphidium_crassifolium","las_cruces","epiphyte","E1","epiphyte"
"nipcra",8,"nipcra_8_0.00",0.97015863761775,0,"nipcra-8",NA,NA,"niphidium_crassifolium","las_cruces","epiphyte","E1","epiphyte"
"olecos",2,"olecos_2_0.00",2.75107824107534,0,"olecos-2",35.28,0.0779784081937455,"oleandra_costaricensis","las_cruces","terrestrial","E1","terrestrial"
"olecos",3,"olecos_3_0.00",3.37323686870307,0,"olecos-3",27.36,0.123290821224527,"oleandra_costaricensis","las_cruces","terrestrial","E1","terrestrial"
"olecos",4,"olecos_4_0.00",4.07085926738524,0,"olecos-4",31.31,0.130017862260787,"oleandra_costaricensis","las_cruces","terrestrial","E1","terrestrial"
"olecos",6,"olecos_6_0.00",1.09387092098773,0,"olecos-6",38.5,0.028412231713967,"oleandra_costaricensis","las_cruces","terrestrial","E1","terrestrial"
"olecos",7,"olecos_7_0.00",1.9523179604324,0,"olecos-7",40.44,0.0482769030769634,"oleandra_costaricensis","las_cruces","terrestrial","E1","terrestrial"
"olecos",8,"olecos_8_0.00",1.7579146740887,0,"olecos-8",23.37,0.0752209958959649,"oleandra_costaricensis","las_cruces","terrestrial","E1","terrestrial"
"olfcer",2,"olfcer_2_0.00",10.2541952242798,0,"olfcer-2",1725.7,0.00594204973302416,"olfersia_cervina","las_cruces","terrestrial","E1","terrestrial"
"olfcer",3,"olfcer_3_0.00",9.07629868875874,0,"olfcer-3",1834.45,0.00494769477977527,"olfersia_cervina","las_cruces","terrestrial","E1","terrestrial"
"olfcer",4,"olfcer_4_0.00",4.85168177686341,0,"olfcer-4",1032.76,0.00469778242463245,"olfersia_cervina","las_cruces","terrestrial","E1","terrestrial"
"olfcer",5,"olfcer_5_0.00",8.20591226969069,0,"olfcer-5",1477.15,0.00555523289421568,"olfersia_cervina","las_cruces","terrestrial","E1","terrestrial"
"olfcer",6,"olfcer_6_0.00",4.30532172262349,0,"olfcer-6",1404.63,0.00306509310111808,"olfersia_cervina","las_cruces","terrestrial","E1","terrestrial"
"olfcer",7,"olfcer_7_0.00",6.8058805355797,0,"olfcer-7",1376.31,0.00494502004314413,"olfersia_cervina","las_cruces","terrestrial","E1","terrestrial"
"parexc",1,"parexc_1_0.00",1.2845301581986,0,"parexc-1",722.9,0.00177691265486042,"parapolystichum_excultum","las_cruces","terrestrial","E1","terrestrial"
"parexc",10,"parexc_10_0.00",1.03466768916603,0,"parexc-10",NA,NA,"parapolystichum_excultum","las_cruces","terrestrial","E1","terrestrial"
"parexc",2,"parexc_2_0.00",2.57296269968982,0,"parexc-2",1342.08,0.00191714554995963,"parapolystichum_excultum","las_cruces","terrestrial","E1","terrestrial"
"parexc",4,"parexc_4_0.00",2.43042866740156,0,"parexc-4",1132.04,0.0021469459271771,"parapolystichum_excultum","las_cruces","terrestrial","E1","terrestrial"
"parexc",6,"parexc_6_0.00",2.04254944676477,0,"parexc-6",524.28,0.0038959133416586,"parapolystichum_excultum","las_cruces","terrestrial","E1","terrestrial"
"parexc",8,"parexc_8_0.00",0.903643630695643,0,"parexc-8",NA,NA,"parapolystichum_excultum","las_cruces","terrestrial","E1","terrestrial"
"parexc",9,"parexc_9_0.00",3.40722765659034,0,"parexc-9",NA,NA,"parapolystichum_excultum","las_cruces","terrestrial","E1","terrestrial"
"serfra",1,"serfra_1_0.00",1.21545627457615,0,"serfra-1",697.63,0.00174226491775891,"serpocaulon_fraxinifolium","las_cruces","epiphyte","E1","epiphyte"
"serfra",10,"serfra_10_0.00",1.66264191679034,0,"serfra-10",394.84,0.00421092573394372,"serpocaulon_fraxinifolium","las_cruces","epiphyte","E1","epiphyte"
"serfra",11,"serfra_11_0.00",1.49520875301187,0,"serfra-11",375.26,0.00398446078188954,"serpocaulon_fraxinifolium","las_cruces","epiphyte","E1","epiphyte"
"serfra",2,"serfra_2_0.00",1.01846406117106,0,"serfra-2",420.12,0.00242422179656065,"serpocaulon_fraxinifolium","las_cruces","epiphyte","E1","epiphyte"
"serfra",3,"serfra_3_0.00",1.17162911180276,0,"serfra-3",377.16,0.00310645113957673,"serpocaulon_fraxinifolium","las_cruces","epiphyte","E1","epiphyte"
"serfra",6,"serfra_6_0.00",1.75429439477909,0,"serfra-6",296.83,0.00591009801832392,"serpocaulon_fraxinifolium","las_cruces","epiphyte","E1","epiphyte"
"serfra",9,"serfra_9_0.00",1.30430562820856,0,"serfra-9",320.96,0.00406376379676147,"serpocaulon_fraxinifolium","las_cruces","epiphyte","E1","epiphyte"
"sertri",1,"sertri_1_0.00",7.30373209137892,0,"sertri-1",701.67,0.0104090699208729,"serpocaulon_triseriale","las_cruces","epiphyte","E1","epiphyte"
"sertri",2,"sertri_2_0.00",4.17580752556913,0,"sertri-2",830.37,0.00502885162706881,"serpocaulon_triseriale","las_cruces","epiphyte","E1","epiphyte"
"sertri",3,"sertri_3_0.00",5.82293661308349,0,"sertri-3",1307.84,0.0044523310290888,"serpocaulon_triseriale","las_cruces","epiphyte","E1","epiphyte"
"sertri",4,"sertri_4_0.00",4.95722434145262,0,"sertri-4",658.98,0.00752257176462506,"serpocaulon_triseriale","las_cruces","epiphyte","E1","epiphyte"
"sertri",5,"sertri_5_0.00",3.91931797917997,0,"sertri-5",325.79,0.0120301973024954,"serpocaulon_triseriale","las_cruces","epiphyte","E1","epiphyte"
"sertri",6,"sertri_6_0.00",2.39003686289157,0,"sertri-6",510.64,0.00468047325491848,"serpocaulon_triseriale","las_cruces","epiphyte","E1","epiphyte"
