"genusspecies","site","plant_no","water_potential","species","niche","group","niche2"
"nepbis","la_selva",5,0.7,"nephrolepis_biserrata","terrestrial","E1","terrestrial"
"nepbis","la_selva",6,0.91,"nephrolepis_biserrata","terrestrial","E1","terrestrial"
"nepbro","las_cruces",1,0.15,"nephrolepis_brownii","terrestrial","E1","terrestrial"
"nepbro","las_cruces",2,0.14,"nephrolepis_brownii","terrestrial","E1","terrestrial"
"nepbro","las_cruces",3,0.17,"nephrolepis_brownii","terrestrial","E1","terrestrial"
"nepbro","las_cruces",4,0.48,"nephrolepis_brownii","terrestrial","E1","terrestrial"
"nepbro","las_cruces",5,0.39,"nephrolepis_brownii","terrestrial","E1","terrestrial"
"nepbro","las_cruces",6,0.03,"nephrolepis_brownii","terrestrial","E1","terrestrial"
"nepbro","las_cruces",7,0.04,"nephrolepis_brownii","terrestrial","E1","terrestrial"
"nepriv","la_selva",1,0.59,"nephrolepis_rivularis","terrestrial","E1","terrestrial"
"nepriv","la_selva",2,0.65,"nephrolepis_rivularis","terrestrial","E1","terrestrial"
"nepriv","la_selva",3,0.71,"nephrolepis_rivularis","terrestrial","E1","terrestrial"
"nepriv","la_selva",4,0.56,"nephrolepis_rivularis","terrestrial","E1","terrestrial"
"nepriv","la_selva",5,0.58,"nephrolepis_rivularis","terrestrial","E1","terrestrial"
"nepriv","la_selva",6,0.82,"nephrolepis_rivularis","terrestrial","E1","terrestrial"
"nipcra","las_cruces",1,0.19,"niphidium_crassifolium","epiphyte","E1","epiphyte"
"nipcra","las_cruces",2,0.25,"niphidium_crassifolium","epiphyte","E1","epiphyte"
"nipcra","las_cruces",3,0.35,"niphidium_crassifolium","epiphyte","E1","epiphyte"
"nipcra","las_cruces",4,0.34,"niphidium_crassifolium","epiphyte","E1","epiphyte"
"nipcra","las_cruces",5,0.22,"niphidium_crassifolium","epiphyte","E1","epiphyte"
"nipcra","las_cruces",6,0.26,"niphidium_crassifolium","epiphyte","E1","epiphyte"
"oleart","la_selva",1,0.8,"oleandra_articulata","epiphyte","E1","epiphyte"
"oleart","la_selva",2,0.9,"oleandra_articulata","epiphyte","E1","epiphyte"
"oleart","la_selva",3,0.9,"oleandra_articulata","epiphyte","E1","epiphyte"
"oleart","la_selva",4,0.5,"oleandra_articulata","epiphyte","E1","epiphyte"
"oleart","la_selva",5,0.7,"oleandra_articulata","epiphyte","E1","epiphyte"
"oleart","la_selva",6,0.7,"oleandra_articulata","epiphyte","E1","epiphyte"
"olecos","las_cruces",1,0.78,"oleandra_costaricensis","terrestrial","E1","terrestrial"
"olecos","las_cruces",2,0.49,"oleandra_costaricensis","terrestrial","E1","terrestrial"
"olecos","las_cruces",3,0.63,"oleandra_costaricensis","terrestrial","E1","terrestrial"
"olecos","las_cruces",4,0.44,"oleandra_costaricensis","terrestrial","E1","terrestrial"
"olecos","las_cruces",5,0.45,"oleandra_costaricensis","terrestrial","E1","terrestrial"
"olecos","las_cruces",6,0.3,"oleandra_costaricensis","terrestrial","E1","terrestrial"
"olfcer","las_cruces",1,0.26,"olfersia_cervina","terrestrial","E1","terrestrial"
"olfcer","las_cruces",2,0.25,"olfersia_cervina","terrestrial","E1","terrestrial"
"olfcer","las_cruces",3,0.24,"olfersia_cervina","terrestrial","E1","terrestrial"
"olfcer","las_cruces",4,0.3,"olfersia_cervina","terrestrial","E1","terrestrial"
"olfcer","las_cruces",5,0.32,"olfersia_cervina","terrestrial","E1","terrestrial"
"olfcer","las_cruces",6,0.51,"olfersia_cervina","terrestrial","E1","terrestrial"
"parexc","las_cruces",1,0.6,"parapolystichum_excultum","terrestrial","E1","terrestrial"
"parexc","las_cruces",2,0.32,"parapolystichum_excultum","terrestrial","E1","terrestrial"
"parexc","las_cruces",3,0.47,"parapolystichum_excultum","terrestrial","E1","terrestrial"
"parexc","las_cruces",4,0.28,"parapolystichum_excultum","terrestrial","E1","terrestrial"
"parexc","las_cruces",5,0.56,"parapolystichum_excultum","terrestrial","E1","terrestrial"
"parexc","las_cruces",6,0.62,"parapolystichum_excultum","terrestrial","E1","terrestrial"
"pecpec","la_selva",1,1.09,"pecluma_pectinata","epiphyte","E1","epiphyte"
"pecpec","la_selva",2,0.6,"pecluma_pectinata","epiphyte","E1","epiphyte"
"pecpec","la_selva",3,0.73,"pecluma_pectinata","epiphyte","E1","epiphyte"
"pecpec","la_selva",4,0.71,"pecluma_pectinata","epiphyte","E1","epiphyte"
"pecpec","la_selva",5,0.94,"pecluma_pectinata","epiphyte","E1","epiphyte"
"pecpec","la_selva",6,0.9,"pecluma_pectinata","epiphyte","E1","epiphyte"
"phlaur","la_selva",1,0.86,"phlebodium_aureum","epiphyte","E1","epiphyte"
"phlaur","la_selva",2,0.92,"phlebodium_aureum","epiphyte","E1","epiphyte"
"phlaur","la_selva",3,0.9,"phlebodium_aureum","epiphyte","E1","epiphyte"
"phlaur","la_selva",4,1.25,"phlebodium_aureum","epiphyte","E1","epiphyte"
"phlaur","la_selva",5,0.6,"phlebodium_aureum","epiphyte","E1","epiphyte"
"phlaur","la_selva",6,1.3,"phlebodium_aureum","epiphyte","E1","epiphyte"
"plebra","la_selva",1,NA,"pleopeltis_bradeorum","hemi-epiphyte","E1","hemi-epiphyte"
"plebra","la_selva",2,NA,"pleopeltis_bradeorum","hemi-epiphyte","E1","hemi-epiphyte"
