Species,Date,CO2,Water Potential,Rhizoid Length (mm),Gametophyte Width (mm),Gametophyte Length (mm)
osm_cin,6,ec,cwp,0.03044,0.02428,0.02614
osm_cin,6,ec,cwp,0.03711,0.02551,0.02807
osm_cin,10,ac,cwp,0.11397,0.08611,0.0609
osm_cin,10,ac,cwp,0.12649,0.08523,0.08215
osm_cin,10,ac,cwp,0.13238,0.0369,0.06922
osm_cin,10,ac,cwp,0.16718,0.0801,0.08982
osm_cin,10,ac,cwp,0.17256,0.057,0.05206
osm_cin,10,ac,cwp,0.09364,0.0661,0.05179
osm_cin,10,ac,cwp,0.05857,0.08852,0.0806
osm_cin,10,ac,cwp,0.07253,0.0539,0.07069
osm_cin,10,ac,cwp,0.07324,0.06545,0.04244
osm_cin,10,ac,cwp,0.22361,0.07531,0.05026
osm_cin,10,ec,cwp,0.04248,0.08674,0.07037
osm_cin,10,ec,cwp,0.09093,0.06703,0.06284
osm_cin,10,ec,cwp,0.11546,0.06844,0.05169
osm_cin,10,ec,cwp,0.1438,0.07277,0.05059
osm_cin,10,ec,cwp,0.04339,0.05362,0.06567
osm_cin,10,ec,cwp,0.07887,0.05447,0.09176
osm_cin,10,ec,cwp,0.09988,0.06872,0.10457
osm_cin,10,ac,cwp,0.06,0.0332,0.03154
osm_cin,10,ac,cwp,0.07539,0.07036,0.05992
osm_cin,10,ac,cwp,0.09285,0.05618,0.05158
osm_cin,10,ac,cwp,0.05265,0.06241,0.04518
osm_cin,10,ac,cwp,0.06125,0.05816,0.04929
osm_cin,10,ac,cwp,0.06329,0.05387,0.04999
osm_cin,10,ac,cwp,0.11623,0.04946,0.04984
osm_cin,10,ac,cwp,0.04397,0.04306,0.05628
osm_cin,10,ac,cwp,0.07701,0.06271,0.0428
osm_cin,10,ac,cwp,0.06533,0.04398,0.05404
osm_cin,10,ec,cwp,0.09066,0.05312,0.04875
osm_cin,10,ec,cwp,0.10419,0.04959,0.04474
osm_cin,10,ec,cwp,0.10598,0.05004,0.04796
osm_cin,10,ec,cwp,0.05664,0.0341,0.03388
osm_cin,10,ec,cwp,0.0408,0.03356,0.03434
osm_cin,10,ec,cwp,0.06228,0.03114,0.03562
osm_cin,10,ec,cwp,0.041,0.04799,0.04491
osm_cin,10,ec,cwp,0.0803,0.04118,0.05311
osm_cin,10,ec,cwp,0.0598,0.03518,0.03492
osm_cin,10,ec,cwp,0.03573,0.02886,0.03076
osm_cin,12,ac,cwp,0.11304,0.09897,0.10325
osm_cin,12,ac,cwp,0.26346,0.06361,0.08924
osm_cin,12,ac,cwp,0.08465,0.1043,0.1024
osm_cin,12,ac,cwp,0.13843,0.05598,0.11198
osm_cin,12,ac,cwp,0.19115,0.09174,0.09791
osm_cin,12,ac,cwp,0.07706,0.05735,0.07124
osm_cin,12,ac,cwp,0.07739,0.07564,0.09391
osm_cin,12,ac,cwp,0.09518,0.15149,0.05353
osm_cin,12,ac,cwp,0.1535,0.06824,0.0852
osm_cin,12,ac,cwp,0.17454,0.08692,0.07472
osm_cin,12,ec,cwp,0.08244,0.09819,0.10936
osm_cin,12,ec,cwp,0.19139,0.04048,0.10008
osm_cin,12,ec,cwp,0.14751,0.06109,0.07912
osm_cin,12,ec,cwp,0.05676,0.04765,0.07989
osm_cin,12,ec,cwp,0.07693,0.10422,0.09793
osm_cin,12,ec,cwp,0.10297,0.08052,0.11036
osm_cin,12,ec,cwp,0.11316,0.11661,0.11036
osm_cin,12,ac,cwp,0.03462,0.03709,0.03646
osm_cin,12,ac,cwp,0.06537,0.03567,0.03934
osm_cin,12,ac,cwp,0.07675,0.03089,0.04121
osm_cin,12,ac,cwp,0.03534,0.03302,0.03835
osm_cin,12,ac,cwp,0.06799,0.05334,0.06037
osm_cin,12,ac,cwp,0.08862,0.04929,0.04919
osm_cin,12,ac,cwp,0.10999,0.05652,0.0654
osm_cin,12,ac,cwp,0.03367,0.05834,0.03626
osm_cin,12,ac,cwp,0.10774,0.0613,0.06329
osm_cin,12,ac,cwp,0.04248,0.03887,0.03686
osm_cin,12,ec,cwp,0.0524,0.04192,0.04775
osm_cin,12,ec,cwp,0.08624,0.03692,0.04391
osm_cin,12,ec,cwp,0.13086,0.05058,0.05024
osm_cin,12,ec,cwp,0.04089,0.04118,0.06327
osm_cin,12,ec,cwp,0.0975,0.04509,0.0432
osm_cin,12,ec,cwp,0.08529,0.04397,0.0478
osm_cin,12,ec,cwp,0.0627,0.03283,0.0373
osm_cin,12,ec,cwp,0.07422,0.04253,0.03535
osm_cin,12,ec,cwp,0.03938,0.03022,0.03576
osm_cin,12,ec,cwp,0.06929,0.0377,0.04112
osm_cin,18,ac,cwp,0.18226,0.13912,0.07508
osm_cin,18,ac,cwp,0.38178,0.13332,0.12747
osm_cin,18,ac,cwp,0.23572,0.07165,0.14965
osm_cin,18,ac,cwp,0.15808,0.07929,0.10845
osm_cin,18,ac,cwp,0.22122,0.12312,0.11584
osm_cin,18,ac,cwp,0.25701,0.10639,0.12381
osm_cin,18,ac,cwp,0.343,0.11631,0.13367
osm_cin,18,ac,cwp,0.23448,0.09998,0.09615
osm_cin,18,ac,cwp,0.38457,0.08195,0.12123
osm_cin,18,ac,cwp,0.13507,0.07383,0.07867
osm_cin,18,ec,cwp,0.10408,0.112,0.14637
osm_cin,18,ec,cwp,0.17031,0.09542,0.10491
osm_cin,18,ec,cwp,0.23212,0.08717,0.10186
osm_cin,18,ec,cwp,0.14562,0.08538,0.09037
osm_cin,18,ec,cwp,0.0926,0.06379,0.10731
osm_cin,18,ec,cwp,0.23473,0.10306,0.11658
osm_cin,18,ec,cwp,0.20657,0.10799,0.12692
osm_cin,18,ac,cwp,0.12705,0.09596,0.05623
osm_cin,18,ac,cwp,0.48461,0.06475,0.12574
osm_cin,18,ac,cwp,0.05766,0.04707,0.04997
osm_cin,18,ac,cwp,0.14992,0.05818,0.1033
osm_cin,18,ac,cwp,0.12895,0.05408,0.05598
osm_cin,18,ac,cwp,0.13158,0.05441,0.06241
osm_cin,18,ac,cwp,0.15976,0.04964,0.0701
osm_cin,18,ac,cwp,0.13843,0.04017,0.08915
osm_cin,18,ac,cwp,0.15154,0.07184,0.03629
osm_cin,18,ac,cwp,0.13286,0.04849,0.06037
osm_cin,18,ec,cwp,0.05535,0.0442,0.04982
osm_cin,18,ec,cwp,0.07906,0.06338,0.06103
osm_cin,18,ec,cwp,0.08956,0.04218,0.03933
osm_cin,18,ec,cwp,0.14441,0.06228,0.06782
osm_cin,18,ec,cwp,0.07327,0.03046,0.0337
osm_cin,18,ec,cwp,0.09169,0.04818,0.03967
osm_cin,18,ec,cwp,0.03942,0.03543,0.04515
osm_cin,18,ec,cwp,0.07618,0.03387,0.05086
osm_cin,18,ec,cwp,0.05102,0.0339,0.02959
osm_cin,18,ec,cwp,0.05704,0.04384,0.03838
osm_cin,21,ac,cwp,0.35069,0.15531,0.14771
osm_cin,21,ac,cwp,0.23432,0.10439,0.14279
osm_cin,21,ac,cwp,0.25279,0.16279,0.18388
osm_cin,21,ac,cwp,0.0895,0.10454,0.13441
osm_cin,21,ac,cwp,0.28762,0.13132,0.16442
osm_cin,21,ac,cwp,0.16505,0.15311,0.17643
osm_cin,21,ac,cwp,0.08873,0.10377,0.09379
osm_cin,21,ac,cwp,0.28609,0.09265,0.11666
osm_cin,21,ac,cwp,0.40507,0.1087,0.12506
osm_cin,21,ac,cwp,0.19243,0.1484,0.12417
osm_cin,21,ec,cwp,0.2881,0.12631,0.13484
osm_cin,21,ec,cwp,0.17652,0.11631,0.11474
osm_cin,21,ec,cwp,0.12838,0.12806,0.07383
osm_cin,21,ec,cwp,0.04343,0.08688,0.12072
osm_cin,21,ec,cwp,0.08326,0.118,0.10902
osm_cin,21,ec,cwp,0.1454,0.0729,0.12455
osm_cin,21,ec,cwp,0.075,0.07449,0.11211
osm_cin,21,ac,cwp,0.11819,0.06353,0.11044
osm_cin,21,ac,cwp,0.21192,0.04923,0.10624
osm_cin,21,ac,cwp,0.07496,0.07423,0.11908
osm_cin,21,ac,cwp,0.08433,0.08154,0.09145
osm_cin,21,ac,cwp,0.1077,0.06606,0.10571
osm_cin,21,ac,cwp,0.09465,0.05799,0.05425
osm_cin,21,ac,cwp,0.09309,0.0508,0.07193
osm_cin,21,ac,cwp,0.13638,0.06838,0.07412
osm_cin,21,ac,cwp,0.13149,0.07633,0.08846
osm_cin,21,ac,cwp,0.24337,0.07271,0.06452
osm_cin,21,ec,cwp,0.06566,0.05495,0.04671
osm_cin,21,ec,cwp,0.11191,0.06136,0.07698
osm_cin,21,ec,cwp,0.10198,0.04471,0.04875
osm_cin,21,ec,cwp,0.04221,0.04121,0.03939
osm_cin,21,ec,cwp,0.05261,0.02953,0.04249
osm_cin,21,ec,cwp,0.05693,0.03809,0.03576
osm_cin,21,ec,cwp,0.04567,0.03302,0.04804
osm_cin,21,ec,cwp,0.06608,0.03758,0.04356
osm_cin,21,ec,cwp,0.03924,0.03031,0.03699
osm_cin,21,ec,cwp,0.0378,0.03287,0.0341
osm_cin,23,ac,cwp,0.21383,0.16948,0.17278
osm_cin,23,ac,cwp,0.36015,0.16591,0.16624
osm_cin,23,ac,cwp,0.10572,0.13423,0.18246
osm_cin,23,ac,cwp,0.10509,0.12296,0.17477
osm_cin,23,ac,cwp,0.14375,0.09018,0.09525
osm_cin,23,ac,cwp,0.35335,0.21235,0.17819
osm_cin,23,ac,cwp,0.22506,0.17774,0.14859
osm_cin,23,ac,cwp,0.23546,0.11226,0.12385
osm_cin,23,ac,cwp,0.34071,0.11115,0.10381
osm_cin,23,ac,cwp,0.24405,0.0764,0.10831
osm_cin,23,ec,cwp,0.29427,0.14457,0.1893
osm_cin,23,ec,cwp,0.09066,0.10271,0.12868
osm_cin,23,ec,cwp,0.24622,0.1839,0.27814
osm_cin,23,ec,cwp,0.13872,0.13975,0.18644
osm_cin,23,ec,cwp,0.1781,0.09591,0.11795
osm_cin,23,ec,cwp,0.1048,0.09975,0.13733
osm_cin,23,ac,cwp,0.12074,0.07601,0.07727
osm_cin,23,ac,cwp,0.05605,0.09066,0.12414
osm_cin,23,ac,cwp,0.10823,0.06475,0.08704
osm_cin,23,ac,cwp,0.23729,0.06609,0.10802
osm_cin,23,ac,cwp,0.16005,0.07544,0.05132
osm_cin,23,ac,cwp,0.09112,0.04763,0.07545
osm_cin,23,ac,cwp,0.09271,0.04891,0.06672
osm_cin,23,ac,cwp,0.12113,0.05613,0.09223
osm_cin,23,ac,cwp,0.09439,0.04282,0.08864
osm_cin,23,ac,cwp,0.07214,0.07165,0.07359
osm_cin,23,ec,cwp,0.0795,0.05717,0.06282
osm_cin,23,ec,cwp,0.08518,0.05123,0.05591
osm_cin,23,ec,cwp,0.08944,0.0432,0.06734
osm_cin,23,ec,cwp,0.06981,0.04487,0.06325
osm_cin,23,ec,cwp,0.05772,0.03393,0.02291
osm_cin,23,ec,cwp,0.02397,0.02959,0.0332
osm_cin,23,ec,cwp,0.07108,0.05057,0.0676
osm_cin,23,ec,cwp,0.04048,0.0299,0.04548
osm_cin,23,ec,cwp,0.05841,0.04986,0.05119
osm_cin,23,ec,cwp,0.03044,0.02377,0.02523
osm_cin,28,ac,cwp,0.23526,0.25252,0.23191
osm_cin,28,ac,cwp,0.25436,0.1939,0.15644
osm_cin,28,ac,cwp,0.2561,0.21162,0.23893
osm_cin,28,ac,cwp,0.24179,0.15363,0.16973
osm_cin,28,ac,cwp,0.14899,0.2052,0.1922
osm_cin,28,ac,cwp,0.19506,0.31118,0.25156
osm_cin,28,ac,cwp,0.07965,0.17125,0.27235
osm_cin,28,ac,cwp,0.20154,0.20047,0.19048
osm_cin,28,ac,cwp,0.2363,0.20469,0.17658
osm_cin,28,ac,cwp,0.14504,0.20518,0.21731
osm_cin,28,ec,cwp,0.17912,0.1847,0.19557
osm_cin,28,ec,cwp,0.22946,0.1705,0.14471
osm_cin,28,ec,cwp,0.19605,0.17491,0.11751
osm_cin,28,ec,cwp,0.10039,0.12714,0.11836
osm_cin,28,ec,cwp,0.04937,0.11226,0.10853
osm_cin,28,ec,cwp,0.15202,0.18306,0.17403
osm_cin,28,ac,cwp,0.22554,0.1484,0.13444
osm_cin,28,ac,cwp,0.08794,0.06228,0.09398
osm_cin,28,ac,cwp,0.09905,0.11533,0.06251
osm_cin,28,ac,cwp,0.28409,0.10984,0.06554
osm_cin,28,ac,cwp,0.16425,0.06491,0.07004
osm_cin,28,ac,cwp,0.18988,0.07863,0.07838
osm_cin,28,ac,cwp,0.11859,0.06786,0.07693
osm_cin,28,ac,cwp,0.08398,0.09364,0.09846
osm_cin,28,ac,cwp,0.07901,0.07298,0.08477
osm_cin,28,ac,cwp,0.21782,0.04984,0.07741
osm_cin,28,ec,cwp,0.07669,0.05678,0.06655
osm_cin,28,ec,cwp,0.07331,0.03419,0.0451
osm_cin,28,ec,cwp,0.08358,0.05037,0.06228
osm_cin,28,ec,cwp,0.08027,0.05328,0.06047
osm_cin,28,ec,cwp,0.02953,0.04523,0.04272
osm_cin,28,ec,cwp,0.06233,0.03171,0.04411
osm_cin,28,ec,cwp,0.08928,0.04857,0.05293
osm_cin,28,ec,cwp,0.05215,0.04663,0.03838
osm_cin,28,ec,cwp,0.03843,0.03561,0.03601
osm_cin,28,ec,cwp,0.0417,0.0259,0.03
osm_cin,34,ac,cwp,0.21533,0.22328,0.24357
osm_cin,34,ac,cwp,0.55621,0.27458,0.25897
osm_cin,34,ac,cwp,0.17917,0.36228,0.33158
osm_cin,34,ac,cwp,0.23316,0.21945,0.20535
osm_cin,34,ac,cwp,0.32055,0.27638,0.26518
osm_cin,34,ac,cwp,0.16313,0.2332,0.26322
osm_cin,34,ac,cwp,0.17113,0.13796,0.16606
osm_cin,34,ac,cwp,0.04547,0.2126,0.20295
osm_cin,34,ac,cwp,0.32068,0.23079,0.25731
osm_cin,34,ac,cwp,0.47953,0.28074,0.23722
osm_cin,34,ec,cwp,0.23561,0.19444,0.28583
osm_cin,34,ec,cwp,0.16436,0.32931,0.21758
osm_cin,34,ec,cwp,0.15916,0.17095,0.18073
osm_cin,34,ec,cwp,0.10893,0.15468,0.15483
osm_cin,34,ec,cwp,0.17299,0.13924,0.17561
osm_cin,34,ec,cwp,0.19426,0.17799,0.17314
osm_cin,34,ac,cwp,0.25141,0.06136,0.11189
osm_cin,34,ac,cwp,0.09625,0.07294,0.10659
osm_cin,34,ac,cwp,0.15751,0.12188,0.08676
osm_cin,34,ac,cwp,0.10049,0.11816,0.05616
osm_cin,34,ac,cwp,0.11837,0.0724,0.06725
osm_cin,34,ac,cwp,0.14473,0.08911,0.07967
osm_cin,34,ac,cwp,0.09213,0.08788,0.0825
osm_cin,34,ac,cwp,0.19965,0.09855,0.10291
osm_cin,34,ac,cwp,0.07972,0.06782,0.097
osm_cin,34,ac,cwp,0.21848,0.06533,0.05507
osm_cin,34,ec,cwp,0.06176,0.04221,0.05818
osm_cin,34,ec,cwp,0.06956,0.04029,0.04602
osm_cin,34,ec,cwp,0.08688,0.04751,0.043
osm_cin,34,ec,cwp,0.04562,0.04344,0.04423
osm_cin,34,ec,cwp,0.04521,0.03433,0.03947
osm_cin,34,ec,cwp,0.04419,0.02419,0.02418
osm_cin,34,ec,cwp,0.03801,0.03165,0.0367
osm_cin,34,ec,cwp,0.03973,0.02932,0.04817
osm_cin,34,ec,cwp,0.05213,0.0354,0.0311
osm_cin,34,ec,cwp,0.01347,0.02525,0.0261
osm_cin,40,ac,cwp,0.14154,0.22185,0.25045
osm_cin,40,ac,cwp,0.31507,0.24831,0.24695
osm_cin,40,ac,cwp,0.08788,0.27687,0.2114
osm_cin,40,ac,cwp,0.13539,0.31976,0.26275
osm_cin,40,ac,cwp,0.22823,0.3212,0.26557
osm_cin,40,ac,cwp,0.25155,0.25799,0.30626
osm_cin,40,ac,cwp,0.19637,0.16629,0.20345
osm_cin,40,ac,cwp,0.37605,0.28642,0.2226
osm_cin,40,ac,cwp,0.27305,0.3636,0.32729
osm_cin,40,ac,cwp,0.21398,0.34037,0.27627
osm_cin,40,ec,cwp,0.10157,0.23128,0.19153
osm_cin,40,ec,cwp,0.23149,0.38006,0.2993
osm_cin,40,ec,cwp,0.09647,0.257,0.2406
osm_cin,40,ec,cwp,0.10257,0.14161,0.22366
osm_cin,40,ec,cwp,0.06931,0.09282,0.15217
osm_cin,40,ec,cwp,0.13335,0.17898,0.17687
osm_cin,40,ac,cwp,0.1905,0.0734,0.07642
osm_cin,40,ac,cwp,0.18663,0.06089,0.092
osm_cin,40,ac,cwp,0.06191,0.08686,0.10117
osm_cin,40,ac,cwp,0.11361,0.12207,0.14091
osm_cin,40,ac,cwp,0.12754,0.05821,0.09512
osm_cin,40,ac,cwp,0.10498,0.04506,0.07052
osm_cin,40,ac,cwp,0.0643,0.05501,0.07164
osm_cin,40,ac,cwp,0.06553,0.07789,0.0954
osm_cin,40,ac,cwp,0.06814,0.08717,0.12397
osm_cin,40,ac,cwp,0.13793,0.0908,0.08059
osm_cin,40,ec,cwp,0.12083,0.03903,0.04991
osm_cin,40,ec,cwp,0.03055,0.03805,0.05478
osm_cin,40,ec,cwp,0.05918,0.03721,0.04649
osm_cin,40,ec,cwp,0.03684,0.03154,0.02232
osm_cin,40,ec,cwp,0.0442,0.0213,0.03004
osm_cin,40,ec,cwp,0.04682,0.02205,0.03114
osm_cin,40,ec,cwp,0.04042,0.02483,0.02658
osm_cin,40,ec,cwp,0.07867,0.04664,0.05119
osm_cin,40,ec,cwp,0.04548,0.0321,0.02702
osm_cin,40,ec,cwp,0.02248,0.02848,0.04153
osm_cin,47,ac,cwp,0.17213,0.24742,0.24459
osm_cin,47,ac,cwp,0.24676,0.26144,0.31153
osm_cin,47,ac,cwp,0.59602,0.59156,0.49271
osm_cin,47,ac,cwp,0.4822,0.6638,0.39435
osm_cin,47,ac,cwp,0.37647,0.33282,0.35039
osm_cin,47,ac,cwp,0.28847,0.20047,0.23262
osm_cin,47,ac,cwp,0.37125,0.26099,0.27824
osm_cin,47,ac,cwp,0.31617,0.28915,0.33257
osm_cin,47,ac,cwp,0.41582,0.41687,0.32588
osm_cin,47,ac,cwp,0.36077,0.38078,0.28197
osm_cin,47,ec,cwp,0.13205,0.2247,0.16423
osm_cin,47,ec,cwp,0.11711,0.37298,0.24431
osm_cin,47,ec,cwp,0.08496,0.26127,0.18196
osm_cin,47,ec,cwp,0.15584,0.13989,0.14903
osm_cin,47,ec,cwp,0.09545,0.11186,0.13631
osm_cin,47,ec,cwp,0.07125,0.11386,0.15612
osm_cin,47,ac,cwp,0.17711,0.07201,0.09389
osm_cin,47,ac,cwp,0.10136,0.09458,0.09455
osm_cin,47,ac,cwp,0.1613,0.12392,0.09458
osm_cin,47,ac,cwp,0.23661,0.06228,0.11468
osm_cin,47,ac,cwp,0.13419,0.07112,0.09328
osm_cin,47,ac,cwp,0.089,0.05623,0.05879
osm_cin,47,ac,cwp,0.17164,0.08862,0.10425
osm_cin,47,ac,cwp,0.16838,0.09158,0.1321
osm_cin,47,ac,cwp,0.06985,0.04727,0.06143
osm_cin,47,ac,cwp,0.14052,0.06228,0.08281
osm_cin,47,ec,cwp,0.11264,0.05043,0.05162
osm_cin,47,ec,cwp,0.05616,0.03896,0.05132
osm_cin,47,ec,cwp,0.01832,0.03786,0.05184
osm_cin,47,ec,cwp,0.03939,0.02088,0.02949
osm_cin,47,ec,cwp,0.03576,0.03199,0.02444
osm_cin,47,ec,cwp,0.03072,0.03864,0.02464
osm_cin,47,ec,cwp,0.04593,0.03072,0.04554
osm_cin,47,ec,cwp,0.03847,0.0333,0.02803
osm_cin,47,ec,cwp,0.03408,0.02715,0.02297
osm_cin,47,ec,cwp,0.03666,0.02161,0.02501
osm_cla,4,ac,cwp,0.0616,0.05008,0.06691
osm_cla,4,ac,cwp,0,0,0
osm_cla,4,ac,cwp,0.10567,0.04014,0.04855
osm_cla,4,ac,cwp,0.09093,0.0326,0.05646
osm_cla,4,ac,cwp,0.09289,0.04788,0.05734
osm_cla,4,ac,cwp,0.09769,0.03772,0.0451
osm_cla,4,ac,cwp,0.06466,0.03924,0.05039
osm_cla,4,ac,cwp,0.12109,0.03112,0.04369
osm_cla,4,ac,cwp,0.12907,0.03711,0.04526
osm_cla,4,ac,cwp,0.10919,0.04486,0.03818
osm_cla,4,ac,cwp,0.16688,0.02767,0.04385
osm_cla,4,ac,cwp,0.19134,0.02876,0.04356
osm_cla,4,ec,cwp,0.1583,0.03228,0.0465
osm_cla,4,ec,cwp,0.0777,0.02677,0.03377
osm_cla,4,ec,cwp,0.19336,0.04277,0.05697
osm_cla,4,ec,cwp,0.13164,0.02732,0.045
osm_cla,4,ec,cwp,0.18333,0.033,0.04442
osm_cla,4,ec,cwp,0.15841,0.03767,0.04356
osm_cla,4,ec,cwp,0.25844,0.03132,0.04776
osm_cla,4,ec,cwp,0.17661,0.0313,0.04431
osm_cla,4,ec,cwp,0.20683,0.03535,0.04114
osm_cla,4,ec,cwp,0.0448,0.02949,0.01912
osm_cla,4,ac,cwp,0.01804,0.03623,0.03288
osm_cla,4,ac,cwp,0.06225,0.0215,0.025
osm_cla,4,ac,cwp,0.07046,0.0238,0.02749
osm_cla,4,ac,cwp,0.09911,0.02245,0.02498
osm_cla,4,ac,cwp,0.16181,0.02981,0.03523
osm_cla,4,ac,cwp,0.16618,0.03504,0.0578
osm_cla,4,ac,cwp,0.16978,0.05127,0.03567
osm_cla,4,ac,cwp,0.10176,0.03564,0.03283
osm_cla,4,ac,cwp,0.13289,0.02892,0.05228
osm_cla,4,ac,cwp,0.14998,0.0254,0.03536
osm_cla,4,ec,cwp,0.14507,0.02255,0.02715
osm_cla,4,ec,cwp,0.17414,0.0223,0.02183
osm_cla,4,ec,cwp,0.09154,0.03321,0.03244
osm_cla,4,ec,cwp,0.03302,0.01823,0.0216
osm_cla,4,ec,cwp,0.07912,0.02236,0.02073
osm_cla,4,ec,cwp,0.09972,0.02176,0.02312
osm_cla,4,ec,cwp,0.14071,0.02146,0.02639
osm_cla,4,ec,cwp,0.14915,0.02374,0.02686
osm_cla,6,ac,cwp,0.1147,0.05312,0.04114
osm_cla,6,ac,cwp,0,0,0
osm_cla,6,ac,cwp,0.09064,0.05938,0.05816
osm_cla,6,ac,cwp,0.11788,0.07128,0.05126
osm_cla,6,ac,cwp,0.16822,0.0272,0.04693
osm_cla,6,ac,cwp,0.19815,0.05705,0.06351
osm_cla,6,ac,cwp,0.05259,0.05242,0.04602
osm_cla,6,ac,cwp,0.03367,0.05333,0.04033
osm_cla,6,ac,cwp,0.06411,0.05422,0.05366
osm_cla,6,ac,cwp,0.16201,0.02442,0.05056
osm_cla,6,ac,cwp,0.09973,0.04451,0.0625
osm_cla,6,ec,cwp,0.22262,0.05634,0.03269
osm_cla,6,ec,cwp,0.11785,0.05766,0.04882
osm_cla,6,ec,cwp,0.08314,0.02656,0.04396
osm_cla,6,ec,cwp,0.11862,0.04421,0.05559
osm_cla,6,ec,cwp,0.16466,0.04192,0.0722
osm_cla,6,ec,cwp,0.14997,0.0417,0.06531
osm_cla,6,ec,cwp,0.08077,0.04168,0.06799
osm_cla,6,ec,cwp,0.11465,0.03704,0.06174
osm_cla,6,ec,cwp,0.03613,0.04801,0.07214
osm_cla,6,ec,cwp,0.03809,0,0
osm_cla,6,ac,cwp,0.12546,0.025,0.0215
osm_cla,6,ac,cwp,0.11347,0.02498,0.02245
