Indiv,Color,Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
2,w,21,7:56:33,2281.499949,0,3.048867783,0.415256555,378.7001473,1.406865106,0.378337522,25.19865608,5.9,1.441956541,1,2.883913082,24.42175484,25.19865608,24.05094147,398.5011292,394.249176,26.59698105,28.21017265,87.14517975,92.43081665,500.0240173,501.0693359,0.078591444,100.6443558,0.55833298,-0.281529993,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.847498334,0.001406865,298.3486561,297.5717548,80.17109196,0.108371867,3.217532175,31.96932555,3.759152898,24.81020546,3.143875726,0.362989462,2.839194653,0.304681073,0.231048869,38.11403236,0.960560403,89.40252289,392.8219584,0.006938932
2,w,22,7:56:37,2285.499949,0,3.051424838,0.413921798,378.6714359,1.399458444,0.37741425,25.19368172,5.9,1.441956541,1,2.883913082,24.42173386,25.19368172,24.04952621,398.5149841,394.2637329,26.60487175,28.2094593,87.17243958,92.42996979,500.059021,500.8815308,0.027558429,100.6458588,0.55833298,-0.281529993,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.847557663,0.001399458,298.3436817,297.5717339,80.14104313,0.112501528,3.216579507,31.9593826,3.749923295,24.80770779,3.143406937,0.36196915,2.839165257,0.30424168,0.23038749,38.11171186,0.960452114,89.42103139,392.8353183,0.006945953
2,w,23,7:56:42,2289.999949,0,3.044114616,0.409239659,378.5943264,1.390750646,0.378809616,25.19915581,5.9,1.441956541,1,2.883913082,24.42161942,25.19915581,24.05165863,398.5374451,394.2985535,26.61184502,28.2065506,87.1942215,92.41930389,500.0284729,500.9584351,0.109214172,100.6439362,0.55833298,-0.281529993,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.847505886,0.001390751,298.3491558,297.5716194,80.15334782,0.116385399,3.217627893,31.9704099,3.763859306,24.81038761,3.143909917,0.3583835,2.838818278,0.305091639,0.228063772,38.10322322,0.960171736,89.37024263,392.8735609,0.006924703
2,w,24,7:56:45,2293.499949,0,3.042781382,0.404189111,378.4509116,1.379820364,0.379952442,25.20244598,5.9,1.441956541,1,2.883913082,24.42123795,25.20244598,24.05278587,398.5369873,394.3050537,26.61884499,28.20091057,87.22084808,92.40473175,500.0651245,501.0852356,0.167395577,100.6458893,0.55833298,-0.281529993,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.847568008,0.00137982,298.352446,297.5712379,80.1736359,0.121765028,3.218258164,31.97605175,3.775141184,24.81184196,3.144182916,0.354504269,2.838305723,0.305877193,0.225550747,38.08952855,0.959792192,89.32388844,392.8806852,0.006917954
2,w,25,7:56:49,2297.499949,0,3.10611188,0.400395454,378.0108141,1.370106218,0.380411497,25.20194817,5.9,1.441956541,1,2.883913082,24.42017746,25.20194817,24.05101395,398.56604,394.2639771,26.62464714,28.19558144,87.24484253,92.39255524,500.0657349,501.0917053,0.205162242,100.6452484,0.55833298,-0.281529993,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.847569042,0.001370106,298.3519482,297.5701775,80.17467106,0.126709959,3.218162795,31.97530778,3.779726345,24.81106281,3.144036657,0.351582586,2.837751298,0.30628536,0.22365869,38.04499229,0.958775937,89.29835931,392.8099627,0.007061193
2,y,1,8:01:58,42.49999905,0,3.299889167,0.296219564,372.3178516,1.271696676,0.459538757,25.57873917,5.5,1.529782638,1,3.059565276,24.42417526,25.57873917,24.05051804,398.6520996,394.4713135,26.77194786,28.13116837,87.71426392,92.16754913,500.1081848,499.5258484,0.007144802,100.654129,0.55833298,-0.281529993,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.909287609,0.001271697,298.7287392,297.5741753,79.92413396,0.118243195,3.291057007,32.69669152,4.565523155,25.00145721,3.179953844,0.270071871,2.83151825,0.348435593,0.170964286,37.47532908,0.943840119,86.86996185,393.0152732,0.007293896
2,y,2,8:02:03,47.49999894,0,3.394700527,0.294154313,371.6940953,1.262826686,0.459256995,25.57494545,5.5,1.529782638,1,3.059565276,24.42227554,25.57494545,24.05013275,398.8085327,394.5272217,26.77687645,28.12663078,87.74031067,92.16307831,500.1052246,499.5296021,0.108192131,100.6540375,0.55833298,-0.281529993,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.909282227,0.001262827,298.7249454,297.5722755,79.92473454,0.122835263,3.290315944,32.68935879,4.562728004,24.9986105,3.179414192,0.268354076,2.831058949,0.348355243,0.16986298,37.4125114,0.942125346,86.86705492,393.0293469,0.007502942
2,y,3,8:02:08,52.49999883,0,3.30469652,0.288942659,371.9299149,1.24666789,0.460842677,25.57648659,5.5,1.529782638,1,3.059565276,24.42455482,25.57648659,24.04917145,398.744812,394.5688477,26.78120613,28.11389542,87.74243927,92.10868835,500.0344543,499.5916443,0.038786002,100.6539383,0.55833298,-0.281529993,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.909153553,0.001246668,298.7264866,297.5745548,79.9346613,0.130943346,3.290616972,32.69238172,4.5784863,25.00052071,3.179776301,0.264009805,2.829774294,0.350002007,0.167078602,37.43621071,0.942623619,86.80247335,393.1106862,0.007297075
2,y,4,8:02:12,56.99999873,0,3.293250886,0.28522903,371.8062998,1.233595667,0.461437539,25.57706261,5.5,1.529782638,1,3.059565276,24.42233467,25.57706261,24.04879951,398.7752686,394.617981,26.79045105,28.10902023,87.78465271,92.10523224,500.0922852,499.5150757,0.039806694,100.6542358,0.55833298,-0.281529993,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.9092587,0.001233596,298.7270626,297.5723347,79.92241032,0.136851132,3.290729491,32.69340295,4.584382716,24.99969864,3.179620462,0.26090598,2.829291952,0.35032851,0.165089969,37.42387899,0.942193001,86.7712447,393.1648697,0.007268184
2,y,5,8:02:18,62.4999986,0,3.317675319,0.279311129,371.2769905,1.215026291,0.463301989,25.57911682,5.5,1.529782638,1,3.059565276,24.42158699,25.57911682,24.05005646,398.8175049,394.6412659,26.79573059,28.09450722,87.80581665,92.0617218,500.0782166,499.5881348,0.028579205,100.6541519,0.55833298,-0.281529993,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.909233121,0.001215026,298.7291168,297.571587,79.93409978,0.145711464,3.291130786,32.69741708,4.602909862,25.00035191,3.179744301,0.255945572,2.827828797,0.351915504,0.161913035,37.3705706,0.940796168,86.69594634,393.1773776,0.007315502
